Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
0mhwUkcAAAAJ,1,Efficient removal of organic dyes by Cr-doped ZnO nanoparticles,"L Khezami, MAB Aissa, A Modwi, A Guesmi, FK Algethami, M Bououdina",Biomass Conversion and Biorefinery 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=366981931354926205,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:BqipwSGYUEgC
0mhwUkcAAAAJ,2,A green synthesis of cellulose nanocrystals biosorbent for remediation of wastewater containing industrial dye,"W Abd El-Fattah, A Guesmi, NB Hamadi, MG El-Desouky, A Shahat","Colloids and Surfaces A: Physicochemical and Engineering Aspects 681, 132729",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14836312825494891470,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:738O_yMBCRsC
0mhwUkcAAAAJ,3,Novel composite based on cellulose nanomaterial for detection and selective removal of cadmium (II) ions from wastewater,"W Abd El-Fattah, A Guesmi, NB Hamadi, AAA Alayyafi, A Shahat","Microchemical Journal 198, 110175",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17121804138044224048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:mvPsJ3kp5DgC
0mhwUkcAAAAJ,4,Extraction and detection of mercury in electronic waste using efficient modified MOF,"W Abd El-Fattah, A Guesmi, NB Hamadi, A Subaihi, A Shahat","Colloids and Surfaces A: Physicochemical and Engineering Aspects 686, 133256",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4497947353273711850,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:eJXPG6dFmWUC
0mhwUkcAAAAJ,5,"Synthesis, structure, and luminescence properties of a 0D organic-inorganic cadmium iodide: Combined experimental and theoretical approach","A Fandouli, NB Hamadi, A Guesmi, EC Sañudo, X Zarate, MS Torres, ...","Journal of Molecular Structure 1314, 138683",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0mhwUkcAAAAJ,6,"A new non-centrosymmetric material (C5H9N3)[ZnBr4]· H2O: Molecular structure, characterization, optical properties and biological activities","SW Dammak, H Tlili, I Trabelsi, N Ktari, W Abd El-Fattah, A Guesmi, ...","Journal of Molecular Structure 1307, 137907",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0mhwUkcAAAAJ,7,"Novel composite from chitosan and a metal-organic framework for removal of tartrazine dye from aqueous solutions; adsorption isotherm, kinetic, and optimization using Box …","W Abd El-Fattah, A Guesmi, NB Hamadi, A Houas, MT Alotaibi, ...","International Journal of Biological Macromolecules 273, 133015",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0mhwUkcAAAAJ,8,"An Investigation of Two Cu (II)‐Based Hybrid Materials: Physico‐Chemical Characterization, Theoretical Calculation and Evaluation of The Inhibitory Activities against Key …","I Tababi, N Mhadhbi, A Ben Ahmed, J Erwann, K Hamden, A Guesmi, ...","ChemistrySelect 9 (20), e202400240",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0mhwUkcAAAAJ,9,"Two different coordination polyhedra in the crystal structure of a novel Zn (II) hybrid complex: DFT investigation, biological activities and emission properties","T Salah, AB Ahmed, N Krayem, A Guesmi, NB Hamadi, L Khezami, ...","Journal of Molecular Structure 1296, 136863",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0mhwUkcAAAAJ,10,Structural and Optical Characterization of a New Tetra- and Hexa-Coordinated Cd-Based Hybrid Compound with White Light Emission,"NBHHN Imen Sayer,Rawia Msalmi,Edoardo Mosconi,Ahlem Guesmi,Ammar Houas Ammar ...","Crystals 14 (5), 459",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0mhwUkcAAAAJ,11,"Hydrothermal synthesis of (C5H14N2)[CoCl4]⯑0.5H2O: Crystal structure,  spectroscopic characterization, thermal behavior, magnetic properties and  biological evaluation","HN Sandra Walha, Noureddine Mhadhbi, Basem F. Alic, Abdellah Kaiba, Ahlem ...","Chemical Physics Impact 8, 100597",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
0mhwUkcAAAAJ,12,Effective Adsorption and Removal of Doxorubicin from Aqueous Solutions Using Mesostructured Silica Nanospheres: Box–Behnken Design Optimization and Adsorption Performance …,"K Althumayri, A Guesmi, W Abd El-Fattah, L Khezami, T Soltani, ...","ACS omega 8 (15), 14144-14159",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5108001912092061425,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:pyW8ca7W8N0C
0mhwUkcAAAAJ,13,Enhanced adsorption and evaluation of tetracycline removal in an aquatic system by modified silica nanotubes,"K Althumayri, A Guesmi, WA El-Fattah, A Houas, NB Hamadi, A Shahat","ACS omega 8 (7), 6762-6777",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8494141699728169970,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:3s1wT3WcHBgC
0mhwUkcAAAAJ,14,Stable Ta2O5 nanotubes decorated by PbS by the SILAR method for photocatalytic dye degradation,"I Khemissi, L Khezami, K Trabelsi, A Guesmi, A Kouki, J Kiwi, B Bessais, ...","Journal of Photochemistry and Photobiology A: Chemistry 444, 114937",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3412753288105064502,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:xtRiw3GOFMkC
0mhwUkcAAAAJ,15,Polar nematic phase in short-chained fluorinated hydrogen-bonded liquid crystals,"M Fouzai, P Dieudonné-George, A Guesmi, NB Hamadi, Y Arfaoui, ...","Journal of Molecular Liquids 375, 121307",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10092210463835771469,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:SeFeTyx0c_EC
0mhwUkcAAAAJ,16,"Physico-Chemical Characterization, DFT Modeling and Biological Activities of a New Zn (II) Complex Containing Melamine as a Template","T Salah, N Mhadhbi, A Ben Ahmed, B Hamdi, N Krayem, M Loukil, ...","Crystals 13 (5), 746",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6745333889234203514,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:_xSYboBqXhAC
0mhwUkcAAAAJ,17,Numerical and Experimental Study of the Front Surface Recombination Velocities and Base Widths Effect in Multi-Crystalline Silicon Solar Cell Quantum Efficiency,"B Abdouli, L Khezami, A Guesmi, AA Assadi, MB Rabha","Crystals 13 (3), 425",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3488409263240932666,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:yD5IFk8b50cC
0mhwUkcAAAAJ,18,"Thermotropic liquid crystal doped with silica, silica grafted with aniline (ANI@ SiO2) and polyaniline (PANI@ SiO2)","M Ben Salah, N Jaoued, T Soltani, A Guesmi, A Houas, N Ben Hamadi, ...","Liquid Crystals 50 (11-12), 1872-1882",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=260070756454798070,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:b0M2c_1WBrUC
0mhwUkcAAAAJ,19,New synthetic route for reaching higher phase stabilization in LAMOX‐based Electrolyte for Solid Oxide Fuel Cells,"K Hchicha, N Mhadhbi, A Guesmi, T Soltani, N Ben Hamadi, H Naïli","European Journal of Inorganic Chemistry, e e202200696",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1841883466726268730,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:cFHS6HbyZ2cC
0mhwUkcAAAAJ,20,"Synthesis and Molecular Docking of New 1,2,3-triazole Carbohydrates with COVID-19 Proteins","WNWAEF Naoufel Ben Hamadi, Ahlem Guesmi, Faisal K. Algathami, Lotfi Khezami","Current Organic Synthesis 20, 238-245",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14959919910228571634,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0mhwUkcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=0mhwUkcAAAAJ:u_35RYKgDlwC
