Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
17fxZOsAAAAJ,1,"Dynamics of a Model of Coronavirus Disease with Fear Effect, Treatment Function, and Variable Recovery Rate","RT Alqahtani, A Ajbar, NH Alharthi","Mathematics 12 (11), 1678",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
17fxZOsAAAAJ,2,Unveiling the Complexity of HIV Transmission: Integrating Multi-Level Infections via Fractal-Fractional Analysis,"YN Anjam, R Turki Alqahtani, NH Alharthi, S Tabassum","Fractal and Fractional 8 (5), 299",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
17fxZOsAAAAJ,3,A New Robust Iterative Scheme Applied in Solving a Fractional Diffusion Model for Oxygen Delivery via a Capillary of Tissues,"GA Okeke, AV Udo, NH Alharthi, RT Alqahtani","Mathematics 12 (9), 1339",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
17fxZOsAAAAJ,4,A generalized fractional order model for COV-2 with vaccination effect using real data,"MB Jeelani, AS Alnahdi, MS Abdo, MA Almalahi, NH Alharthi, K Shah",Fractals 2340042,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5796497260360403174,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=17fxZOsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=17fxZOsAAAAJ:_FxGoFyzp5QC
17fxZOsAAAAJ,5,Mathematical Analysis of Fractal-Fractional Mathematical Model of COVID-19,"M Sinan, NH Alharthi","Fractal and Fractional 7 (5), 358",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1472721356313084214,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=17fxZOsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=17fxZOsAAAAJ:Se3iqnhoufwC
17fxZOsAAAAJ,6,Some Latest Families of Exact Solutions to Date–Jimbo–Kashiwara–Miwa Equation and Its Stability Analysis,"A Akbulut, RT Alqahtani, NH Alharthi","Mathematics 11 (19), 4176",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11757839605021495102,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=17fxZOsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=17fxZOsAAAAJ:MXK_kJrjxJIC
17fxZOsAAAAJ,7,Wave Propagation and Stability Analysis for Ostrovsky and Symmetric Regularized Long-Wave Equations,"M Kaplan, RT Alqahtani, NH Alharthi","Mathematics 11 (19), 4030",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3820170848964905040,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=17fxZOsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=17fxZOsAAAAJ:8k81kl-MbHgC
17fxZOsAAAAJ,8,A FRACTIONAL MODEL OF COVID-19 IN THE FRAME OF ENVIRONMENTAL TRANSFORMATION WITH CAPUTO FRACTIONAL DERIVATIVE,"NH Alharthi, MB Jeelani","Advances and Applications in Statistics 88 (2), 225-244",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12856269390768610819,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=17fxZOsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=17fxZOsAAAAJ:0EnyYjriUFMC
17fxZOsAAAAJ,9,Study of a Cauchy Problem of fractional order derivative with Variable order Fractal dimension,"NH Alharthi, A Atangana, BS Alkahtani",Results in Physics 106524,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1197717935437871739,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=17fxZOsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=17fxZOsAAAAJ:UebtZRa9Y70C
17fxZOsAAAAJ,10,Analysis of Cauchy problem with fractal-fractional differential operators,"NH Alharthi, A Atangana, BS Alkahtani","Demonstratio Mathematica 56 (1), 20220181",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1104388775894360539,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=17fxZOsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=17fxZOsAAAAJ:roLk4NBRz8UC
