Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
1GiAGgwAAAAJ,1,"Gamma/neutron radiation shielding, structural and physical characteristics of iron slag nanopowder","MA Al-Rajhi, H Idriss, AAS Alaamer, AM El-Khayatt","Applied Radiation and Isotopes 170, 109606",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7694545216299762445,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:SeFeTyx0c_EC
1GiAGgwAAAAJ,2,Improvement of shielding properties of cement paste by slag addition from local steel industry,"AM El-Khayatt, MA Al-Rajhi, AT Hassan, H Idriss","Journal of Testing and Evaluation 49 (5), 3444-3459",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15020888498624137979,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:M05iB0D1s5AC
1GiAGgwAAAAJ,3,Reprint of “Occupational exposure in nuclear medicine and interventional cardiology departments in Sudan: Are they following radiation protection standards?”,"II Suliman, LH Salih, DM Ali, AS Alaamer, MA Al-Rajhi, M Alkhorayef, ...","Radiation Physics and Chemistry 167, 108556",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7781032573068035369,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:ldfaerwXgEUC
1GiAGgwAAAAJ,4,Occupational exposure in nuclear medicine and interventional cardiology departments in Sudan: are they following radiation protection standards?,"II Suliman, LH Salih, DM Ali, AS Alaamer, MA Al-Rajhi, M Alkhorayef, ...","Radiation physics and chemistry 160, 100-104",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7208867580553850135,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:2P1L_qKh6hAC
1GiAGgwAAAAJ,5,RETROSPECTIVE ANALYSIS OF PATIENT RADIATION DOSES IN DIGITAL CORONARY ANGIOGRAPHY AND INTERVENTIONS,"A Suliman, K Al-Jabri, A Alzimami, Alsafi, Abdulaziz, MA Al-Rajhi","Radiation Protection Dosimetry 183 (4), 497-502",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7184265678971715005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:lSLTfruPkqcC
1GiAGgwAAAAJ,6,Synthesis and characterization of an efficient new liquid laser dye material-chalcone (DMAPPP),"A Elzupir, K Ibnaouf, H Idriss, M Ibrahem, S Prasad, M Alrajhi, M AlSalhi, ...","Acta Physica Polonica A 133 (1), 121-125",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16930594724715667764,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:k_IJM867U9cC
1GiAGgwAAAAJ,7,"Health risk profile for terrestrial radionuclides in soil around artisanal gold mining area at Alsopag, Sudan","H Idriss, I Salih, AS Alaamer, MA Al-Rajhi, A Osman, TE Adreani, ...","Acta Geophysica 66, 673-681",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17188777019946298301,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:IWHjjKOFINEC
1GiAGgwAAAAJ,8,"Assessment of health risks from aflatoxins in rice commercialised in Riyadh, Kingdom of Saudi Arabia","AO Elzupir, AS Alamer, M AlRajhi, H Idriss","Quality Assurance and Safety of Crops & Foods 10 (3), 255-260",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1455590316980656833,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:J_g5lzvAfSwC
1GiAGgwAAAAJ,9,Monte Carlo study of unflattened versus flattened 18 MV photon beam from medical linear accelerator as photoneutron source for BNCT applications,"M Halato, I Suliman, A Artoli, M Al-Rajhi, F Longo, G Giannini","Physica Medica: European Journal of Medical Physics 52, 175",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
1GiAGgwAAAAJ,10,"Information quantifiers, entropy squeezing and entanglement properties of superconducting qubit-deformed bosonic field system under dephasing effect","K Berrada, MA Al-Rajhi","Quantum Information Processing 16, 1-16",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14853900885597871110,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:j3f4tGmQtD8C
1GiAGgwAAAAJ,11,A facile and economical method for mass production of ZnO nanopowder,"H Idriss, SA Moussa, AS Alaamer, MA Al-Rajhi","Digest J Nano mat Bio struct 12, 1069-1073",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15738156459226751301,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:TQgYirikUcIC
1GiAGgwAAAAJ,12,"SPECTRAL AND ASE PROPERTIES OF AN AMINO CHALCONE 1-(4-CHLOROPHENYL)-3-(4-N, N DIMETHYLAMINO PHENYL)-2-PROPEN-1-ONE","KH Ibnaouf, MKM Ali, AO Elzupir, MA Ibrahem, MA Alrajhi, H Idriss, ...","DIGEST JOURNAL OF NANOMATERIALS AND BIOSTRUCTURES 12 (2), 423-430",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9951248753203592404,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1GiAGgwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=1GiAGgwAAAAJ:RYcK_YlVTxYC
1GiAGgwAAAAJ,13,Investigation of Heavy Metal in Tea Prepared by Common Teapots in Riyadh,"MA Al-Rajhi, AS Alaamer, O Aldaghri, H Idriss","Journal of King Abdulaziz University 29 (1), 23-28",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
