Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
2mr_0HIAAAAJ,1,"Effect of ex situ, eco-friendly ZnONPs incorporating green synthesised Moringa oleifera leaf extract in enhancing biochemical and molecular aspects of Vicia faba L. under salt …","AM Alhudhaibi, SM Ragab, M Sharaf, L Turoop, S Runo, S Nyanjom, ...","Green Processing and Synthesis 13 (1), 20240012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2mr_0HIAAAAJ,2,Enhancing salt stress tolerance in wheat (Triticum aestivum) seedlings: insights from trehalose and mannitol,"AM Alhudhaibi, MAR Ibrahim, SMS Abd-Elaziz, HRM Farag, SM Elsayed, ...","BMC Plant Biology 24 (1), 472",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2mr_0HIAAAAJ,3,"Alleviating chromium-induced oxidative stress in Vigna radiata through exogenous trehalose application: insights into growth, photosynthetic efficiency, mineral …","A Elkelish, AM Alhudhaibi, ABMS Hossain, F Haouala, BM Alharbi, ...","BMC Plant Biology 24 (1), 460",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2mr_0HIAAAAJ,4,"Chemical Composition, Antioxidant Activity, and Milk-Clotting Activity of Aqueous Extracts from Leaves, Stems, and Flowers of Three Tunisian Ecotypes of Spontaneous and …","R Kouki, I Essaidi, K Annabi, N Dhen, F Haouala, AM Alhudhaibi, ...","Agronomy 14 (5), 987",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2mr_0HIAAAAJ,5,Valorization of vermicompost: effects on morpho-physiological parameters of organic tomato plantlets (Solanum lycopersicum L.),"S Akef Bziouech, N Dhen, I Ben Ammar, F Haouala, B Al Mohandes Dridi",Journal of Plant Nutrition 1-16,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2mr_0HIAAAAJ,6,Morphological characteristics of an ex-situ collection of Tunisian wild cardoon (Cynara cardunculus L. var. sylvestris) and evaluation of its inulin content,"H Sbai, I Ben Ammar, N Dhen, F Haouala, R Kouki, M Makina, ...",Genetic Resources and Crop Evolution 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2mr_0HIAAAAJ,7,Electrochemical detection of nitrazepam using leaf-like graphitic carbon nitride nanosheets,"M Imran, S Ahmed, EA Al-Harthi, ME Khan, MM Alam, F Haouala, ...","Physica Scripta 98 (7), 075003",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13739085742039452835,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2mr_0HIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2mr_0HIAAAAJ:3s1wT3WcHBgC
2mr_0HIAAAAJ,8,Biomaterial-based strategies for immunomodulation in IBD: current and future scenarios,"C Jori, AA Chaudhary, S Rashid, MAM Ali, AS Alawam, F Haouala, ...","Journal of Materials Chemistry B 11 (25), 5668-5692",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1328991032293432111,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2mr_0HIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2mr_0HIAAAAJ:SeFeTyx0c_EC
2mr_0HIAAAAJ,9,Onopordum nervosum ssp. platylepis Flowers as a Promising Source of Antioxidant and Clotting Milk Agents: Behavior of Spontaneous and Cultivated Plants …,"I Essaidi, N Dhen, G Lassoued, R Kouki, F Haouala, AM Alhudhaibi, ...","Processes 11 (10), 2962",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16396328447699566127,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2mr_0HIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2mr_0HIAAAAJ:ns9cj8rnVeAC
2mr_0HIAAAAJ,10,Effect of salinity on germination capacity of laurel (Laurus nobilis L.),"AB Ayed, E Aissa, F Haouala","GSC Advanced Research and Reviews 15 (3), 304-309",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=424748323826332678,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2mr_0HIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2mr_0HIAAAAJ:GnPB-g6toBAC
