Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
2yKj_iwAAAAJ,1,In-depth study of the photocatalytic performance of novel magnetic catalysts for efficient photocatalytic degradation of the dye orange G,"M Elansary, M Belaiche, O Oulhakem, KB Alaoui, OM Lemine, Y Mouhib, ...","Materials Research Bulletin 170, 112598",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12185031469405150808,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2yKj_iwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2yKj_iwAAAAJ:4fKUyHm3Qg0C
2yKj_iwAAAAJ,2,"On the correlation between mechanical, optical, and magnetic properties of co-substituted Sn1-x-yZnxMyOz metal-oxide ceramics with M= Fe, Co, Ni, and Mn","M Mohamed, A Sedky, AS Alshammari, MS Alshammari, ZR Khan, ...","Ceramics International 50 (10), 17311-17322",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17970734818656260964,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2yKj_iwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2yKj_iwAAAAJ:eflP2zaiRacC
2yKj_iwAAAAJ,3,Preparation and characterization of various PVPylated divalent metal-doped ferrite nanoparticles for magnetic hyperthermia,"K El-Boubbou, OM Lemine, S Algessair, N Madkhali, B Al-Najar, E AlMatri, ...","RSC advances 14 (22), 15664-15679",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1056810776749653543,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2yKj_iwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2yKj_iwAAAAJ:mvPsJ3kp5DgC
2yKj_iwAAAAJ,4,"Structural, morphological, optical, magnetic and impedance spectroscopic properties of Ni0· 5Fe2· 5O4 nanoparticles synthesized by the self-combustion method","I El Heda, J Massoudi, R Dhahri, F Bahri, E Dhahri, K Khirouni, BFO Costa, ...","Physica E: Low-dimensional Systems and Nanostructures 158, 115904",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2yKj_iwAAAAJ,5,Heating ability of amine functionalized Fe3O4 as a function of field amplitude and frequency for hyperthermia application,"N Madkhali, F Alshehri, MM Abduljawad, S Algessair, OM Lemine","Physica Scripta 99 (4), 045957",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2yKj_iwAAAAJ,6,Effects of gamma radiation on the electrical properties of InAs/InGaAs quantum dot-based laser structures grown on GaAs and Si substrates by molecular beam epitaxy,"M Al Huwayz, DA Jameel, WM de Azevedo, JF Felix, N Al Saqri, ...","Physical Chemistry Chemical Physics 26 (1), 445-454",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
2yKj_iwAAAAJ,7,Assessing the Heat Generation and Self-Heating Mechanism of Superparamagnetic Fe3O4 Nanoparticles for Magnetic Hyperthermia Application: The Effects of …,"OM Lemine, S Algessair, N Madkhali, B Al-Najar, K El-Boubbou","Nanomaterials 13 (3), 453",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16812165972046944518,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2yKj_iwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2yKj_iwAAAAJ:p2g8aNsByqUC
2yKj_iwAAAAJ,8,"Novel biocompatible nanomaterial for biomedical application: Structural, morphological, magnetic, and in vivo toxicity investigations","M Elansary, M Belaiche, Y Mouhib, OM Lemine, N Bentarhlia, I Bsoul","Ceramics International 49 (3), 4551-4570",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15285190517772801813,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2yKj_iwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2yKj_iwAAAAJ:dshw04ExmUIC
2yKj_iwAAAAJ,9,Evaluating of novel Mn–Mg–Co ferrite nanoparticles for biomedical applications: From synthesis to biological activities,"N Bentarhlia, M Elansary, M Belaiche, Y Mouhib, OM Lemine, H Zaher, ...","Ceramics International 49 (24), 40421-40434",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12395649906650131734,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2yKj_iwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2yKj_iwAAAAJ:vRqMK49ujn8C
2yKj_iwAAAAJ,10,Green synthesis of functional CuFe2O4@ TiO2@ rGO nanostructure for magnetic hyperthermia and cytotoxicity of human breast cancer cell line,"R Esther Nimshi, J Judith Vijaya, M Bououdina, L John Kennedy, ...","Journal of Inorganic and Organometallic Polymers and Materials 33 (4), 1016-1027",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16416620390915384240,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2yKj_iwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=2yKj_iwAAAAJ:u9iWguZQMMsC
