Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
4hAJABsAAAAJ,1,Solitonic effect on relativistic string cloud spacetime attached with strange quark matter,"Y Li, MD Siddiqi, MA Khan, I Al-Dayel, M Zakaria","context 14, 16",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15565597391958700441,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:wbdj-CoPYUoC
4hAJABsAAAAJ,2,Chen–Ricci Inequality for Isotropic Submanifolds in Locally Metallic Product Space Forms,"Y Li, MA Khan, MD Aquib, I Al-Dayel, MZ Youssef","Axioms 13 (3), 183",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8025672009247846664,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:J-pR_7NvFogC
4hAJABsAAAAJ,3,On bijective product square -cordial labeling,"R Santrin Sabibha, K Jeya Daisy, P Jeyanthi, MZ Youssef","Discrete Mathematics, Algorithms and Applications 2450013",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4hAJABsAAAAJ,4,k-Product Cordial Labeling of Splitting Graph of Star Graphs,"KJ Daisy, RS Sabibha, P Jeyanthi, IMZ Youssef","Communications in Combinatorics, Cryptography and Computer Science 68-80",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4hAJABsAAAAJ,5,Numerical investigation for the fractional model of pollution for a system of lakes using the SCM based on the Appell type Changhee polynomials,"M Adel, MM Khader, MM Babatin, MZ Youssef","Aims Mathematics 8 (12), 31104–31117",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4815051099508831246,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:UxriW0iASnsC
4hAJABsAAAAJ,6,"A comprehensive study on fuzzy and crisp graph indices: generalized formulae, proximity and accuracy analysis","MU Mirza, R Anjum, MZ Youssef, T Alsuraiheed","Aims Mathematics 8 (12), 30922–30939",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3139284181170927962,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:dshw04ExmUIC
4hAJABsAAAAJ,7,Solving Fractional Generalized Fisher–Kolmogorov–Petrovsky–Piskunov’s Equation Using Compact‐Finite Different Methods Together with Spectral Collocation Algorithms,"MZ Youssef, MM Khader, I Al-Dayel, WE Ahmed","Journal of Mathematics 2022 (1), 1901131",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18303177667202900915,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:fPk4N6BV_jEC
4hAJABsAAAAJ,8,k-Product Cordial Labeling of Napier Bridge Graphs,"KJ Daisy, RS Sabibha, P Jeyanthi, MZ Youssef","Nepal Journal of Mathematical Sciences   NJMS 3 (2), 59-70",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10451358934477849609,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:abG-DnoFyZgC
4hAJABsAAAAJ,9,k-product cordial labeling of cone graphs,"KJ Daisy, RS Sabibha, P Jeyanthi, MZ Youssef",International Journal of Mathematical Combinatorics 72-80,2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6865424792991681451,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:pyW8ca7W8N0C
4hAJABsAAAAJ,10,k-product cordial behaviour of union of graphs,"KJ Daisy, RS Sabibha, P Jeyanthi, MZ Youssef","J. Indones. Math. Soc. 28 (1), 1-7",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13343258162146718027,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:4OULZ7Gr8RgC
4hAJABsAAAAJ,11,k-Product cordial labeling of powers of paths,"KJ Daisy, RS Sabibha, P Jeyanthi, MZ Youssef","Jordan Journal of Mathematics and Statistics 15 (4A), 911-924",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9162761793512995063,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:P5F9QuxV20EC
4hAJABsAAAAJ,12,Relaxing the injectivity constraint on arithmetic and harmonious labelings.,"C Barrientos, MZ Youssef",Electronic Journal of Graph Theory & Applications 10 (2),2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1602254053761816667,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:_xSYboBqXhAC
4hAJABsAAAAJ,13,Optimal maximal graphs,"C Barrientos, MZ Youssef","Transactions on Combinatorics 11 (2), 85-97",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4hAJABsAAAAJ,14,New results on k-prime labeling,"MZ Youssef, N Omar","International Journal of Mathematics And Computer Research 9 (7), 2324-2338",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4hAJABsAAAAJ,15,On odd prime labeling of graphs,"MZ Youssef, ZS Almoreed","Open Journal of Discrete Applied Mathematics 3 (3), 8",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16797160740972779062,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:-f6ydRqryjwC
4hAJABsAAAAJ,16,Odd harmonious labeling of grid graphs,"P Jeyanthi, S Philo, MZ Youssef","Proyecciones (Antofagasta) 38 (3), 411-429",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14118187516131175827,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:L8Ckcad2t8MC
4hAJABsAAAAJ,17,On even harmonious labeiings,MZ Youssef,Utilitas Mathematica 110,2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4hAJABsAAAAJ,18,Note on even harmonious labeling of cycles,MZ Youssef,Utilitas Mathematica 100,2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14734616949920987090,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:qxL8FJ1GzNcC
4hAJABsAAAAJ,19,Some new results on k-cordial labeling,"MZ Youssef, NA AL-Kuleab","ARS COMBINATORIA 126, 311-322",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14582332698199194686,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:YOwf2qJgpHMC
4hAJABsAAAAJ,20,On a-labeling of disconnected graphs,MZ Youssef,"ARS COMBINATORIA 123, 329-338",2015,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9184890646073954172,10690929060648474834",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:Zph67rFs4hoC
4hAJABsAAAAJ,21,On harmonious labeling of corona graphs,"M Bača, MZ Youssef","Journal of Applied Mathematics 2014 (1), 627248",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18377166149881826152,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:roLk4NBRz8UC
4hAJABsAAAAJ,22,On Prime Labeled Self-Complementary Graphs,"AAG Michael, MZ Youssef","Journal of Discrete Mathematical Sciences and Cryptography 17 (3), 239-256",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4035200758694822259,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:KlAtU1dfN6UC
4hAJABsAAAAJ,23,On k-equitable and k-balanced labelings of graphs.,MZ Youssef,"Ars Comb. 108, 51-64",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15241418688998841977,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:_FxGoFyzp5QC
4hAJABsAAAAJ,24,3-equitable labelings of ladders and graphs related to cycles,"M Abouelyamin, NA Al-Kuleab","Utilitas Mathematica 92, 261-274",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18239117154112675347,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:Se3iqnhoufwC
4hAJABsAAAAJ,25,On Ek-cordial labeling.,MZ Youssef,"Ars Comb. 104, 271-279",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8302884750419999886,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:5nxA0vEk-isC
4hAJABsAAAAJ,26,4-cordiality of some regular graphs and the complete 4-partite graph,"M Abouelyamin, NA Al-Kuleab","Journal of Combinatorial Mathematics and Combinatorial Computing 76, 121-136",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12003576029898572048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:LkGwnXOMwfcC
4hAJABsAAAAJ,27,Graph operations and cordiality,"MZ Youssef, EA Elsakhawai","Ars Combin 97, 161-174",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10740452906828290521,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:WF5omc3nYNoC
4hAJABsAAAAJ,28,On k-cordial labeling.,MZ Youssef,"Australas. J Comb. 43, 31-38",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8249460904982836169,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:Y0pCki6q_DkC
4hAJABsAAAAJ,29,Edge-antimagic graphs,"M Bača, Y Lin, M Miller, MZ Youssef","Discrete Mathematics 307 (11-12), 1232-1244",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7616948185201707107,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:u-x6o8ySG0sC
4hAJABsAAAAJ,30,Further results on antimagic graph labelings,"M Baca, MZ Youssef","AUSTRALASIAN JOURNAL OF COMBINATORICS 38, 163",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2096175598506038863,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:2osOgNQ5qMEC
4hAJABsAAAAJ,31,Some properties of prime graphs,"MZ Youssef, EA Elsakhawi","Ars Combinatoria 84, 129-140",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11733896459637063913,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:Tyk-4Ss8FVUC
4hAJABsAAAAJ,32,On Skolem-graceful and cordial graphs,MZ Youssef,"Ars Combinatoria 78, 167-177",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14459709458655709924,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:u5HHmVD_uO8C
4hAJABsAAAAJ,33,Pseudograceful labelings of cycles,MZ Youssef,"Ars Combinatoria 76, 241-247",2005,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13429892891647700739,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:W7OEmFMy1HYC
4hAJABsAAAAJ,34,Various Results on Graph Labelings,"A ALJOUIEE, EA ELSKHAWI, MZ YOUSSEF","Congressus Numerantium 176, 11",2005,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4hAJABsAAAAJ,35,Total chromatic numbers of Cartesian product of graphs.,MASMZ Youssef.,", Proc. Math. Phys. Soc. Egypt 80, 80 (2004) 173-177",2004,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
4hAJABsAAAAJ,36,A necessary condition on k-equitable labelings,MZ Youssef,Utilitas Mathematica 64,2003,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3348844772260764371,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:d1gkVwhDpl0C
4hAJABsAAAAJ,37,Two general results on harmonious labelings,M Abouelyamin,"Ars Combinatoria 68 (1), 225-230",2003,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15216922747179195767,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:qjMakFHDy7sC
4hAJABsAAAAJ,38,New families of graceful graphs,MZ Youssef,"Ars Combinatoria 67, 303-311",2003,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10934487500112808117,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:IjCSPb-OGe4C
4hAJABsAAAAJ,39,On harmonious graphs of order 6,"MA Seoud, M Abouelyamin","Ars Combinatoria 65, 155-176",2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16311804111082266038,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:ufrVoPGSRksC
4hAJABsAAAAJ,40,New families of graceful disconnected graphs,"MA Seoud, M Abouelyamin","Ars Combinatoria 57, 233-245",2000,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6427274435147665438,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:zYLM7Y9cAGgC
4hAJABsAAAAJ,41,The effect of some operations on labelling of graphs,"MA Seoud, MZ Youssef","Proc. Math. Phys. Soc. Egypt 73, 35-49",2000,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15087522248056149176,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:aqlVkmm33-oC
4hAJABsAAAAJ,42,On prime labeling of graphs,"MA Seoud, MZ Youssef",Congressus Numerantium 203-215,1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3887769938035697093,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:9yKSN-GCB0IC
4hAJABsAAAAJ,43,Families of harmonious and non-harmonious graphs,"MA Seoud, MZ Youssef","J. Egyptian Math. Soc 7, 117-125",1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10569510675781317556,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:4DMP91E08xMC
4hAJABsAAAAJ,44,On labelling complete tripartite graphs,"MA Seoud, MZ Youssef",International Journal of Mathematical Education in Science and Technology 28 …,1997,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3209393332540233964,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4hAJABsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=4hAJABsAAAAJ:YsMSGLbcyi4C
