Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
6GjPBMYAAAAJ,1,"Inhibitory Activity of Saussurea costus Extract against Bacteria, Candida, Herpes, and SARS-CoV-2","H Idriss, B Siddig, P González-Maldonado, HM Elkhair, AI Alakhras, ...","Plants 12 (3), 460",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3081138173161385610,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6GjPBMYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6GjPBMYAAAAJ:hC7cP41nSMkC
6GjPBMYAAAAJ,2,"Cosmological implications of the constant jerk parameter in f (Q, T) gravity theory","N Myrzakulov, M Koussour, AHA Alfedeel, HM Elkhair","Chinese Journal of Physics 86, 300-312",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9317101099310737224,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6GjPBMYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6GjPBMYAAAAJ:u_35RYKgDlwC
6GjPBMYAAAAJ,3,Classical Solutions for the Generalized Kawahara–KdV System,"SG Georgiev, A Boukarou, K Bouhali, K Zennir, HM Elkhair, EI Hassan, ...","Symmetry 15 (6), 1159",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4135214738569906239,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6GjPBMYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6GjPBMYAAAAJ:rO6llkc54NcC
6GjPBMYAAAAJ,4,Existence and Qualitative Properties of Solution for a Class of Nonlinear Wave Equations with Delay Term and Variable-Exponents Nonlinearities,"M Karek, S Otmani, K Bouhali, K Zennir, HM Elkhair, EI Hassan, ...","Axioms 12 (5), 444",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6GjPBMYAAAAJ,5,Existence and Qualitative Properties of Solution for a Class of Nonlinear Wave Equations with Delay Term and Variable-Exponents Nonlinearities,"AHAAAA Mohamed Karek, Sadok Otmani, Keltoum Bouhali , Khaled Zennir , Hatim ...","axioms 12 (444), 1-21",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6GjPBMYAAAAJ,6,Local Existence and Blow-Up of Solutions for Wave Equation Involving the Fractional Laplacian with Nonlinear Source Term,"Y Bidi, A Beniani, K Bouhali, K Zennir, HM ElKhair, EI Hassan, A Alarfaj","Axioms 12 (4), 343",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6GjPBMYAAAAJ,7,"Phytochemical Discrimination, Biological Activity and Molecular Docking of Water-Soluble Inhibitors from Saussurea costus Herb against Main Protease of SARS …","H Idriss, B Siddig, PG Maldonado, HM Elkhair, AI Alakhras, EM Abdallah, ...","Molecules 27 (15), 4908",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2064488623619318856,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6GjPBMYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6GjPBMYAAAAJ:QIV2ME_5wuYC
6GjPBMYAAAAJ,8,ZnO nanoparticles and their properties as surface coating materials against coronavirus: viewpoint,"HMEK H. Idrissa, M. Habib, A. I. Alakhrasa","Journal of Optoelectronic and Biomedical Materials 14 (2), 53-61",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14358839268140892383,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6GjPBMYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6GjPBMYAAAAJ:qUcmZB5y_30C
6GjPBMYAAAAJ,9,Nano-sized Metal Oxides and Their use as a Surface Disinfectant Against COVID-19: (Review and Perspective),"AIAHMELH HAJO IDRISS, M. A. HAbIb","ORIENTAL JOURNAL OF CHEMISTRY 38 (6), 1328-1337",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6GjPBMYAAAAJ,10,"Phytochemical Discrimination, Biological Activity and Molecular Docking of Water-Soluble Inhibitors from Saussurea costus Herb against Main Protease of SARS-CoV-2","PHSTAOE Hajo Idriss, Babeker Siddig, Pamela González Maldonado, H. M ...","Molecules 27 (4908), 2",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6GjPBMYAAAAJ,11,Transparent glass coated with silver colloid nanoparticles candidate as an anti- Coronavirus surface - Perspective,"HI A. I. Alakhrasa, H. M. El Khair, M. Habib, T. Odeh","Journal of Optoelectronic and Biomedical Materials 14 (1), 19-28",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6GjPBMYAAAAJ,12,Molecular Docking Identification for the efficacy of Some Zinc Complexes with Chloroquine and Hydroxychloroquine against Main Protease of COVID- 19,RKHHM Elkhair,"Journal of Molecular Structure 1231 (129979), 1-9",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15281181088228044167,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6GjPBMYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6GjPBMYAAAAJ:Wp0gIr-vW9MC
6GjPBMYAAAAJ,13,Malachite green removal from aqueous solutions by MgO(86%).Se(7%).Te(7%) nanocomposites,"HMEK H. Idriss, A. I. Alakhras","Chalcogenide Letters 18 (No. 10), 629 - 638",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12976365751726693240,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6GjPBMYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6GjPBMYAAAAJ:mVmsd5A6BfQC
