Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
6T-TEA4AAAAJ,1,"Effects of varying dietary microalgae levels on performance, egg quality, fertility, and blood biochemical parameters of laying Japanese quails (Coturnix coturnix Japonica)","ME Abd El-Hack, KA Majrashi, KG Fakiha, M Roshdy, M Kamal, RM Saleh, ...","Poultry Science 103 (4), 103454",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16512672785792827223,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6T-TEA4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6T-TEA4AAAAJ:4OULZ7Gr8RgC
6T-TEA4AAAAJ,2,Cost-effective layered double hydroxides/conductive polymer nanocomposites for electrochemical detection of wastewater pollutants,"M KAMEL, G Abd EL-FATAH, A ZAHER, AA FARGHALI, SI OTHMAN, ...","Chinese Journal of Analytical Chemistry 52 (3), 100368",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6612972433504841250,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6T-TEA4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6T-TEA4AAAAJ:yD5IFk8b50cC
6T-TEA4AAAAJ,3,"Impact of β-glucan dietary supplementation on productive, reproductive performance and physiological response of laying hens under heat stress conditions","W Ezzat, KM Mahrose, AM Rizk, MMM Ouda, IA Fathey, SI Othman, ...","Poultry Science 103 (1), 103183",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6333882133417351437,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6T-TEA4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6T-TEA4AAAAJ:70eg2SAEIzsC
6T-TEA4AAAAJ,4,Dietary supplementation with Dunaliella salina microalga promotes quail growth by altering lipid profile and immunity,"M Alagawany, A Lestingi, HA Abdelzaher, SS Elnesr, M Madkour, ...","Poultry Science 103 (5), 103591",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9586452003841723002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6T-TEA4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6T-TEA4AAAAJ:pyW8ca7W8N0C
6T-TEA4AAAAJ,5,Investigation of ternary Zn–Co–Fe layered double hydroxide as a multifunctional 2D layered adsorbent for moxifloxacin and antifungal disinfection,"R Mahmoud, NM Kotb, Y GadelHak, FIA El-Ela, AZ Shehata, SI Othman, ...","Scientific Reports 14 (1), 806",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2333217886574697428,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6T-TEA4AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6T-TEA4AAAAJ:zA6iFVUQeVQC
6T-TEA4AAAAJ,6,"Effects of immersing Japanese quail eggs in various doses of riboflavin on reproductive, growth performance traits, blood indices and economics","AAM Gomaa, AA Rashwan, MI Tewfik, DE Abou-Kassem, IM Youssef, ...","Poultry Science 103 (8), 103858",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,7,"Impact of packaging atmosphere, oregano essential oil, and storage temperature on cold-adapted Salmonella Enteritidis and Salmonella Typhimurium on ready-to-eat smoked turkey","SA Mahgoub, SYA Qattan, F AlMalki, M Kamal, AF Alqurashi, ...","Poultry Science 103 (7), 103846",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,8,Performance and economic efficiency of laying hens in response to adding zeolite to feed and litter,"AI Elsherbeni, IM Youssef, RE Hamouda, M Kamal, GM El-Gendi, ...","Poultry Science 103 (7), 103799",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,9,"Does the marketing age impact growth performance, carcass traits, economic feasibility and hemato-biochemical properties of genetically-modified quails?","HM Taleb, AA Abdel-Halim, GS Ramadan, SA Shazly, M Kamal, ...","Poultry Science 103 (7), 103793",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,10,Impacts of storage period and egg weight on hatching and growth performance of growing Japanese quails,"DE Abou-Kassem, GA El-Sayiad, RA El-Samahy, ME Abd El-Hack, ...","Poultry Science 103 (7), 103772",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,11,"Impact of Adding Zeolite to broilers' Diet and Litter on Growth, Blood Parameters, Immunity, and Ammonia Emission","AI Elsherbeni, IM Youssef, M Kamal, MAM Youssif, GM El-Gendi, ...",Poultry Science 103981,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,12,Assessment of activated carbon/alginate for the concurrent removal efficiency of paracetamol and caffeine from wastewater in their binary solutions,"SM Mahgoub, AA Kotp, MA Mohamed, HE Alfassam, HA Rudayni, ...",Chinese Journal of Analytical Chemistry 100403,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,13,"Biological Control of Tomato Bacterial Leaf Spots and Its Impact on Some Antioxidant Enzymes, Phenolic Compounds, and Pigment Content","AH Akila, MAS Ali, AM Khairy, ASM Elnahal, HE Alfassam, HA Rudayni, ...","Biology 13 (6), 369",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,14,Impacts of Bacillus Probiotics on Productive Performance and Egg Quality Criteria in Laying Japanese Quails,"Y Cufadar, EA Beyari, SA Hassoubah, B Curabay, B Sevim, A Aksoy, ...",Journal of Applied Poultry Research 100445,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,15,Are microplastics efficient remediation tools for removing the statin Lipitor? A laboratory experiment with meiobenthic nematodes,"BM Aldraiwish, MM Alaqeel, N Al-Hoshani, S Özdemir, O Pacioglu, ...","Frontiers in Marine Science 11, 1390700",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,16,"Chemical Composition, Antioxidant Activity, and Milk-Clotting Activity of Aqueous Extracts from Leaves, Stems, and Flowers of Three Tunisian Ecotypes of Spontaneous and …","R Kouki, I Essaidi, K Annabi, N Dhen, F Haouala, AM Alhudhaibi, ...","Agronomy 14 (5), 987",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,17,"Cellulose-based CoFe LDH composite as a nano-adsorbent for sulfamethoxazole and cefixime residues: Evaluation of performance, green metrics and cytotoxicity","AA Kotp, AA Allam, AM Salah, W Kamal, D Essam, SM Mahgoub, ...","Journal of Contaminant Hydrology 264, 104364",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,18,"Steric, Synergetic, Energetic Studies on the Impact of the Type of the Hybridized Polymers (Chitosan and β-Cyclodextrin) on the Adsorption Properties of Zeolite-A for Congo Red Dye","AM Farhan, GM Abu-Taweel, IR Sayed, HA Rudayni, AA Allam, ...","ACS omega 9 (19), 21204-21220",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6T-TEA4AAAAJ,19,Antioxidant Effects of Whey Protein as a Dietary Supplement to Alleviate Cadmium-Induced Oxidative Stress in Male Wistar Rats,"M Al-Zharani, E Almuqri, M Mubarak, N Aljarba, H Rudayni, K Yassen","Current Research in Nutrition and Food Science Journal 12 (1), 147-156",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
