Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
6d2jfaEAAAAJ,1,"Phyto-mediated synthesis of Ag, ZnO, and Ag/ZnO nanoparticles from leave extract of Solanum macrocarpon: Evaluation of their antioxidant and anticancer activities","MYA Mohamed, H Ferjani, OE Ogunjinmi, M Jalouli, DC Onwudiwe","Inorganica Chimica Acta 569, 122086",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=502924721107423224,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6d2jfaEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6d2jfaEAAAAJ:_kc_bZDykSQC
6d2jfaEAAAAJ,2,Toxicity of mercuric oxide nanoparticles on freshwater microalgae: Comprehensive analysis on their interactive effects and detoxification pathways,"SM Hamed, HS Ali, MYA Mohamed, BS AlammarI, H AbdElgawad",Journal of Water Process Engineering 57 (104583),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13504462910689797991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6d2jfaEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6d2jfaEAAAAJ:MXK_kJrjxJIC
6d2jfaEAAAAJ,3,Insights into the growth and biochemical defense responses associated with fenitrothion toxicity and uptake by freshwater cyanobacteria,"SM Hamed, MYA Mohamed, BS Alammari, H AbdElgawad","Chemosphere 358, 141909",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6d2jfaEAAAAJ,4,"Accumulation and nano-ecotoxicological impact of cerium oxide nanoparticles on cyanobacteria: Understanding photosynthesis, detoxification, and antioxidant responses","SM Hamed, NHE Tablawy, MYA Mohamed, BS Alammari, H AbdElgawad",Journal of Environmental Chemical Engineering 12 (112134),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6d2jfaEAAAAJ,5,Occurrence and Molecular Study of Hypermucoviscous/Hypervirulence Trait in Gut Commensal K. pneumoniae from Healthy Subjects,"DM Osama, BM Zaki, WS Khalaf, MYA Mohamed, MM Tawfick, HM Amin",Microorganisms 11 (704),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2613527758533749458,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6d2jfaEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6d2jfaEAAAAJ:hqOjcs7Dif8C
6d2jfaEAAAAJ,6,"The protective effects of sesamol and/or the probiotic, Lactobacillus rhamnosus, against aluminum chloride-induced neurotoxicity and hepatotoxicity in rats: Modulation of Wnt/β …","SSZMNED Karema Abu-Elfotuh, Heba Mohammed Refat M. Selim, Omnia Karem M ...",Frontiers in Pharmacology 14 (1208252),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16810527725797637320,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6d2jfaEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6d2jfaEAAAAJ:0EnyYjriUFMC
6d2jfaEAAAAJ,7,Biologically inspired stealth-camouflaged strategies in nanotechnology for the improved therapies in various diseases,"M Imran, V Gowd, P Saha, S Rashid, AA Chaudhary, MYA Mohamed, ...",International Journal of Pharmaceutics 122407,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16762939497038361242,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6d2jfaEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6d2jfaEAAAAJ:YsMSGLbcyi4C
6d2jfaEAAAAJ,8,"Synthesis and Antimicrobial, Anticancer and Anti-Oxidant Activities of Novel 2,3-Dihydropyrido[2,3-d]pyrimidine-4-one and Pyrrolo[2,1-b][1,3]benzothiazole Derivatives via …","AA Al-Mutairi, HN Hafez, ARBA El-Gazzar, MYA Mohamed","Molecules 27 (4), 1246",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5192434112323629398,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6d2jfaEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6d2jfaEAAAAJ:qjMakFHDy7sC
6d2jfaEAAAAJ,9,Immunohistochemical Analysis of Lung Cancer: Mini,"AJ Khatib, MYA Mohamed",Annals of Medical and Health Sciences Research| Volume 12 (9),2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6d2jfaEAAAAJ,10,Microbiological Role of Malabsorption: A New Medical Hypothesis,"AJ Khatib, MYA Mohamed","Biochem J 474, 1823-1836",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6d2jfaEAAAAJ,11,The Impact of Epstein Barr-Virus on Therapeutic Options of Lymphoma,"AJ Alkhatib, MYA Mohamed, GA AlGhamdi","American Journal of Biomedical Science & Research 8 (1), 59-61",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6d2jfaEAAAAJ,12,Soil derived antibiotics: Soil as a potential source of newly effective antibiotics,"AJ Alkhatib, MYA Mohamed","Indian Research Journal of Pharmacy and Science 7 (1), 2042-2043",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6d2jfaEAAAAJ,13,Characterization of Extended-Spectrum Beta-Lactamases in Some Enterobacteriaceae Clinical Isolates from Egyptian Patients,"A El-Sharif, S Afifi, RA Khalek, MYA Mohamed, H El-Mohammady, ...","Archives of Clinical Microbiology 5 (3), 0-0",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6d2jfaEAAAAJ,14,Heterogeneity of Campylobacter species isolated from serial stool specimens of Egyptian children using pulsed field gel electrophoresis,"AM El-Gendy, MO Wasfy, AM Mansour, B Oyofo, MYA Mohamed, ...",African journal of laboratory medicine 2 (1),2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16493327745520121698,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6d2jfaEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6d2jfaEAAAAJ:u5HHmVD_uO8C
6d2jfaEAAAAJ,15,FEMALE (IN) FERTILITY,"S Kanta Goswami, S Banerjee, P Saha, P Chakraborty, SN Kabir, ...","Human Reproduction 27 (2), ii226",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
6d2jfaEAAAAJ,16,Possible protective effect of Gum Arabic on experimentally induced gastric ulcer in adult male albino rats: a histopathological and immunohistochemical study,"KH Omayma, MY Mohamed, M Elnaa","Egyptian Journal of Histology 34, 546-553",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15014699276036531260,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6d2jfaEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=6d2jfaEAAAAJ:W7OEmFMy1HYC
