Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
8zTlDwcAAAAJ,1,Nano-enhanced growth and resilience strategies for pomegranate Cv. wonderful: Unveiling the impact of zinc and boron nanoparticles on fruit quality and abiotic stress management,"AEN Abd El, SM Khalifa, MD Alqahtani, AM Abd–Alrazik, H Abdel-Aziz, ...","Journal of Agriculture and Food Research 15, 100908",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18308769696422031659,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8zTlDwcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8zTlDwcAAAAJ:kVjdVfd2voEC
8zTlDwcAAAAJ,2,"Green synthesis of magnesium oxide nanoparticles using endophytic fungal strain to improve the growth, metabolic activities, yield traits, and phenolic compounds content of …","MAA Amin, AM Abu-Elsaoud, AI Nowwar, AT Abdelwahab, MA Awad, ...","Green Processing and Synthesis 13 (1), 20230215",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13198517742281306193,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8zTlDwcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8zTlDwcAAAAJ:nRpfm8aw39MC
8zTlDwcAAAAJ,3,Kinetin-mediated alleviation of cadmium stress in mung plants: A comprehensive analysis of antioxidant response and growth enhancement,"N Ali, MJ Yousaf, FA Al-Salmi, M AlHarbi, A Elkelish, SM AL-Balawi, ...","Chelonian Research Foundation 19 (01), 597-617",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5237455631816959201,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8zTlDwcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8zTlDwcAAAAJ:1taIhTC69MYC
8zTlDwcAAAAJ,4,Genetic insights into stress resilience via enhancing salinity adaptation in barley,"SG Thabet, A Elkelish, KM Alwutayed, AM Alqudah",Plant Molecular Biology Reporter 1-11,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4436717648012009621,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8zTlDwcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8zTlDwcAAAAJ:FiytvqdAVhgC
8zTlDwcAAAAJ,5,"Effect of salinity, nitrogen and phosphorus stresses on growth and photosynthetic activity of the marine microalga Dunaliella parva","ELS Mostafa, S Dewidar, A Hamad, AM Abu-elsaoud, M Alharbi, ...","Notulae Botanicae Horti Agrobotanici Cluj-Napoca 52 (1), 13426-13426",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11003678687150490378,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8zTlDwcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8zTlDwcAAAAJ:IaI1MmNe2tcC
8zTlDwcAAAAJ,6,"Eco-friendly approach to decrease the harmful effects of untreated wastewater on growth, yield, biochemical constituents, and heavy metal contents of carrot (Daucus carota L.)","A Alhashimi, A Abdelkareem, MA Amin, AI Nowwar, A Fouda, MA Ismail, ...","Environmental Science and Pollution Research 31 (9), 14043-14058",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13147723286144853856,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8zTlDwcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8zTlDwcAAAAJ:7Hz3ACDFbsoC
8zTlDwcAAAAJ,7,Unveiling into Genetic Architecture of Transgenerational Stress Memory via Promoting Drought Tolerance in Barley,"AM Alqudah, SG Thabet, FA Safhi, A Elkelish",Journal of Soil Science and Plant Nutrition 1-12,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8zTlDwcAAAAJ,8,"Effect of ex situ, eco-friendly ZnONPs incorporating green synthesised Moringa oleifera leaf extract in enhancing biochemical and molecular aspects of Vicia faba L. under salt …","AM Alhudhaibi, SM Ragab, M Sharaf, L Turoop, S Runo, S Nyanjom, ...","Green Processing and Synthesis 13 (1), 20240012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8zTlDwcAAAAJ,9,"Effect of Normal and Magnetized Gray Water on Growth, Mineral Hemostasis and Antioxidant Content in Zucchini (Cucurbita pepo L.)","A Moussa, M Omar, AG Mancy, A Abu-Elsaoud, I Ali, E Azab, A Elkelish","Egyptian Journal of Soil Science 64 (2), 561-580",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8zTlDwcAAAAJ,10,Enhancing salt stress tolerance in wheat (Triticum aestivum) seedlings: insights from trehalose and mannitol,"AM Alhudhaibi, MAR Ibrahim, SMS Abd-Elaziz, HRM Farag, SM Elsayed, ...","BMC Plant Biology 24 (1), 472",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8zTlDwcAAAAJ,11,"Alleviating chromium-induced oxidative stress in Vigna radiata through exogenous trehalose application: insights into growth, photosynthetic efficiency, mineral …","A Elkelish, AM Alhudhaibi, ABMS Hossain, F Haouala, BM Alharbi, ...","BMC Plant Biology 24 (1), 460",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8zTlDwcAAAAJ,12,Investigating Sulforaphane’s anti-virulence and anti-quorum sensing properties against Pseudomonas aeruginosa,"MM Bendary, MAM Ali, AS Abdel Halim, F Boufahja, AA Chaudhary, ...","Frontiers in Pharmacology 15, 1406653",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8zTlDwcAAAAJ,13,Genome-wide association study reveals the genetic basis controlling mineral accumulation in wheat grains under potassium deficiency,"AM Alqudah, A Elkelish, AM Abu-Elsaoud, SED Hassan, SG Thabet",Genetic Resources and Crop Evolution 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8zTlDwcAAAAJ,14,The anti-staphylococcal fusidic acid as an efflux pump inhibitor combined with fluconazole against vaginal candidiasis in mouse model,"SE Gomaa, HA Abbas, FA Mohamed, MAM Ali, TM Ibrahim, ...","BMC microbiology 24 (1), 54",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8zTlDwcAAAAJ,15,Performance evaluation of Moringa oleifera seeds aqueous extract for removing Microcystis aeruginosa and microcystins from municipal treated-water,"HAS Alhaithloul, ZA Mohamed, AA Saber, IM Alsudays, MA Abdein, ...","Frontiers in bioengineering and biotechnology 11, 1329431",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
8zTlDwcAAAAJ,16,"Plant-based copper oxide nanoparticles; biosynthesis, characterization, antibacterial activity, tanning wastewater treatment, and heavy metals sorption","AM Eid, A Fouda, SED Hassan, MF Hamza, NK Alharbi, A Elkelish, ...","Catalysts 13 (2), 348",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8181826281574516958,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8zTlDwcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=8zTlDwcAAAAJ:Bg7qf7VwUHIC
