Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
9w_UCy0AAAAJ,1,Fabrication of ternary Co3O4@ β-Bi2O3@ g-C3N4 nanosorbent for efficacy Basic Fuchsin (BF) dye decontamination,"MR Elamin, NY Elamin, KK Taha, A Modwi","Inorganic Chemistry Communications 159, 111840",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8788032487484096568,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9w_UCy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9w_UCy0AAAAJ:RGFaLdJalmkC
9w_UCy0AAAAJ,2,Utilization of efficient Al2O3@ g-C3N4 nano sorbent for eliminated Ni (II) ions from polluted water,"S Aldoihi, A Mallah, AH Alluhayb, MR Elamin, NY Elamin, LS Alqarni, ...","Journal of Science: Advanced Materials and Devices 9 (3), 100742",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9w_UCy0AAAAJ,3,Ru@ Co3O4@ g-C3N4 as a novel adsorbent for enhanced copper and cadmium abolition,"MR Elamin, BY Abdulkhair, NY Elamin, A Albadri, M Ismail, R Bakheit, ...","Journal of Science: Advanced Materials and Devices 9 (2), 100725",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9w_UCy0AAAAJ,4,Detection of Ochratoxin A Mycotoxin with Graphene Nanosheets Functionalized with Selective Peptides Using Molecular Dynamics,"FK Algethami, M Mastouri, A Rabti, S Ben Aoun, S El Ghoul, A Mosbah, ...",Arabian Journal for Science and Engineering 1-12,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9w_UCy0AAAAJ,5,"Phytochemistry and Biological Assessment of Thuja articulata Trunk Barks: HPLC-PDA-ESI-MS Analysis, Bioevaluation, and Molecular Docking","FK Algethami, S Jlizi, M Znati, MR Elamin, N Ben Hamadi, H Ben Jannet","Current Bioactive Compounds 20 (3), 83-92",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9w_UCy0AAAAJ,6,"A novel isatin Schiff based cerium complex: synthesis, characterization, antimicrobial activity and molecular docking studies","HE Saad, GMA El-Reash, M Gaber, MA Hashem, YGA El-Reash, ...","BMC genomics 25 (1), 162",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
9w_UCy0AAAAJ,7,Removal of ciprofloxacin and indigo carmine from water by carbon nanotubes fabricated from a low-cost precursor: Solution parameters and recyclability,"AOE Mohamed R. Elamin a,b , Babiker Y. Abdulkhair a,c,⇑","Ain Shams Engineering Journal 14 (1), 101844",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3337605543898121626,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9w_UCy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9w_UCy0AAAAJ:hC7cP41nSMkC
9w_UCy0AAAAJ,8,Application of Synthesized Vanadium–Titanium Oxide Nanocomposite to Eliminate Rhodamine-B Dye from Aqueous Medium,"MR Elamin, BY Abdulkhair, NY Elamin, KH Ibnaouf, H Idriss, R Bakheit, ...","Molecules 28 (176), 1-16",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8376441398134377756,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9w_UCy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9w_UCy0AAAAJ:bEWYMUwI8FkC
9w_UCy0AAAAJ,9,Synthesis and characterization of Ti-dopedY2O3@ C3N4 nanocomposite for the removal of dyes from aqueous solution,"A Modwi, MR Elamin, BY Abdulkhair, NY Elamin, MAB Aissa, RB Said","Inorganic Chemistry Communications 158, 111594",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2869718005527906264,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9w_UCy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9w_UCy0AAAAJ:ns9cj8rnVeAC
9w_UCy0AAAAJ,10,Sub-femtomolar capacitance-based biosensing of kanamycin using screen-printed electrodes coated with redox-active polymeric films,"FK Algethami, A Rabti, M Mastouri, S Ben Aoun, LS Alqarni, MR Elamin, ...","Microchimica Acta 190 (11), 434",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1782924791736342019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9w_UCy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=9w_UCy0AAAAJ:GnPB-g6toBAC
