Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
B4SokrcAAAAJ,1,"CaO-enhanced polyester for safety: experimental study on fabrication, characterization, and gamma-ray attenuation","MW Marashdeh, KA Mahmoud","Radiochimica Acta 112 (3), 209-219",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18443375869777431992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B4SokrcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=B4SokrcAAAAJ:IWHjjKOFINEC
B4SokrcAAAAJ,2,"Comprehensive analysis of the effects of Mo and Co on the synthesis, structural, and radiation-shielding properties of TiO2 based composites","KA Mahmoud, M Binmujlli, M Marashdeh, MI Sayyed, MJ Aljaafreh, ...","Progress in Nuclear Energy 169, 105105",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14339395896382565705,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B4SokrcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=B4SokrcAAAAJ:hC7cP41nSMkC
B4SokrcAAAAJ,3,The potential of bi2–xZrxO3+ x/2@ ZrO2 (BZO) as a heavyweight radiation shielding material: Fabrication and characterization using a hydrothermal technique directly from zircon …,"KA Mahmoud, MW Marashdeh, M Al-Hmoud, MJ Aljaafreh, S Alanazi, ...","Progress in Nuclear Energy 172, 105216",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6635609752460323968,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B4SokrcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=B4SokrcAAAAJ:R3hNpaxXUhUC
B4SokrcAAAAJ,4,The influence of Ni ion addition on the microstructure and gamma ray shielding ability of ferromagnetic CuFe2O4 ceramic material,"MW Marashdeh, FH Sallam, AM Abd El-Aziz, MI Elkhatib, MJ Aljaafreh, ...","Nuclear Engineering and Technology 56 (7), 2740-2747",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9775569502279825414,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B4SokrcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=B4SokrcAAAAJ:mB3voiENLucC
B4SokrcAAAAJ,5,"Microstructure investigation, Electrical properties, and γ-rays’ protection capacity for ZnO doped clay ceramic","KA Mahmoud, M Binmujlli, FH Sallam, MI Sayyed, M Marashdeh, ...","Applied Radiation and Isotopes 206, 111195",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14772169499001693997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B4SokrcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=B4SokrcAAAAJ:qUcmZB5y_30C
B4SokrcAAAAJ,6,Impacts of the calcinated clay on structure and gamma-ray shielding capacity of epoxy-based composites,"S Alanazi, KA Mahmoud, M Marashdeh, MJ Aljaafreh, A Abu El-Soad, ...","e-Polymers 24 (1), 20240017",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
B4SokrcAAAAJ,7,Sodium titanium oxide/zinc oxide (STO/ZnO) photocomposites for efficient dye degradation applications,"M Zayed, M Nasr, MJ Aljaafreh, M Marashdeh, M Al-Hmoud, M Shaban, ...","Green Processing and Synthesis 13 (1), 20230272",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
B4SokrcAAAAJ,8,Evaluating the Effects of Metallic Waste on the Structural and Gamma-Ray Shielding Properties of Epoxy Composites,"S Alanazi, M Hanfi, MW Marashdeh, MJ Aljaafreh, KA Mahmoud","Polymers 16 (10), 1415",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
B4SokrcAAAAJ,9,Effect of Gamma-Irradiation on Electrochemical Properties of Nicos for Supercapacitor Application,"MW Marashdeh, MJ Aljaafreh, GM Al-Mazaideh, H Akhdar, AI Alakhras, ...","Science of Advanced Materials 16 (5), 596-605",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
B4SokrcAAAAJ,10,Impact of heavy metal waste on gamma ray shielding performance of epoxy resin: an experimental investigation,"S Alanazi, MY Hanfi, MW Marashdeh, MJ Aljaafreh, KA Mahmoud",Polymer Bulletin 1-20,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
B4SokrcAAAAJ,11,Synthesized PANI/CeO2 Nanocomposite Films for Enhanced Anti-Corrosion Performance,"AM Alsaad, M Al-Hmoud, TM Rababah, MW Marashdeh, MJ Aljaafreh, ...","Nanomaterials 14 (6), 526",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
B4SokrcAAAAJ,12,Evaluation of radiation attenuation properties of breast equivalent phantom material made of gelatin material in mammographic X-ray energies,"H Almalki, MW Marashdeh, M Alsuhybani, M Almurayshid","Journal of Radiation Research and Applied Sciences 17 (1), 100817",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
B4SokrcAAAAJ,13,Clay-based bricks’ rich illite mineral for gamma-ray shielding applications: An experimental evaluation of the effect of pressure rates on gamma-ray attenuation parameters,"KA Mahmoud, MW Marashdeh","Open Chemistry 21 (1), 20230167",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3064091047812873911,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B4SokrcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=B4SokrcAAAAJ:QIV2ME_5wuYC
