Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Bf61YbEAAAAJ,1,Improved Stability and Instability Results for Neutral Integro-Differential Equations including Infinite Delay,"C TunÃ, FT Akyildiz, V Obukhovskii","Journal of Mathematics 2024, 1-13",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Bf61YbEAAAAJ,2,Improved Stability and Instability Results for Neutral Integro‐Differential Equations including Infinite Delay,"C Tunç, FT Akyildiz","Journal of Mathematics 2024 (1), 5924082",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Bf61YbEAAAAJ,3,Novel Numerical Investigations of Some Problems Based on the Darcy–Forchheimer Model and Heat Transfer,"FT Akyildiz, FS Alshammari, C Tunç","Mathematics 12 (11), 1742",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Bf61YbEAAAAJ,4,Existence and Uniqueness of Solutions of Hammerstein-Type Functional Integral Equations,"C Tunç, FS Alshammari, FT Akyildiz","Symmetry 15 (12), 2205",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12905830841591425507,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bf61YbEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bf61YbEAAAAJ:bFI3QPDXJZMC
Bf61YbEAAAAJ,5,Epidemic Waves in a Stochastic SIRVI Epidemic Model Incorporating the Ornstein–Uhlenbeck Process,"FS Alshammari, FT Akyildiz","Mathematics 11 (18), 3876",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7820012741503683813,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bf61YbEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bf61YbEAAAAJ:f2IySw72cVMC
Bf61YbEAAAAJ,6,A new analysis of Galerkin Legendre spectral methods for coupled hyperbolic/parabolic system arising in unsteady MHD flow of Maxwell fluid and numerical simulation,"FT Akyildiz, F Alshammari","Applied Numerical Mathematics 176, 83-103",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10097818002702324042,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bf61YbEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bf61YbEAAAAJ:a0OBvERweLwC
Bf61YbEAAAAJ,7,A stochastic mathematical model for understanding the COVID-19 infection using real data,"FS Alshammari, FT Akyildiz, MA Khan, A Din, P Sunthrayuth","Symmetry 14 (12), 2521",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13133590117279261084,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bf61YbEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bf61YbEAAAAJ:pyW8ca7W8N0C
Bf61YbEAAAAJ,8,Complex mathematical SIR model for spreading of COVID-19 virus with Mittag-Leffler kernel,"FT Akyildiz, FS Alshammari","Advances in difference equations 2021 (1), 319",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16022787740932371300,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bf61YbEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bf61YbEAAAAJ:4OULZ7Gr8RgC
Bf61YbEAAAAJ,9,Exact solution of the startup electroosmotic flow of generalized Maxwell fluids in triangular microducts,"FT Akyildiz, DA Siginer","Journal of Fluids Engineering 143 (10), 101302",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3713437968576885818,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bf61YbEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bf61YbEAAAAJ:fPk4N6BV_jEC
Bf61YbEAAAAJ,10,Global Stability for Novel Complicated SIR Epidemic Models with the Nonlinear Recovery Rate and Transfer from Being Infectious to Being Susceptible to Analyze the Transmission …,"FS Alshammari, FT Akyildiz","Journal of Function Spaces 2021 (1), 5207152",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4187260766581825218,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Bf61YbEAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Bf61YbEAAAAJ:yD5IFk8b50cC
