Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
CcfnW6MAAAAJ,1,"Enhancing the optical, electrical, dielectric properties and antimicrobial activity of chitosan/gelatin incorporated with Co-doped ZnO nanoparticles: Nanocomposites for use in …","LS Alqarni, AM Alghamdi, NY Elamin, A Rajeh","Journal of Molecular Structure 1297, 137011",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4044400297691138781,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:35r97b3x0nAC
CcfnW6MAAAAJ,2,A novel chitosan-alginate@ Fe/Mn mixed oxide nanocomposite for highly efficient removal of Cr (VI) from wastewater: Experiment and adsorption mechanism,"LS Alqarni, JS Algethami, RELK Billah, AQ Alorabi, YA Alnaam, ...","International Journal of Biological Macromolecules 263, 129989",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13101393564856347960,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:yB1At4FlUx8C
CcfnW6MAAAAJ,3,S-scheme MgO–TiO2@g-C3N4 nanostructures as efficient photocatalyst for alizarin red S photodegradation,"LS Alqarni, MD Alghamdi, H Alhussain, NY Elamin, KK Taha, A Modwi","Journal of Materials Science: Materials in Electronics 35 (3), 239",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12292183006610308700,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:9Nmd_mFXekcC
CcfnW6MAAAAJ,4,Phytosynthesis via wasted onion peel extract of samarium oxide/silver core/shell nanoparticles for excellent inhibition of microbes,"AA Alshahrani, LS Alqarni, MD Alghamdi, NF Alotaibi, SMN Moustafa, ...",Heliyon 10 (3),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11746300526575196728,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:XD-gHx7UXLsC
CcfnW6MAAAAJ,5,Green creation of CoFe2O4 nanosorbent for superior toxic Cd ions elimination,LS Alqarni,"Zeitschrift für Naturforschung A 79 (1), 1-16",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2186913976793593628,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:2KloaMYe4IUC
CcfnW6MAAAAJ,6,Novel Cs-Co3O4@ g-C3N4 nanocomposite constructed for malachite green dye adsorption,"MD Alghamdi, AA Alshahrani, LS Alqarni, A Modwi","Inorganic Chemistry Communications 159, 111855",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15301156715314637354,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:fEOibwPWpKIC
CcfnW6MAAAAJ,7,"Bi2Co3O7@ g-C3N4 nanocomposite for Cd (II) elimination: Adsorption equilibrium, kinetics and mechanistic approaches","LS Alqarni, AA Alshahrani, H Alhussain, NY Elamin, M Ismail, KK Taha, ...","Diamond and Related Materials 142, 110803",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15564269990185577582,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:t7zJ5fGR-2UC
CcfnW6MAAAAJ,8,Photocatalytic Degradation of Rhodamine-B and Water Densification via Eco-Friendly Synthesized Cr2O3 and Ag@Cr2O3 Using Garlic Peel Aqueous Extract,"LS Alqarni, MD Alghamdi, AA Alshahrani, NF Alotaibi, SMN Moustafa, ...","Nanomaterials 14 (3), 289",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7447969009657110148,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:nrtMV_XWKgEC
CcfnW6MAAAAJ,9,Purification of RhB dye from aquatic media via CaO-TiO2@ g-C3N4 nanocomposite,"H Alhussain, NY Elamin, LS Alqarni, A Albadri, KK Taha, A Modwi","Inorganic Chemistry Communications 159, 111785",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11239947722936246403,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:-_dYPAW6P2MC
CcfnW6MAAAAJ,10,Efficient photodecolorization of Congo red by CaMgO2@g-C3N4 nanocomposite,"O Aldaghri, L Alqarni, A Modwi, H Idriss, R Abumousa, MKM Ali, ...","Journal of Materials Science: Materials in Electronics 35 (7), 478",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15249780935471864672,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:uc_IGeMz5qoC
CcfnW6MAAAAJ,11,High Antiparasitic and Antimicrobial Performance of Biosynthesized NiO Nanoparticles via Wasted Olive Leaf Extract,"SQ Alghamdi, NF Alotaibi, SN Al-Ghamdi, LS Alqarni, T Amna, ...",International Journal of Nanomedicine 1469-1485,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,12,Utilization of efficient Al2O3@ g-C3N4 nano sorbent for eliminated Ni (II) ions from polluted water,"S Aldoihi, A Mallah, AH Alluhayb, MR Elamin, NY Elamin, LS Alqarni, ...","Journal of Science: Advanced Materials and Devices 9 (3), 100742",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,13,Efficient Rhodamine B dye uptake onto MgZrO3@ g-C3N4 nanostructures: Fabrication and adsorption mechanism,"R Alhathlool, O Aldaghri, KH Ibnaouf, LS Alqarni, A Modwi, KK Taha, ...","Inorganic Chemistry Communications 165, 112477",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,14,The preparation of Zr-TiO2@ g-C3N4 nanocomposites to remove ciprofloxacin from water,"AA Alshahrani, MD Alghamdi, LS Alqarni, MAB Aissa, A Modwi",Journal of Molecular Structure 138891,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,15,Novel ternary mesoporous Co3CsO4-g-C3N4 nanocomposite as an efficient sorbent for Pb (II) and Cu (II) ions elimination,"M Khairy, EA Abdelrahman, N Raza, EM Masoud, LS Alqarni, MAB Aissa, ...","Journal of Materials Science: Materials in Electronics 35 (11), 1-14",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,16,"Green Synthesis of Uncoated and Olive Leaf Extract-Coated Silver Nanoparticles: Sunlight Photocatalytic, Antiparasitic, and Antifungal Activities","NF Alotaibi, LS ALqarni, SQ Alghamdi, SN Al-Ghamdi, T Amna, ...","International Journal of Molecular Sciences 25 (6), 3082",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,17,Construction and XRD analysis of La@Co3O4@g-C3N4 nanostructures for removal of Co ions from contaminated water,"H Alhussain, NY Elamin, LS Alqarni, KK Taha, A Modwi","Journal of Materials Science: Materials in Electronics 35 (8), 588",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,18,Photocatalytic Degradation of Rhodamine-B and Water Densification via Eco-Friendly Synthesized Cr [sub. 2] O [sub. 3] and Ag@ Cr [sub. 2] O [sub. 3] Using Garlic Peel Aqueous …,"LS Alqarni, MD Alghamdi, AA Alshahrani, NF Alotaibi, SMN Moustafa, ...","Nanomaterials 14 (3), NA-NA",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,19,Green approaches in synthesis of surfactants,"MD Alghamdi, AA Alshahrani, LS Alqarni, SQ Alghamdi, SMN Moustafa, ...",Surfactant Based Electrochemical Sensors and Biosensors 21-68,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,20,High aspect ratio TiO2–Mn3O4 heterostructure: proficient nanorods for pathogen inhibition and supercapacitor application,"MS Hassan, T Amna, LS Alqarni, HS Alqahtani, YA Alnaam, S Almusabi, ...",Materials Science and Technology 1-10,2023,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7661757781478163505,2132174696110808198,9751638272869008519,8302950608248574193,17292152502873506541",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:QIV2ME_5wuYC
CcfnW6MAAAAJ,21,Production of ceramics/metal oxide nanofibers via electrospinning: new insights into the photocatalytic and bactericidal mechanisms,"JS Algethami, T Amna, L S. Alqarni, AA Alshahrani, MAM Alhamami, ...","Materials 16 (14), 5148",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7948909305777312218,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:_xSYboBqXhAC
CcfnW6MAAAAJ,22,Sub-femtomolar capacitance-based biosensing of kanamycin using screen-printed electrodes coated with redox-active polymeric films,"FK Algethami, A Rabti, M Mastouri, S Ben Aoun, LS Alqarni, MR Elamin, ...","Microchimica Acta 190 (11), 434",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1782924791736342019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:evX43VCCuoAC
CcfnW6MAAAAJ,23,Bismuth Vanadate Decked Polyaniline Polymeric Nanocomposites: The Robust Photocatalytic Destruction of Microbial and Chemical Toxicants,"MAMAAFS Jari S. Algethami , M. Shamshi Hassan ,* , Touseef Amna ,* , Laila S ...","materials MDPI 16, 3314",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,24,Green nanotechnology: Recent research on bioresource‐based nanoparticle synthesis and applications,"LS Alqarni, MD Alghamdi, AA Alshahrani, AM Nassar","Journal of Chemistry 2022 (1), 4030999",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5270206593663971224,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:3s1wT3WcHBgC
CcfnW6MAAAAJ,25,Surface-enhanced Raman detection of glucose on different substrates for biosensing applications,L Alqarni,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 256,2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
CcfnW6MAAAAJ,26,Surface-enhanced Raman spectroscopic sensing of glucose,"L Al-qarn, Z Iqbal","European Pharmaceutical Review 22 (6), 23-26",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10386228744776446883,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CcfnW6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=CcfnW6MAAAAJ:zA6iFVUQeVQC
