Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
DpufSsUAAAAJ,1,New Applications of Fractional q-Calculus Operator for a New Subclass of q-Starlike Functions Related with the Cardioid Domain,"MF Khan, M AbaOud","Fractal and Fractional 8 (1), 71",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15007019387086343535,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:hqOjcs7Dif8C
DpufSsUAAAAJ,2,A novel extension of generalized Rayleigh model with engineering applications,"MM Abd El-Raouf, M AbaOud","Alexandria Engineering Journal 73, 269-283",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7124531565070578580,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:eQOLeE2rZwMC
DpufSsUAAAAJ,3,Well-Posedness and Stability Results for Lord Shulman Swelling Porous Thermo-Elastic Soils with Microtemperature and Distributed Delay,"A Choucha, S Boulaaras, R Jan, M AbaOud, R Alrajhi","Mathematics 11 (23), 4785",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6628143201493456801,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:Se3iqnhoufwC
DpufSsUAAAAJ,4,A Bimodal Model for Oil Prices,"J Goard, M AbaOud","Mathematics 11 (10), 2222",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5791886382516864111,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:YsMSGLbcyi4C
DpufSsUAAAAJ,5,Semi-Analytical Solutions for Some Types of Nonlinear Fractional-Order Differential Equations Based on Third-Kind Chebyshev Polynomials,"AAE El-Sayed, S Boulaaras, M AbaOud","Fractal and Fractional 7 (11), 784",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DpufSsUAAAAJ,6,Some New Applications of the Faber Polynomial Expansion Method for Generalized Bi-Subordinate Functions of Complex Order γ Defined by q-Calculus,"MF Khan, M AbaOud","Fractal and Fractional 7 (3), 270",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DpufSsUAAAAJ,7,Pricing European and American Installment Options,"J Goard, M AbaOud","Mathematics 10 (19), 3494",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6069505862051025058,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:W7OEmFMy1HYC
DpufSsUAAAAJ,8,Analytic Approximation for American Straddle Options,"J Goard, M AbaOud","Mathematics 10 (9), 1401",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12361640713030552525,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:Tyk-4Ss8FVUC
DpufSsUAAAAJ,9,On the early detecting of the COVID-19 outbreak,"MA Oud, M Almuqrin","The Journal of Infection in Developing Countries 15 (11), 1625-1629",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14226366640296436700,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:IjCSPb-OGe4C
DpufSsUAAAAJ,10,Valuation of options under a constant elasticity of variance process and stochastic volatility,MA AbaOud,"Quantitative Finance 21 (8), 1301-1307",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
DpufSsUAAAAJ,11,Instability and translocation through nanopores of DNA interacting with single-layer materials,"MH Alshehri, FZ Duraihem, MAA Oud","RSC Advances 10 (61), 36962-36970",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15901584221994282253,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:qjMakFHDy7sC
DpufSsUAAAAJ,12,Analytic approximation formulae for European crack spread options,"MA Aba Oud, J Goard","Quantitative Finance 16 (5), 711-725",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4550326976942196491,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:u-x6o8ySG0sC
DpufSsUAAAAJ,13,Stochastic models for oil prices and the pricing of futures on oil,"MA Aba Oud, J Goard","Applied Mathematical Finance 22 (2), 189-206",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1088483467565791475,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:u5HHmVD_uO8C
DpufSsUAAAAJ,14,Valuation of options on oil futures under the 3/4 oil price model,"MAA Oud, J Goard","International Journal of Theoretical and Applied Finance 18 (08), 1550050",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2011809050106658673,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DpufSsUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DpufSsUAAAAJ:9yKSN-GCB0IC
