Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
GR8ZSTAAAAAJ,1,Finite Minimal Simple Groups Non-satisfying the Basis Property,"A Al Khalaf, I Taha","European Journal of Pure and Applied Mathematics 16 (3), 1970-1979",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GR8ZSTAAAAAJ,2,Derivations in differentially δ-prime rings,"I Taha, R Masri, A Alkhalaf, R Tarmizi","European Journal of Pure and Applied Mathematics 15 (2), 454-466",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10479354610964907641,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:YsMSGLbcyi4C
GR8ZSTAAAAAJ,3,Reverse Derivations on δ-prime rings,"I Taha, R Masri, A Al Khalaf, R Tarmizi","European Journal of Pure and Applied Mathematics 15 (4), 2032-2042",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GR8ZSTAAAAAJ,4,Completely -simple semigroup with the basis property,"I Al-Dayel, A Al Khalaf","Asian-European Journal of Mathematics 14 (08), 2150141",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11387435539404950053,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:Y0pCki6q_DkC
GR8ZSTAAAAAJ,5,Generalization of the basis property on finite groups,"I Al-Dayel, A Al Khalaf","Asian-European Journal of Mathematics 14 (07), 2150111",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=320999198295472042,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:Tyk-4Ss8FVUC
GR8ZSTAAAAAJ,6,Commutators in semiprime gamma rings,"A Al Khalaf, I Taha, DA Orest","Asian-European Journal of Mathematics 13 (04), 2050078",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13728203072822789148,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:qjMakFHDy7sC
GR8ZSTAAAAAJ,7,Derivations of differentially semiprime rings,"A Al Khalaf, I Taha, OD Artemovych, A Aljouiiee","Asian-European Journal of Mathematics 12 (05), 1950079",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5127380613605240273,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:u-x6o8ySG0sC
GR8ZSTAAAAAJ,8,Derivations in differentially prime rings,"A Al Khalaf, OD Artemovych, I Taha","Journal of Algebra and Its Applications 17 (07), 1850129",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10207007302138680665,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:u5HHmVD_uO8C
GR8ZSTAAAAAJ,9,Rings with simple Lie rings of Lie and Jordan derivations,"AA Khalaf, OD Artemovych, I Taha","Journal of Algebra and Its Applications 17 (04), 1850078",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13940019790874354875,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:2osOgNQ5qMEC
GR8ZSTAAAAAJ,10,Completely simple semigroup with basis property,"A Aljouiee, A Al Khalaf","J. Semigroup Theory Appl. 2013, Article ID 10",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12252743331512447886,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:9yKSN-GCB0IC
GR8ZSTAAAAAJ,11,The nilpotency class of fitting subgroups of groups with basis property,"M Alkadhi, A Al Khalaf, M Quick","International Journal of Algebra 6 (14), 697-704",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8198115388677674649,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:d1gkVwhDpl0C
GR8ZSTAAAAAJ,12,FINITE-GROUP WITH THE BASIS PROPERTY,A ALHALAF,"DOKLADY AKADEMII NAUK BELARUSI 33 (11), 972-974",1989,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5578671835421190826,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GR8ZSTAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GR8ZSTAAAAAJ:W7OEmFMy1HYC
