Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
GbBWnOAAAAAJ,1,Dual-state dual emission from precise chemically engineered bi-ligand MOF free from encapsulation and functionalization with self-calibration model for visual detection,"SSM Ameen, IB Qader, HA Qader, FK Algethami, BY Abdulkhair, ...","Microchimica Acta 191 (1), 62",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4338177611160667839,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:r0BpntZqJG4C
GbBWnOAAAAAJ,2,Fast-simplistic fabrication of MoO3@ Al2O3-MgO triple nanocomposites for efficient elimination of pharmaceutical contaminants,"RS Almufarij, BY Abdulkhair, M Salih","Results in Chemistry 7, 101281",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3007692751261247752,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:iH-uZ7U-co4C
GbBWnOAAAAAJ,3,Ru@ Co3O4@ g-C3N4 as a novel adsorbent for enhanced copper and cadmium abolition,"MR Elamin, BY Abdulkhair, NY Elamin, A Albadri, M Ismail, R Bakheit, ...","Journal of Science: Advanced Materials and Devices 9 (2), 100725",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GbBWnOAAAAAJ,4,Enhancing the Conductivity and Dielectric Characteristics of Bismuth Oxyiodide via Activated Carbon Doping,"M Khairy, FK Algethami, AN Alotaibi, RS Almufarij, BY Abdulkhair","Molecules 29 (9), 2082",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GbBWnOAAAAAJ,5,Removal of ciprofloxacin and indigo carmine from water by carbon nanotubes fabricated from a low-cost precursor: Solution parameters and recyclability,"MR Elamin, BY Abdulkhair, AO Elzupir","Ain Shams Engineering Journal 14 (1), 101844",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3337605543898121626,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:qxL8FJ1GzNcC
GbBWnOAAAAAJ,6,Efficient Disposal of Basic Fuchsin Dye from Aqueous Media Using ZrO2/MgMn2O4/Mg(Mg0.333Mn1.333)O4 as a Novel and Facilely Synthesized …,"AS Al-Wasidi, M Khairy, BY Abdulkhair, EA Abdelrahman","Inorganics 11 (9), 363",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9983908767109877128,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:TQgYirikUcIC
GbBWnOAAAAAJ,7,In silico selection of an aptamer for the design of aptamer–modified magnetic beads bearing ferrocene co–immobilized label for capacitive detection of acetamiprid,"FK Algethami, A Rabti, M Mastouri, SB Aoun, BY Abdulkhair, N Raouafi","Talanta 258, 124445",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5550150560275004399,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:-f6ydRqryjwC
GbBWnOAAAAAJ,8,Synthesis and characterization of Ti-dopedY2O3@ C3N4 nanocomposite for the removal of dyes from aqueous solution,"A Modwi, MR Elamin, BY Abdulkhair, NY Elamin, MAB Aissa, RB Said","Inorganic Chemistry Communications 158, 111594",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2869718005527906264,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:RHpTSmoSYBkC
GbBWnOAAAAAJ,9,"Chemical Composition, Toxicity and Repellency of Inula graveolens Essential Oils from Roots and Aerial Parts against Stored‐Product Beetle Tribolium castaneum (Herbst)","M Ben Mustapha, FK Algethami, MR Elamin, BY Abdulkhair, I Chaieb, ...","Chemistry & Biodiversity 20 (3), e202200978",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6191020159385750145,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:hC7cP41nSMkC
GbBWnOAAAAAJ,10,"Lattice dynamic, optical, and mechanical properties of nanostructured gallium antimonide (GaSb) semiconductor under the effect of pressure","MG Ghoniem, FA Adam, BY Abdulkhair, AM Abdelghany, EB Elkenany","Optical and Quantum Electronics 55 (13), 1162",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6009748702249807182,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:_Qo2XoVZTnwC
GbBWnOAAAAAJ,11,A Thorough Examination of the Solution Conditions and the Use of Carbon Nanoparticles Made from Commercial Mesquite Charcoal as a Successful Sorbent for Water Remediation,"TG Ibrahim, RS Almufarij, BY Abdulkhair, RS Ramadan, MS Eltoum, ...","Nanomaterials 13 (9), 1485",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16991460751188597972,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:hFOr9nPyWt4C
GbBWnOAAAAAJ,12,Highly sensitive capacitance-based nitrite sensing using polydopamine/AuNPs-modified screen-printed carbon electrode,"FK Algethami, A Rabti, M Mastouri, BY Abdulkhair, SB Aoun, N Raouafi","RSC advances 13 (31), 21336-21344",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12539738142215874918,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:mB3voiENLucC
GbBWnOAAAAAJ,13,Surfactants enhanced short durations synthesis of bismuth oxyiodide quantum dots,"MR Elamin, BY Abdulkhair, A Modwi, NY Elamin","Inorganic Chemistry Communications 157, 111450",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6197276526644438960,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:e5wmG9Sq2KIC
GbBWnOAAAAAJ,14,Insight into the Adsorption Behavior of Carbon Nanoparticles Derived from Coffee Skin Waste for Remediating Water Contaminated with Pharmaceutical Ingredients,"M Salih, BY Abdulkhair, M Alotaibi","Chemistry 5 (3), 1870-1881",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11547087688212187763,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:HDshCWvjkbEC
GbBWnOAAAAAJ,15,Method of fabricating metal oxide nanomaterials using a thermally decomposable solid substrate,"BYE Abdulkhair, MR Elamin","US Patent 11,827,525",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GbBWnOAAAAAJ,16,Efficient Disposal of Basic Fuchsin Dye from Aqueous Media Using ZrO [sub. 2]/MgMn [sub. 2] O [sub. 4]/Mg (Mg [sub. 0.333] Mn [sub. 1.333]) O [sub. 4] as a Novel and Facilely …,"AS Al-Wasidi, M Khairy, BY Abdulkhair, EA Abdelrahman","Inorganics 11 (9), NA-NA",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
GbBWnOAAAAAJ,17,Highly selective removal of cationic dyes from wastewater by MgO nanorods,"MG Ghoniem, FAM Ali, BY Abdulkhair, MRA Elamin, AM Alqahtani, ...","Nanomaterials 12 (6), 1023",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3247970973029602783,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:Zph67rFs4hoC
GbBWnOAAAAAJ,18,"Enhanced adsorptive removal of indigo carmine dye by bismuth oxide doped MgO based adsorbents from aqueous solution: Equilibrium, kinetic and computational studies","FA Adam, MG Ghoniem, M Diawara, S Rahali, BY Abdulkhair, MR Elamin, ...","RSC advances 12 (38), 24786-24803",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4893478828283231244,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:mVmsd5A6BfQC
GbBWnOAAAAAJ,19,"Excellent Adsorption of Dyes via MgTiO3@g-C3N4 Nanohybrid: Construction, Description and Adsorption Mechanism","A Modwi, MR Elamin, H Idriss, NY Elamin, FA Adam, AE Albadri, ...","Inorganics 10 (11), 210",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9760753132815545397,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:L8Ckcad2t8MC
GbBWnOAAAAAJ,20,"Optimization, Nature, and Mechanism Investigations for the Adsorption of Ciprofloxacin and Malachite Green onto Carbon Nanoparticles Derived from Low-Cost Precursor via a Green …","RS Almufarij, BY Abdulkhair, M Salih, H Aldosari, NW Aldayel","Molecules 27 (14), 4577",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1174320768546974517,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:aqlVkmm33-oC
GbBWnOAAAAAJ,21,Chitosan-CdS quantum dots biohybrid for highly selective interaction with copper (II) ions,"F K. Algethami, I Saidi, H Ben Jannet, M Khairy, BY Abdulkhair, ...","ACS omega 7 (24), 21014-21024",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3373056118406476163,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:M3ejUd6NZC8C
GbBWnOAAAAAJ,22,Low-cost carbon nanoparticles for removing hazardous organic pollutants from water: complete remediation study and multi-use investigation,"BY Abdulkhair, MR Elamin","Inorganics 10 (9), 136",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15972756852702750395,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:9ZlFYXVOiuMC
GbBWnOAAAAAJ,23,Spontaneous Adsorption and Efficient Photodegradation of Indigo Carmine under Visible Light by Bismuth Oxyiodide Nanoparticles Fabricated Entirely at Room Temperature,"MR Elamin, KH Ibnaouf, NY Elamin, FA Adam, AH Alolayan, ...","Inorganics 10 (5), 65",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8639075835013226504,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:YOwf2qJgpHMC
GbBWnOAAAAAJ,24,"New synthetic quinaldine conjugates: Assessment of their anti-cholinesterase, anti-tyrosinase and cytotoxic activities, and molecular docking analysis","M Zayene, FK Algethami, HN Abdelhamid, MR Elamin, BY Abdulkhair, ...","Arabian Journal of Chemistry 15 (11), 104177",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17446961002951098721,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:Wp0gIr-vW9MC
GbBWnOAAAAAJ,25,Application of synthesized vanadium–titanium oxide nanocomposite to eliminate rhodamine-B dye from aqueous medium,"MR Elamin, BY Abdulkhair, NY Elamin, KH Ibnaouf, H Idriss, R Bakheit, ...","Molecules 28 (1), 176",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8376441398134377756,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:IWHjjKOFINEC
GbBWnOAAAAAJ,26,"Sweep-Out of Tigecycline, Chlortetracycline, Oxytetracycline, and Doxycycline from Water by Carbon Nanoparticles Derived from Tissue Waste","RS Almufarij, BY Abdulkhair, M Salih, NM Alhamdan","Nanomaterials 12 (20), 3617",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4833407461102513762,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:7PzlFSSx8tAC
GbBWnOAAAAAJ,27,Linear and nonlinear investigations for the adsorption of paracetamol and metformin from water on acid-treated clay,"MR Elamin, BY Abdulkhair, FK Algethami, L Khezami","Scientific Reports 11 (1), 13606",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18438481961386867738,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:hqOjcs7Dif8C
GbBWnOAAAAAJ,28,"Trifluoromethylated Flavonoid-Based Isoxazoles as Antidiabetic and Anti-Obesity Agents: Synthesis, In Vitro α-Amylase Inhibitory Activity, Molecular Docking and …","FK Algethami, I Saidi, HN Abdelhamid, MR Elamin, BY Abdulkhair, ...","Molecules 26 (17), 5214",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1840595550276509729,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:_kc_bZDykSQC
GbBWnOAAAAAJ,29,"DFT-D4 Insight into the Inclusion of Amphetamine and Methamphetamine in Cucurbit [7] uril: Energetic, Structural and Biosensing Properties","A Litim, Y Belhocine, T Benlecheb, MG Ghoniem, Z Kabouche, FAM Ali, ...","Molecules 26 (24), 7479",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13999847314986998495,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GbBWnOAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=GbBWnOAAAAAJ:KlAtU1dfN6UC
