Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Go4drFMAAAAJ,1,Toxicity of mercuric oxide nanoparticles on freshwater microalgae: Comprehensive analysis on their interactive effects and detoxification pathways,"SM Hamed, HS Ali, MYA Mohamed, BS Alammari, H AbdElgawad","Journal of Water Process Engineering 57, 104583",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13504462910689797991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:p2g8aNsByqUC
Go4drFMAAAAJ,2,Monoclinic α-Bi2O3 nanorods by microwave-assisted synthesis: Photocatalytic and antioxidant properties,"MYA Mohamed, H Ferjani, OA Oyewo, OE Ogunjinmi, SM Hamed, ...","Inorganic Chemistry Communications 165, 112557",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Go4drFMAAAAJ,3,Insights into the growth and biochemical defense responses associated with fenitrothion toxicity and uptake by freshwater cyanobacteria,"SM Hamed, MYA Mohamed, BS Alammari, H AbdElgawad","Chemosphere 358, 141909",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Go4drFMAAAAJ,4,"Accumulation and nano-ecotoxicological impact of cerium oxide nanoparticles on cyanobacteria: Understanding photosynthesis, detoxification, and antioxidant responses","SM Hamed, NH El Tablawy, MYA Mohamed, BS Alammari, ...","Journal of Environmental Chemical Engineering 12 (2), 112134",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Go4drFMAAAAJ,5,"Flucytosine Antifungal Drug in Organic-Inorganic Bismuth Chloride Material: Crystal Structure, Optical Properties, Biological Activities, and Computational Insights","H Ferjani, R Bechaieb, MB Jemaa, NA Ibrahim, H Alhussain, TA Yousef, ...",Journal of Cluster Science 1-13,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Go4drFMAAAAJ,6,"Materials, fuels, upgrading, economy, and life cycle assessment of the pyrolysis of algal and lignocellulosic biomass: a review","AI Osman, M Farghali, I Ihara, AM Elgarahy, A Ayyad, N Mehta, KH Ng, ...","Environmental Chemistry Letters 21 (3), 1419-1476",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7791354270983037696,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:SP6oXDckpogC
Go4drFMAAAAJ,7,Potential of algal-based products for the management of potato brown rot disease,"SM Hamed, M Kamal, NAS Messiha","Botanical Studies 64 (1), 29",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13990910522131759839,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:OU6Ihb5iCvQC
Go4drFMAAAAJ,8,Algal biomass valorization for biofuel production and carbon sequestration: a review,"A Sarwer, SM Hamed, AI Osman, F Jamil, AH Al-Muhtaseb, NS Alhajeri, ...","Environmental Chemistry Letters 20 (5), 2797-2851",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17589112572201610625,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:nb7KW1ujOQ8C
Go4drFMAAAAJ,9,Algae-mediated biosynthesis of zinc oxide nanoparticles from Cystoseira crinite (Fucales; Sargassaceae) and it's antimicrobial and antioxidant activities,"AAK Elrefaey, AD El-Gamal, SM Hamed, EF El-Belely","Egyptian Journal of Chemistry 65 (4), 231-240",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5588701860647838840,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:f2IySw72cVMC
Go4drFMAAAAJ,10,"Evaluation of the phycoremediation potential of microalgae for captan removal: Comprehensive analysis on toxicity, detoxification and antioxidants modulation","SM Hamed, MK Okla, LS Al-Saadi, WN Hozzein, HS Mohamed, S Selim, ...","Journal of Hazardous Materials 427, 128177",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14033632645701776126,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:_xSYboBqXhAC
Go4drFMAAAAJ,11,A novel integrated system for heavy metals removal and biodiesel production via green microalgae: a techno-economic feasibility assessment,"SM Hamed, HI El Shimi, JR van Dijk, AI Osman, SM Korany, ...","Journal of Environmental Chemical Engineering 10 (6), 108804",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15172380792407036102,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:UxriW0iASnsC
Go4drFMAAAAJ,12,"Hazard assessment and environmental fate of propiconazole degradation by microalgae: differential tolerance, antioxidant and detoxification pathway","SM Hamed, IJ Al-Nuaemi, SM Korany, EA Alsherif, HS Mohamed, ...","Journal of Environmental Chemical Engineering 10 (4), 108170",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5080639468711613303,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:KxtntwgDAa4C
Go4drFMAAAAJ,13,Integrated biofertilization using yeast with cyanobacteria on growth and productivity of wheat,"SM Hamed, NM El-Gaml, ST Eissa","Beni-Suef University Journal of Basic and Applied Sciences 11 (1), 112",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=103660241564153375,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:dshw04ExmUIC
Go4drFMAAAAJ,14,"Dissipation of pyridaphenthion by cyanobacteria: Insights into cellular degradation, detoxification and metabolic regulation","SM Hamed, WN Hozzein, S Selim, HS Mohamed, H AbdElgawad","Journal of Hazardous Materials 402, 123787",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14829070357807495066,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:dfsIfKJdRG4C
Go4drFMAAAAJ,15,Bioactivity of ellagic acid and velutin: Two phenolic compounds isolated from marine algae,"S Hassan, S Hamed, M Almuhayawi, W Hozzein, S Selim, H AbdElgawad","Egyptian Journal of Botany 61 (1), 219-231",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5433272731808319553,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:D03iK_w7-QYC
Go4drFMAAAAJ,16,"Growth, primary metabolites, and cell morphogenesis of Scenedesmus opoliensis in response to zinc oxide nanoparticles stress","A Elrefaey, A El-Gamal, SM Hamed, EF El-Belely","Egyptian Journal of Phycology 22 (1), 100-118",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11340928568695276969,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:bFI3QPDXJZMC
Go4drFMAAAAJ,17,Correction to: Influence of nutrient status on the biohydrogen and lipid productivity in Parachlorella kessleri: a biorefinery approach,"SM Hamed, RV Kapoore, MP Raut, V Seetharaman, PC Wright","Applied Microbiology and Biotechnology 105 (1), 429-429",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Go4drFMAAAAJ,18,"Differential responses of two cyanobacterial species to R-metalaxyl toxicity: Growth, photosynthesis and antioxidant analyses","SM Hamed, SH Hassan, S Selim, MAM Wadaan, M Mohany, WN Hozzein, ...","Environmental Pollution 258, 113681",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3214475937459023423,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:4OULZ7Gr8RgC
Go4drFMAAAAJ,19,Influence of nutrient status on the biohydrogen and lipid productivity in Parachlorella kessleri: a biorefinery approach,"SM Hamed, RV Kapoore, MP Raut, S Vaidyanathan, PC Wright","Applied Microbiology and Biotechnology 104, 10293-10305",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16372508472188085569,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:yD5IFk8b50cC
Go4drFMAAAAJ,20,Physiological and biochemical responses to aluminum-induced oxidative stress in two cyanobacterial species,"SM Hamed, SH Hassan, S Selim, A Kumar, SMH Khalaf, MAM Wadaan, ...","Environmental Pollution 251, 961-969",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=407976501865583325,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:zA6iFVUQeVQC
Go4drFMAAAAJ,21,"Green production of silver nanoparticles, evaluation of their nematicidal activity against Meloidogyne javanica and their impact on growth of faba bean","SM Hamed, ES Hagag, NA El-Raouf","Beni-Suef University Journal of Basic and Applied Sciences 8, 1-12",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=858071830941054796,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:fPk4N6BV_jEC
Go4drFMAAAAJ,22,Role of marine macroalgae in plant protection & improvement for sustainable agriculture technology,"SM Hamed, AA Abd El-Rhman, N Abdel-Raouf, IBM Ibraheem","Beni-Suef University Journal of Basic and Applied Sciences 7 (1), 104-110",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9942014819013276106,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:TQgYirikUcIC
Go4drFMAAAAJ,23,Insecticidal prospects of algal and cyanobacterial extracts against the cotton leaf worm Spodoptera littoralis,"AA Saber, SM Hamed, EFM Abdel-Rahim, M Cantonati","Vie Milieu 68 (4), 199-212",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13788963966555933866,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:rO6llkc54NcC
Go4drFMAAAAJ,24,"Suppression of bacterial wilt disease by some marine macroalgal extracts isolated from Safaga coast of Red Sea, Egypt","SM Hamed, NA MESSIHA","Egyptian Journal of Agricultural Research 96 (4), 1275-1289",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12366119789888588061,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:SeFeTyx0c_EC
Go4drFMAAAAJ,25,"Sensitivity of two green microalgae to copper stress: growth, oxidative and antioxidants analyses","SM Hamed, S Selim, G Klöck, H AbdElgawad","Ecotoxicology and environmental safety 144, 19-25",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8216393938113896390,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:4TOpqqG69KYC
Go4drFMAAAAJ,26,Zinc-induced differential oxidative stress and antioxidant responses in Chlorella sorokiniana and Scenedesmus acuminatus,"SM Hamed, G Zinta, G Klöck, H Asard, S Selim, H AbdElgawad","Ecotoxicology and environmental safety 140, 256-263",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10032160978775365049,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:9ZlFYXVOiuMC
Go4drFMAAAAJ,27,Antimicrobial activities of some brown macroalgae against some soil borne plant pathogens and in vivo management of Solanum melongena root diseases,"BMI Ibraheem, SM Hamed, AA Abd Elrhman, MF Farag, N Abdel-Raouf","Aust J Basic Appl Sci 11 (5), 157-68",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2063583358441550422,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Go4drFMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Go4drFMAAAAJ:g5m5HwL7SMYC
