Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
HJKeQTcAAAAJ,1,Promoting the suitability of graphitic bio-carbon nitride and metal oxide nanoparticles: A review of sulfonamides photocatalytic degradation,"ZU Zango, MA Lawal, F Usman, A Sulieman, H Akhdar, MH Eisa, ...",Chemosphere 141218,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7672605946673006880,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HJKeQTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HJKeQTcAAAAJ:2tRrZ1ZAMYUC
HJKeQTcAAAAJ,2,Photo-responsive analysis of branchy dendrites-like CuO/PS pn junction visible light photodetector,"EY Salih, A Ramizy, AS Mohammed, KH Ibnaouf, MH Eisa, O Aldaghri","Materials Science and Engineering: B 301, 117172",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2522084073983941490,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HJKeQTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HJKeQTcAAAAJ:AHdEip9mkN0C
HJKeQTcAAAAJ,3,A review on carbon-based biowaste and organic polymer materials for sustainable treatment of sulfonamides from pharmaceutical wastewater,"ZU Zango, KS Khoo, A Garba, MA Lawal, AZ Abidin, IA Wadi, MH Eisa, ...","Environmental Geochemistry and Health 46 (4), 145",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2753757519453866601,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HJKeQTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HJKeQTcAAAAJ:0CzhzZyukY4C
HJKeQTcAAAAJ,4,"Cutting-edge green nanoclay nanocomposites—fundamentals and technological opportunities for packaging, dye removal, and biomedical sectors","A Kausar, I Ahmad, O Aldaghri, KH Ibnaouf, MH Eisa, TD Lam","Nanocomposites 10 (1), 172-196",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13867860701282954606,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HJKeQTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HJKeQTcAAAAJ:PVgj2kMGcgYC
HJKeQTcAAAAJ,5,Potential of nanoporous graphene and functionalized nanoporous graphene derived nanocomposites for environmental membranes–a review,"A Kausar, I Ahmad, O Aldaghri, KH Ibnaouf, MH Eisa, TD Lam","Nanocomposites 10 (1), 152-172",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10546436935985485951,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HJKeQTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HJKeQTcAAAAJ:NyGDZy8z5eUC
HJKeQTcAAAAJ,6,Solution processed self-powered broadband flower-like Zn (Al) O-mixed metal oxide dye sensitized photodetector,"EY Salih, A Ramizy, O Aldaghri, MH Eisa, KH Ibnaouf","Materials Letters 362, 136213",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=184534142807178497,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HJKeQTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HJKeQTcAAAAJ:4X0JR2_MtJMC
HJKeQTcAAAAJ,7,A response surface methodology approach to crafting superior performance of potassium salt-based solid biopolymer electrolytes,"AA Adam, H Soleimani, JO Dennis, O Aldaghri, R Alhathlool, MH Eisa, ...","Measurement 227, 114210",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10439530287515674821,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HJKeQTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HJKeQTcAAAAJ:sJsF-0ZLhtgC
HJKeQTcAAAAJ,8,Nanostructured materials derived from high entropy alloys–State-of-the-art and leading technical applications,"A Kausar, MH Eisa, O Aldaghri, KH Ibnaouf, A Mimouni",Results in Physics 107838,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HJKeQTcAAAAJ,9,Adsorption of terbutaline β-agonists from wastewater by mechano-synthesized iron oxide nanoparticles modified copper (II) isonicotinate metal-organic framework,"KS Khoo, MM Ariffin, SH Loh, WMAWM Khalik, HM Yusoff, ZU Zango, ...",Environmental Research 119413,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HJKeQTcAAAAJ,10,Development of inorganic and mixed matrix membranes for application in toxic dyes-contaminated industrial effluents with in-situ treatments,"ZU Zango, KS Khoo, AF Ali, AZ Abidin, MU Zango, JW Lim, IA Wadi, ...",Environmental Research 119235,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
