Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
HNJOUn0AAAAJ,1,Substituent effect on the electronic and optical properties of newly designed pyrrole derivatives using density functional theory,"MJ Aljaafreh, RK Hussein","Open Physics 22 (1), 20240012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4326392187767206158,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HNJOUn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HNJOUn0AAAAJ:YOwf2qJgpHMC
HNJOUn0AAAAJ,2,"DFT and TD-DFT Investigations for the Limitations of Lengthening the Polyene Bridge between N, N-dimethylanilino Donor and Dicyanovinyl Acceptor Molecules as a D-π-A Dye …","S Abu Alrub, AI Ali, RK Hussein, SK Alghamdi, SA Eladly","International Journal of Molecular Sciences 25 (11), 5586",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HNJOUn0AAAAJ,3,In silico evaluation of a new compound incorporating 4 (3H)-quinazolinone and sulfonamide as a potential inhibitor of a human carbonic anhydrase,"AM Alkaoud, AI Alakhras, MA Ibrahim, SK Alghamdi, RK Hussein","BMC chemistry 18 (1), 45",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HNJOUn0AAAAJ,4,Synthesis and characterization of Cu-Doped ZnO nanostructures for UV sensing application,"K Al-Heuseen, AI Aljameel, RK Hussein","BMC chemistry 18 (1), 32",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HNJOUn0AAAAJ,5,The Effect of Conjugated Nitrile Structures as Acceptor Moieties on the Photovoltaic Properties of Dye-Sensitized Solar Cells: DFT and TD-DFT Investigation,"MJ Tommalieh, AI Aljameel, RK Hussein, K Al-heuseen, SK Alghamdi, ...","International Journal of Molecular Sciences 25 (13), 7138",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
HNJOUn0AAAAJ,6,"Spectroscopic characterization (IR, UV-Vis), and HOMO-LUMO, MEP, NLO, NBO analysis and the antifungal activity for 4-bromo-N-(2-nitrophenyl) benzamide; using DFT modeling and …","SK Alghamdi, F Abbas, RK Hussein, AG Alhamzani, NT El‐Shamy","Journal of Molecular Structure 1271, 134001",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12745872869854586041,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HNJOUn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HNJOUn0AAAAJ:9yKSN-GCB0IC
HNJOUn0AAAAJ,7,Molecular docking analysis of novel quercetin derivatives for combating SARS-CoV-2,"RK Hussein, M Marashdeh, AM El-Khayatt","Bioinformation 19 (2), 178",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15366179868410571684,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HNJOUn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HNJOUn0AAAAJ:hqOjcs7Dif8C
HNJOUn0AAAAJ,8,"Spectroscopic, electronic properties analysis for 2, 6-Bis (phenylamino)-4-(iminophenyl) benzoquinone molecule and molecular docking clarification for its anticancer activity …","F Abbas, MI Attia, SK Alghamdi, GA Khouqeer, RK Hussein","Journal of Molecular Structure 1282, 135231",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9235491020427545976,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HNJOUn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HNJOUn0AAAAJ:UebtZRa9Y70C
HNJOUn0AAAAJ,9,"Studying the biological activity of trans-[Cu (quin) 2 (EtOH) 2] as potent antimicrobial Cu (II) complex through computational investigations: DFT, ADMET and molecular docking","RK Hussein, AM El-Khayatt, OK Al Duaij, AM Alkaoud","Frontiers in Bioscience-Landmark 28 (4), 84",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10399895322074053878,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HNJOUn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HNJOUn0AAAAJ:5nxA0vEk-isC
HNJOUn0AAAAJ,10,"Covalent inhibition for SARs-COV-2 M Pro via Zinc Ion transported by hydroxychloroquine: Investigated by DFT, ADMET and molecular docking","RK Hussein, AM El-Khayatt, AM Alkaoud, GA Khouqeer, AM Deghady","Biointerface Res Appl Chem 13 (5), 460",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3792408549206500674,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HNJOUn0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=HNJOUn0AAAAJ:0EnyYjriUFMC
