Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
I8GlP6MAAAAJ,1,Self-Guided Algorithm for Fast Image Reconstruction in Photo-Magnetic Imaging: Artificial Intelligence-Assisted Approach,"M Algarawi, JS Saraswatula, RR Pathare, Y Zhang, GA Shah, A Eresen, ...","Bioengineering 11 (2), 126",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11977009328428799252,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=I8GlP6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=I8GlP6MAAAAJ:TQgYirikUcIC
I8GlP6MAAAAJ,2,"Antidiabetic, Antihyperlipidemic, Antioxidant Effects and Regulation of miRNA Expression by Dianthus orientalis Adams Extract in Diabetic rat Model","VA Ahmed, HS Rahman, MO Mohammed Raheem, HH Othman, ...","Natural Product Communications 19 (6), 1934578X241259377",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
I8GlP6MAAAAJ,3,Back-Propagation Neural Network-Based Guidance Algorithm for Photo-Magnetic Imaging,"M Algarawi, JS Saraswatula, G Shah, RR Pathare, H Erkol, G Gulsen, ...","Optics and the Brain, JM M4A. 24",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
I8GlP6MAAAAJ,4,Gold nanoparticle-mediated photothermal therapy guidance with multi-wavelength photomagnetic imaging,"F Nouizi, M Algarawi, H Erkol, G Gulsen","Photodiagnosis and Photodynamic Therapy 45, 103956",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
I8GlP6MAAAAJ,5,Multiwavelength photo-magnetic imaging: a novel high-resolution optical molecular imaging modality,"F Nouizi, M Algarawi, H Erkol, G Gulsen","Multimodal Biomedical Imaging XVIII, PC C1237109",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
I8GlP6MAAAAJ,6,Application of a wavelength-swept laser for spectrally resolved wide-field near-infrared fluorescence imaging,"F Nouizi, J Cho, M Algarawi, CS Kim, G Gulsen","Optics Continuum 1 (8), 1768-1776",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16287033141323208101,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=I8GlP6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=I8GlP6MAAAAJ:-f6ydRqryjwC
I8GlP6MAAAAJ,7,Multi‐Wavelength Photo‐Magnetic Imaging System for Photothermal Therapy Guidance,"M Algarawi, H Erkol, A Luk, S Ha, M Burcin Unlu, G Gulsen, F Nouizi","Lasers in surgery and medicine 53 (5), 713-721",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1101622018735993337,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=I8GlP6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=I8GlP6MAAAAJ:L8Ckcad2t8MC
I8GlP6MAAAAJ,8,Multiwavelength photo-magnetic imaging algorithm improved for direct chromophore concentration recovery using spectral constraints,"F Nouizi, M Algarawi, H Erkol, A Luk, G Gulsen","Applied Optics 60 (35), 10855-10861",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6234723272187960671,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=I8GlP6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=I8GlP6MAAAAJ:IWHjjKOFINEC
I8GlP6MAAAAJ,9,Validation of a comprehensive analytical model for photothermal therapy planning in a layered medium with gold nanoparticles,"H Erkol, SZ Yelken, M Algarawi, G Gulsen, F Nouizi","International Journal of Heat and Mass Transfer 163, 120438",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3268998171221287710,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=I8GlP6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=I8GlP6MAAAAJ:dhFuZR0502QC
I8GlP6MAAAAJ,10,Resolving tissue chromophore concentration at MRI resolution using multi-wavelength photo-magnetic imaging,"M Algarawi, H Erkol, A Luk, S Ha, MB Ünlü, G Gulsen, F Nouizi","Biomedical Optics Express 11 (8), 4244-4254",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11839768713071496131,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=I8GlP6MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=I8GlP6MAAAAJ:KlAtU1dfN6UC
