Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Il2sI8AAAAAJ,1,Romanovski-Jacobi spectral schemes for high-order differential equations,"YH Youssri, MA Zaky, RM Hafez","Applied Numerical Mathematics 198 (2024), 148-159",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12745945726933324527,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:BUYA1_V_uYcC
Il2sI8AAAAAJ,2,Simultaneous numerical inversion of space-dependent initial condition and source term in multi-order time-fractional diffusion models,"HO Sidi, M Babatin, M Alosaim, AS Hendy, MA Zaky","Romanian Reports in Physics 76 (2024), 104",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17858061856620134479,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:0KyAp5RtaNEC
Il2sI8AAAAAJ,3,Temporal second-order fast finite difference/compact difference schemes for  time-fractional generalized Burgers' equations,"X Peng, W Qiu, A Hendy, MA Zaky","Journal of Scientific Computing 99 (2024), 52",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2042680679443431516,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:hMsQuOkrut0C
Il2sI8AAAAAJ,4,Optical solitons based on N-coupled nonlinear Schrodinger equations and rational RBF partition of unity approach,"M Abbaszadeh, MA Zaky, AS Hendy, M Dehghan","Engineering Analysis with Boundary Elements 163 (2024), 297-307",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=129145187534950420,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:L7CI7m0gUJcC
Il2sI8AAAAAJ,5,Spatial two-grid compact difference method for nonlinear Volterra integro-differential equation with Abel kernel,"H Chen, MA Zaky, X Zheng, AS Hendy, W Qiu",Numerical Algorithms 2024,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2467717263976882881,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:ILKRHgRFtOwC
Il2sI8AAAAAJ,6,A second-order finite difference scheme for nonlinear tempered fractional integrodifferential equations in three dimensions,"R Wang, L Qiao, MA Zaky, AS Hendy","Numerical Algorithms 95 (2024), 319–349",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10429230307402690329,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:fEOibwPWpKIC
Il2sI8AAAAAJ,7,Supervised learning and meshless methods for two-dimensional fractional PDEs on irregular domains,"M Abbaszadeh, MA Zaky, AS Hendy, M Dehghan","Mathematics and Computers in Simulation 216 (2024), 77-103",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17879405408147248462,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:XD-gHx7UXLsC
Il2sI8AAAAAJ,8,Comparative Characterization of Entropy and Heat Transfer in Carbon-Based Magnetohydrodynamic Cross Nanofluids Flowing Through PTSCs: Advancing Thermal Applications for Solar …,"M AbuGhanem, P Raafat, F Ibrahim, M Zaky, A Hendy","International Journal of Modelling and Simulation 2024, https://doi.org/10 …",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10189833335975234143,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:Z5m8FVwuT1cC
Il2sI8AAAAAJ,9,Alternating direction multiplier method to estimate an unknown source term in the time-fractional diffusion equation,"A Oulmelk, L Afraites, A Hadri, MA Zaky, AS Hendy","Computers and Mathematics with Applications 156 (2024), 195-206",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12712174509960814257,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:ML0RJ9NH7IQC
Il2sI8AAAAAJ,10,Theta-type convolution quadrature OSC method for nonlocal evolution equations arising in heat conduction with memory,"L Qiao, W Qiu, MA Zaky, A Hendy",Fractional Calculus and Applied Analysis 2024,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13534317118863815132,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:p__nRnzSRKYC
Il2sI8AAAAAJ,11,Non-polynomial collocation spectral scheme for systems of nonlinear Caputo–Hadamard differential equations,"MA Zaky, IGA Ameen, M Babatin, A Ali, M Hammad, AM Lopes",Fractal and Fractional 2024,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11316648898324552724,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Il2sI8AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Il2sI8AAAAAJ:TIZ-Mc8IlK0C
