Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
LrNS0KAAAAAJ,1,"Novel Xylenyl-Spaced Bis-Thiazoles/Thiazines: Synthesis, Biological Profile as Herpes Simplex Virus Type 1 Inhibitors and in Silico Simulations","RM Kassab, SA Al-Hussain, AH Abdelmonsef, MEA Zaki, SM Gomha, ...","Future Medicinal Chemistry 16 (1), 27-41",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9193347484727070786,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:738O_yMBCRsC
LrNS0KAAAAAJ,2,"The anti-breast cancer activity of indeno [1, 2-b] pyridin-5-one and their hydrazonal precursors endowed with anti-CDK-2 enzyme activity","SA Al-Hussain, TA Farghaly, MH Ibrahim, MA Al-Sheikh, MEA Zaki, ...","Journal of Molecular Structure 1295, 136692",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12406680130067634491,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:NhqRSupF_l8C
LrNS0KAAAAAJ,3,Facile one-pot synthesis and in silico study of new heterocyclic scaffolds with 4-pyridyl moiety: Mechanistic insights and X-ray crystallographic elucidation,"FM Abdelrazek, MEA Zaki, SA Al-Hussain, B Farag, AM Hebishy, ...",Heliyon 10 (7),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=293632827755135448,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:D_sINldO8mEC
LrNS0KAAAAAJ,4,"Development of an efficient, low-operating-pressure graphene oxide/polyethersulfone nanofiltration membrane for removing various water contaminants","NA Elessawy, J Exley, DS El-Sayed, A Toghan, SA Al-Hussain, M Elzokm, ...","Journal of Environmental Chemical Engineering 12 (2), 112489",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10362858829503359764,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:LPZeul_q3PIC
LrNS0KAAAAAJ,5,"Synthesis, in silico studies and in vitro cytotoxicity evaluation of novel posaconazole derivative as a ALK TK inhibitor","RD Jawarkar, P Sharma, S Jain, U Shah, MEA Zaki, SA Al-Hussain, ...","Journal of Taibah University for Science 18 (1), 2336674",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12353062994889678203,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:eJXPG6dFmWUC
LrNS0KAAAAAJ,6,QSAR modelling to predict structural features of certain sulfonamide as Urokinase-type Plasminogen Activator inhibitors,"RD Jawarkar, MEA Zaki, SA Al-Hussain, AYA Alzahrani, LC Ming, ...","Chemical Physics Impact 8, 100544",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12856305165913488764,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:4fKUyHm3Qg0C
LrNS0KAAAAAJ,7,QSAR and docking based lead optimization of nitrogen heterocycles for enhanced prostaglandin EP2 receptor agonistic potency,"RD Jawarkar, MEA Zaki, SA Al-Hussain, A Samad, LC Ming, S Rashid, ...","Chemical Physics Impact 8, 100484",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12961603674533746877,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:08ZZubdj9fEC
LrNS0KAAAAAJ,8,Bioaccumulation of carcinogenic metals in river fish: A quantitative investigation of public health risk,"MA Irshad, R Nawaz, I Nasim, A Irfan, A Hussain, AA Al-Mutairi, M Rizwan, ...","Ecological Indicators 162, 112057",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5829337595223300102,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:BrmTIyaxlBUC
LrNS0KAAAAAJ,9,"Exploring theophylline-1, 2, 4-triazole tethered N-phenylacetamide derivatives as antimicrobial agents: unraveling mechanisms via structure-activity relationship, in vitro …","S Saeed, I Shahzadi, AF Zahoor, AA Al-Mutairi, S Kamal, S Faisal, A Irfan, ...","Frontiers in Chemistry 12, 1372378",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9491719511137828530,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:fQNAKQ3IYiAC
LrNS0KAAAAAJ,10,QSAR modeling approaches to identify a novel ACE2 inhibitor that selectively bind with the C and N terminals of the ectodomain,"RD Jawarkar, MEA Zaki, SA Al-Hussain, AA Al-Mutairi, A Samad, ...","Journal of Biomolecular Structure and Dynamics 42 (5), 2550-2569",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12062888720160340304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LrNS0KAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=LrNS0KAAAAAJ:cFHS6HbyZ2cC
