Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
M0FS964AAAAJ,1,"Biosynthesis, characterization, magnetic hyperthermia, and in vitro toxicity evaluation of quercetin-loaded magnetoliposome lipid bilayer hybrid system on MCF-7 breast cancer","S Elbeltagi, AM Saeedi, ZE Eldin, HE Alfassam, HM Alharbi, N Madkhali, ...","Biochimica et Biophysica Acta (BBA)-General Subjects 1868 (3), 130543",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6438141577322143935,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M0FS964AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=M0FS964AAAAJ:_Qo2XoVZTnwC
M0FS964AAAAJ,2,Preparation and characterization of various PVPylated divalent metal-doped ferrite nanoparticles for magnetic hyperthermia,"K El-Boubbou, OM Lemine, S Algessair, N Madkhali, B Al-Najar, E AlMatri, ...","RSC advances 14 (22), 15664-15679",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1056810776749653543,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M0FS964AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=M0FS964AAAAJ:isC4tDSrTZIC
M0FS964AAAAJ,3,"Formation of Natural Melanin/TiO2 Nanostructure Hybrids with Enhanced Optical, Thermal and Magnetic Properties as a Soft Material","S Algessair, N Madkhali","Journal of Wuhan University of Technology-Mater. Sci. Ed. 39 (3), 613-620",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
M0FS964AAAAJ,4,Exploring the optical properties of metal-modified melanin following ultraviolet irradiation: An experimental and theoretical study using density functional theory,"N Madkhali, S Algessair",Heliyon 10 (7),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
M0FS964AAAAJ,5,Fabrication of thin film solar cell based on CoO-CoS/P2-Amino-1-mercaptobenzene/polypyrrole with additional promising sensitivities to photons in a broad optical region,"N Madkhali, M Rabia","Physica Scripta 99 (5), 055928",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
M0FS964AAAAJ,6,Heating ability of amine functionalized Fe3O4 as a function of field amplitude and frequency for hyperthermia application,"N Madkhali, F Alshehri, MM Abduljawad, S Algessair, OM Lemine","Physica Scripta 99 (4), 045957",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
M0FS964AAAAJ,7,Recent update on photocatalytic degradation of pollutants in waste water using TiO2-based heterostructured materials,"N Madkhali, C Prasad, K Malkappa, HY Choi, V Govinda, I Bahadur, ...","Results in Engineering 17, 100920",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10156212684237426117,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M0FS964AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=M0FS964AAAAJ:Wp0gIr-vW9MC
M0FS964AAAAJ,8,Machine-learning-driven accelerated design-method for meta-devices,"S Ijaz, S Noureen, B Rehman, O Aldaghri, H Cabrera, KH Ibnaouf, ...","Materials Today Communications 37, 106951",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15881100184134766250,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M0FS964AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=M0FS964AAAAJ:-f6ydRqryjwC
M0FS964AAAAJ,9,Recent progress on the development of g-C3N4 based composite material and their photocatalytic application of CO2 reductions,"C Prasad, N Madkhali, V Govinda, HY Choi, I Bahadur, S Sangaraju","Journal of Environmental Chemical Engineering 11 (3), 109727",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15345443081642168405,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M0FS964AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=M0FS964AAAAJ:dhFuZR0502QC
M0FS964AAAAJ,10,CdS based heterojunction for water splitting: A review,"C Prasad, N Madkhali, JS Won, JE Lee, S Sangaraju, HY Choi","Materials Science and Engineering: B 292, 116413",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15496328614112438751,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M0FS964AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=M0FS964AAAAJ:QIV2ME_5wuYC
M0FS964AAAAJ,11,Assessing the Heat Generation and Self-Heating Mechanism of Superparamagnetic Fe3O4 Nanoparticles for Magnetic Hyperthermia Application: The Effects of …,"OM Lemine, S Algessair, N Madkhali, B Al-Najar, K El-Boubbou","Nanomaterials 13 (3), 453",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16812165972046944518,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M0FS964AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=M0FS964AAAAJ:4DMP91E08xMC
M0FS964AAAAJ,12,"Recent advances in the hybridization of cellulose and semiconductors: design, fabrication and emerging multidimensional applications: a review","C Prasad, N Madkhali, SG Jeong, K Malkappa, HY Choi, V Govinda","International Journal of Biological Macromolecules 233, 123551",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13105280839522087254,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M0FS964AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=M0FS964AAAAJ:mVmsd5A6BfQC
M0FS964AAAAJ,13,"Recent developments in GO/Cellulose based composites: Properties, synthesis, and its applications","C Prasad, N Madkhali, BM Lee, CS Kang, HY Choi","Polymer 270, 125786",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6431882016131341063,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=M0FS964AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=M0FS964AAAAJ:9ZlFYXVOiuMC
