Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
OmulQ3gAAAAJ,1,"Novel 2D MBenes-synthesis, structure, properties with excellent performance in energy conversion and storage: A review","A Hayat, T Bashir, AM Ahmed, Z Ajmal, MM Alghamdi, AA El-Zahhar, ...","Materials Science and Engineering: R: Reports 159, 100796",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12725988307669314768,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:t7zJ5fGR-2UC
OmulQ3gAAAAJ,2,Synthesis of lead-free Cu/CuFeO2/CZTS thin film as a novel photocatalytic hydrogen generator from wastewater and solar cell applications,"AH Ali, AM Ahmed, MM Abdelhamied, AA Abdel-Khaliek, S Abd El Khalik, ...","Optical and Quantum Electronics 56 (5), 902",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1139439753124125772,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:AXPGKjj_ei8C
OmulQ3gAAAAJ,3,Synthesis and characterization of Mo-doped PbS thin films for enhancing the photocatalytic hydrogen production,"M Ibrahim, M Zayed, AM Ahmed, MA Ghanem, M Shaban, S Abd Elkhalik, ...","Materials Chemistry and Physics 315, 128962",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3246690341400949949,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:dQ2og3OwTAUC
OmulQ3gAAAAJ,4,Total reflectivity for infrared radiation based on one-dimensional gyroidal metallic photonic crystals,"AHM Almawgani, HA Elsayed, A Mehaney, A Sharma, AM Ahmed, ...","International Journal of Modern Physics B 38 (15), 2450186",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2197514836990727705,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:eJXPG6dFmWUC
OmulQ3gAAAAJ,5,Advanced equilibrium studies on the integration impact of β-cyclodextrin on the effectiveness of magnesium rich hydroxyapatite as adsorbent for tetracycline residuals: Steric …,"MR Abukhadra, X Sun, N Talha, MA Rafea, AM Ahmed","Colloids and Surfaces A: Physicochemical and Engineering Aspects 687, 133470",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9011530122878000670,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:uLbwQdceFCQC
OmulQ3gAAAAJ,6,Sensing of heavy metal Pb2+ ions in water utilizing the photonic structure of highly controlled hexagonal TiON/TiO2 nanotubes,"AM Elsayed, AM Ahmed, MT Tammam, MF Eissa, AH Aly","Scientific Reports 14 (1), 1015",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9912648394648891642,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:1yQoGdGgb4wC
OmulQ3gAAAAJ,7,Chemical synthesis and super capacitance performance of novel CuO@ Cu 4 O 3/rGO/PANI nanocomposite electrode,"AE Allah, F Mohamed, MA Ghanem, AM Ahmed","RSC advances 14 (19), 13628-13639",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5618924100916603507,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:tzM49s52ZIMC
OmulQ3gAAAAJ,8,Sodium titanium oxide/zinc oxide (STO/ZnO) photocomposites for efficient dye degradation applications,"M Zayed, M Nasr, MJ Aljaafreh, M Marashdeh, M Al-Hmoud, M Shaban, ...","Green Processing and Synthesis 13 (1), 20230272",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
OmulQ3gAAAAJ,9,Steric and energetic studies on the influence of cellulose on the adsorption effectiveness of Mg trapped hydroxyapatite for enhanced remediation of chlorpyrifos and omethoate …,"X Sun, N Talha, AM Ahmed, MA Rafea, NA Alenazi, MR Abukhadra","International Journal of Biological Macromolecules 265, 130711",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
OmulQ3gAAAAJ,10,Enhancing the solar hydrogen generation performance of nickel-oxide nanostructured thin films doped with molybdenum,"A Abdelmoneim, MS Abdel-wahab, MAK Elfayoumi, AM Ahmed, ...","Physica Scripta 99 (4), 045906",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
OmulQ3gAAAAJ,11,Multilayer designs comprising zirconium nitride and perovskites as a novel angular plasmonic biomedical sensor,"AHM Almawgani, W Sabra, A Hajjiah, HA Elsayed, A Mehaney, GA Ali, ...","Zeitschrift für Naturforschung A 79 (2), 157-171",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
OmulQ3gAAAAJ,12,"Effects of transition metals (Fe, Co) on the physical and photoelectrochemical hydrogen generation properties of copper oxide nanoparticulate films","M Shaban, AM El Sayed, H AlMohamadi, MT Khan, AM Ahmed","International Journal of Hydrogen Energy 56, 164-174",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
OmulQ3gAAAAJ,13,Synergetic and advanced isotherm investigation for the enhancement influence of zeolitization and β-cyclodextrin hybridization on the retention efficiency of U (vi) ions by …,"AM Ahmed, I Saad, MA Rafea, MR Abukhadra","RSC advances 14 (13), 8752-8768",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
OmulQ3gAAAAJ,14,High-performance biosensors based on angular plasmonic of a multilayer design: new materials for enhancing sensitivity of one-dimensional designs,"HA Elsayed, SK Awasthi, AHM Almawgani, A Mehaney, YAA Ali, ...","RSC advances 14 (11), 7877-7890",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
OmulQ3gAAAAJ,15,Effective retention of cesium ions from aqueous environment using morphologically modified kaolinite nanostructures: experimental and theoretical studies,"AM Ahmed, N Nasser, MA Rafea, MR Abukhadra","RSC advances 14 (5), 3104-3121",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
OmulQ3gAAAAJ,16,Enhanced CO2 gas sensing at room temperature using Ag-plated Na-doped CuO thin films synthesized by successive ionic layer adsorption and reaction technique,"R Saad, K Abdelkarem, AM Ahmed, M Zayed, ZM Faidey, M Shaban, ...","Surfaces and Interfaces 44, 103789",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
OmulQ3gAAAAJ,17,Tuning the surface morphologies of ZnO nanofilms for enhanced sensitivity and selectivity of CO2 gas sensor,"TA Taha, R Saad, M Zayed, M Shaban, AM Ahmed","Applied Physics A 129 (2), 115",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5395175790649988524,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:l7t_Zn2s7bgC
OmulQ3gAAAAJ,18,Locally resonant porous phononic crystal sensor for heavy metals detection: A new approach of highly sensitive liquid sensors,"ZA Alrowaili, M Aouassa, MH Mahmoud, KS El-Nasser, HA Elsayed, ...","Journal of Molecular Liquids 369, 120964",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7018609585231341276,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:WbkHhVStYXYC
OmulQ3gAAAAJ,19,Impact of carbon nanotubes concentrations on the performance of carbon nanotubes/zinc oxide nanocomposite for photoelectrochemical water splitting,"AM Alenad, TA Taha, M Zayed, A Gamal, M Shaaban, AM Ahmed, ...","Journal of Electroanalytical Chemistry 943, 117579",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5276978364771199305,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OmulQ3gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=OmulQ3gAAAAJ:mvPsJ3kp5DgC
