Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Otr-T3YAAAAJ,1,Exploring the Efficacy of Deep Learning Techniques in Detecting and Diagnosing Alzheimer’s Disease: A Comparative Study,"M Al-Zharani, SI Ansarullah, MS Al-Eissa, GM Dar, RA Alqahtani, ...","Journal of Disability Research 3 (6), 20240064",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Otr-T3YAAAAJ,2,"Syzygium aromaticum Bud Extracted Core–Shell Ag–Fe Bimetallic Nanoparticles: Phytotoxic, Antioxidant, Insecticidal, and Antibacterial Properties","F Murtaza, N Akhter, MA Qamar, A Yaqoob, AA Chaudhary, BR Patil, ...","Crystals 14 (6), 510",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Otr-T3YAAAAJ,3,Exogenous Melatonin Supplement Contributes as Antioxidant to Attenuate the Oxidative Stress Induced by Cadmium Toxicity in Male Wistar Rats,"MM Al-Zharani, EA Almuqri, MM Ahmed, NH Aljarba, HA Rudayni, ...","Biomedical and Biotechnology Research Journal (BBRJ) 8 (2), 218-224",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Otr-T3YAAAAJ,4,The impact of adding calcium ionomycin on the sperm capacitation medium of frozen thawed bovine spermatozoa,"M Aleissa, A Alhimaidi, R Amran, A Ammari, M Al-Ghadi, M Mubarak, ...","Journal of King Saud University-Science 36 (4), 103135",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Otr-T3YAAAAJ,5,Quercetin as a dietary supplementary flavonoid alleviates the oxidative stress induced by lead toxicity in male Wistar rats,"M Al-Zharani, M Mubarak, HA Rudayni, AA Al-Doaiss, MM Abd-Elwahab, ...","Nutrients 15 (8), 1888",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9435902328207587444,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Otr-T3YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Otr-T3YAAAAJ:isC4tDSrTZIC
Otr-T3YAAAAJ,6,"Amomum subulatum Fruit Extract Mediated Green Synthesis of Silver and Copper Oxide Nanoparticles: Synthesis, Characterization, Antibacterial and Anticancer …","S Dhir, R Dutt, RP Singh, M Chauhan, T Virmani, G Kumar, A Alhalmi, ...","Processes 11 (9), 2698",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18072441094871763240,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Otr-T3YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Otr-T3YAAAAJ:YFjsv_pBGBYC
Otr-T3YAAAAJ,7,"Anti-Struvite, Antimicrobial, and Anti-Inflammatory Activities of Aqueous and Ethanolic Extracts of Saussurea costus (Falc) Lipsch Asteraceae","N Mammate, FE El Oumari, H Imtara, S Belchkar, G Benjelloun Touimi, ...","Molecules 28 (2), 667",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15438636375707997706,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Otr-T3YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Otr-T3YAAAAJ:4JMBOYKVnBMC
Otr-T3YAAAAJ,8,"Persicaline, an alkaloid from Salvadora persica, inhibits proliferation and induces apoptosis and cell-cycle arrest in MCF-7 cells","M Mohany, M Al-zharani, FA Nasr, MS El-Wetidy, M Farag, ...","Open Chemistry 21 (1), 20220302",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14686077225777743283,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Otr-T3YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Otr-T3YAAAAJ:TFP_iSt0sucC
Otr-T3YAAAAJ,9,"Intoxication Induced by Urea Containing Diets in Broiler Chickens: Effect on Weight Gain, Feed Conversion Ratio, Hematological and Biochemical Profiles","M Al-Zharani, M Mubarak, HA Rudayni, MM Abdelwahab, M Al-Eissa","Advances in Bioscience and Biotechnology 14 (3), 106-119",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8296680415925105545,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Otr-T3YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Otr-T3YAAAAJ:bEWYMUwI8FkC
Otr-T3YAAAAJ,10,The role of ionomycin in the improvement of in vitro fertilization and increasing the rate of bovine embryo development,"RA Amran, MS Aleissa, MG Al Ghadi, AA Ammari, NM Al-Malahi, ...","Indian Journal of Animal Research 57 (10), 1279-1284",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14768275143747974636,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Otr-T3YAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Otr-T3YAAAAJ:NMxIlDl6LWMC
