Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
PNNZrPYAAAAJ,1,Analyzing Soliton Solutions of the Extended (3 + 1)-Dimensional Sakovich Equation,MK Rubayyi T. Alqahtani,Mathematic 12,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8491010488094646109,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:QIV2ME_5wuYC
PNNZrPYAAAAJ,2,Impact of fractional magnetohydrodynamic and hall current on ree-eyring fluid flow by using radial basis function method,"RTA Hina Zahir , Mehnaz , Javairia Gul , Mustafa Inc",Alexandria Engineering Journal 88,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14082577352203376056,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:9ZlFYXVOiuMC
PNNZrPYAAAAJ,3,Unveiling the dynamics of drug transmission: A fractal-fractional approach integrating criminal law,"RTAMA Yasir Nadeem Anjam, Asma Arshad",Mathematic 9,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PNNZrPYAAAAJ,4,"Complexitons, Bilinear forms and Bilinear Bäcklund transformation of a (2+ 1)-dimensional Boiti–Leon–Manna–Pempinelli model describing incompressible fluid","AR Butt, N Raza, M Inc, RT Alqahtani","Chaos, Solitons & Fractals 168, 113201",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1635349324103486798,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:4DMP91E08xMC
PNNZrPYAAAAJ,5,New Solitary Wave Patterns of the Fokas System in Fiber Optics,"M Kaplan, A Akbulut, RT Alqahtani","Mathematics 11 (8), 1810",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1813872636396884649,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:qxL8FJ1GzNcC
PNNZrPYAAAAJ,6,Exploration of New Solitons for the Fractional Perturbed Radhakrishnan–Kundu–Lakshmanan Model,"M Kaplan, RT Alqahtani","Mathematics 11 (11), 2562",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14720161403967313667,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:4TOpqqG69KYC
PNNZrPYAAAAJ,7,W-Shaped Bright Soliton of the (2+ 1)-Dimension Nonlinear Electrical Transmission Line,"M Inc, RT Alqahtani, RP Agarwal","Mathematics 11 (7), 1703",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16246872897894030563,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:aqlVkmm33-oC
PNNZrPYAAAAJ,8,Modulation instability and modulated waves patterns of the generalized non-autonomous nonlinear Schrödinger equation,"M Inc, RT Alqahtani","Optical and Quantum Electronics 55 (4), 362",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5965996400168622861,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:Wp0gIr-vW9MC
PNNZrPYAAAAJ,9,Modeling the role of public health intervention measures in halting the transmission of monkeypox virus,"RT Alqahtani, SS Musa, M Inc","AIMS Mathematics 8 (6), 14142-14166",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4326682558800958096,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:M3ejUd6NZC8C
PNNZrPYAAAAJ,10,On Numerical Analysis of Bio-Ethanol Production Model with the Effect of Recycling and Death Rates under Fractal Fractional Operators with Three Different Kernels,"RT Alqahtani, S Ahmad, A Akgül","Mathematics 10 (7), 1102",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17013355704572085890,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:ULOm3_A8WrAC
PNNZrPYAAAAJ,11,New Type Modelling of the Circumscribed Self-Excited Spherical Attractor,"M Partohaghighi, A Akgül, RT Alqahtani","Mathematics 10 (5), 732",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15266788709802711818,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:Zph67rFs4hoC
PNNZrPYAAAAJ,12,Stability Results of Mixed Type Quadratic-Additive Functional Equation in β-Banach Modules by Using Fixed-Point Technique,"SAM Kandhasamy Tamilvanan , Rubayyi T. Alqahtani",Mathematic 10,2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=184507780693810555,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:_kc_bZDykSQC
PNNZrPYAAAAJ,13,Mathematical model of SIR epidemic system (COVID-19) with fractional derivative: stability and numerical analysis,RT Alqahtani,"Advances in Difference Equations 2021 (1), 1-16",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7362422792129006712,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:WF5omc3nYNoC
PNNZrPYAAAAJ,14,Dynamical Analysis of Bio-Ethanol Production Model under Generalized Nonlocal Operator in Caputo Sense,"RT Alqahtani, S Ahmad, A Akgül","Mathematics 9 (19), 2370",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4263378253473579157,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:5nxA0vEk-isC
PNNZrPYAAAAJ,15,Mathematical analysis of biodegradation model under nonlocal operator in Caputo sense,"RT Alqahtani, S Ahmad, A Akgül","Mathematics 9 (21), 2787",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8597115662364235155,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:8k81kl-MbHgC
PNNZrPYAAAAJ,16,"Study of Dynamics of a COVID-19 Model for Saudi Arabia with Vaccination Rate, Saturated Treatment Function and Saturated Incidence Rate","RT Alqahtani, A Ajbar","Mathematics 9 (23), 3134",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12939552660504565208,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:YOwf2qJgpHMC
PNNZrPYAAAAJ,17,DEVELOPMENT AND ANALYSIS OF A SEIR MODEL FOR COVID-19 EPIDEMIC WITH VACCINATION AND NONSINGULAR KERNEL,"RT ALQAHTANI, A YUSUF",Fractals 2240040,2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13368991534346035367,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:3fE2CSJIrl8C
PNNZrPYAAAAJ,18,Bifurcation analysis of a SEIR epidemic system with governmental action and individual reaction,"A Ajbar, RT Alqahtani","Advances in difference equations 2020 (1), 1-14",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5565186037394557726,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:W7OEmFMy1HYC
PNNZrPYAAAAJ,19,An efficient numerical algorithm for solving fractional SIRC model with salmonella bacterial infection,"RT Alqahtani, MA Abdelkawy","Mathematical Biosciences and Engineering 17 (4), 3784-3793",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14317956805085872071,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:UebtZRa9Y70C
PNNZrPYAAAAJ,20,Competition model in groundwater: Three boreholes taping water out from same aquifer,"RT Alqahtani, A Atangana","Chaos, Solitons & Fractals 128, 98-103",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8175201499491602258,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:ufrVoPGSRksC
PNNZrPYAAAAJ,21,Bright optical solitons for Lakshmanan-Porsezian-Daniel model by semi-inverse variational principle,"RT Alqahtani, MM Babatin, A Biswas","Optik 154, 109-114",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8397014960311789003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:_FxGoFyzp5QC
PNNZrPYAAAAJ,22,Optical solitons with differential group delay for coupled Fokas–Lenells equation by extended trial function scheme,"A Biswas, M Ekici, A Sonmezoglu, RT Alqahtani","Optik 165, 102-110",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3250977032025254061,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNNZrPYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PNNZrPYAAAAJ:zYLM7Y9cAGgC
