Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
PUIBD64AAAAJ,1,Autism Spectrum Disorder Prediction in Children Using Machine Learning,"EMHHES Mahmoud M. Abdelwahab, Khamis A. Al-Karawi","Journal of Disability Research 3, 1-9",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12014631215679899624,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PUIBD64AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PUIBD64AAAAJ:UebtZRa9Y70C
PUIBD64AAAAJ,2,A Review on Internet of Things (IoT)-Related Disabilities and Their Implications,"HE Semary, KA Al-Karawi, MM Abdelwahab, AM Elshabrawy","Journal of Disability Research 3 (2), 20240012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2441111629691921888,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PUIBD64AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PUIBD64AAAAJ:8k81kl-MbHgC
PUIBD64AAAAJ,3,Using Voice Technologies to Support Disabled People,KAAKMMA 21. H. E. Semary,Journal of Disability Research 3,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8959737716169939115,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PUIBD64AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PUIBD64AAAAJ:hqOjcs7Dif8C
PUIBD64AAAAJ,4,Modified Two-Parameter Liu Estimator for Addressing Multicollinearity in the Poisson Regression Model,"ATHAMEM Mahmoud M. Abdelwahab, Mohamed R. Abonazel",Axioms 13 (1),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1165602365557841737,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PUIBD64AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PUIBD64AAAAJ:LkGwnXOMwfcC
PUIBD64AAAAJ,5,Univariate and bivariate extensions of the truncated inverted arctan power distribution with applications,"HE Semary, C Chesneau, MA Aldahlan, I Elbatal, M Elgarhy, ...","Alexandria Engineering Journal 100, 340-356",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PUIBD64AAAAJ,6,Integrating gene selection and deep learning for enhanced Autisms' disease prediction: a comparative study using microarray data,"MM Abdelwahab, KA Al-Karawi, HE Semary",AIMS Mathematics 9 (7),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PUIBD64AAAAJ,7,Implications of labour market disruptions on subjective wellbeing during the COVID-19 pandemic in MENA countries,"MM Abdelwahab, MR Abonazel, HE Semary, S Abdel-Rahman",Heliyon 10 (4),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PUIBD64AAAAJ,8,Classical and Bayesian inference for the Kavya–Manoharan generalized exponential distribution under generalized progressively hybrid censored data,"MM Abdelwahab, AB Ghorbal, AS Hassan, M Elgarhy, EM Almetwally, ...","Symmetry 15 (6), 1193",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5022310669668576281,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PUIBD64AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PUIBD64AAAAJ:WF5omc3nYNoC
PUIBD64AAAAJ,9,Deep learning-based prediction of Alzheimer’s disease using microarray gene expression data,"MM Abdelwahab, KA Al-Karawi, HE Semary","Biomedicines 11 (12), 3304",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3579916792159032273,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PUIBD64AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PUIBD64AAAAJ:_FxGoFyzp5QC
PUIBD64AAAAJ,10,"Intoxication Induced by Urea Containing Diets in Broiler Chickens: Effect on Weight Gain, Feed Conversion Ratio, Hematological and Biochemical Profiles","MAE Mohammed Al-Zharani, Mohammed Mubarak, Hassan Ahmed Rudayni, Mahmoud M ...","Advances in Bioscience and Biotechnology 14 (3), 106-119",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8296680415925105545,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PUIBD64AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PUIBD64AAAAJ:eQOLeE2rZwMC
