Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
PpmrkZsAAAAJ,1,CuTe supported on graphitic carbon nitride nanocomposite as an effective electrocatalyst for oxidation of water in basic media,"DA Alshammari, HH Abd El-Gawad, M Abdullah, S Manzoor, ZM El-Bahy, ...","Journal of Electroanalytical Chemistry 953, 118018",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14148903279378427853,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PpmrkZsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PpmrkZsAAAAJ:geHnlv5EZngC
PpmrkZsAAAAJ,2,Magnetic solid phase extraction of aminoglycosides residue in chicken egg samples using Fe3O4-GO-Agarose-Chitosan composite,"M Sajjad, R Almufarij, Z Ali, M Sajid, N Raza, S Manzoor, M Hayat, ...","Food Chemistry 430, 137092",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11726646514399699996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PpmrkZsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PpmrkZsAAAAJ:bFI3QPDXJZMC
PpmrkZsAAAAJ,3,Reduced and modified graphene oxide with Ag/V2O5 as a ternary composite visible light photocatalyst against dyes and pesticides,"K Aziz, A Naz, N Raza, S Manzoor, KH Kim","Environmental Research 247, 118256",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17873723790049469163,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PpmrkZsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PpmrkZsAAAAJ:5Ul4iDaHHb8C
PpmrkZsAAAAJ,4,Recent insights into molecularly imprinted membrane technology for removal of pollutants from environmental water: From organic molecules to metal ions,"L Hejji, YAEH Ali, A Azzouz, N Raza, LP Villarejo, SK Kailasa","Journal of Water Process Engineering 58, 104852",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3389795194209153110,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PpmrkZsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PpmrkZsAAAAJ:LPZeul_q3PIC
PpmrkZsAAAAJ,5,Design and preparation of novel LaFeO3/NiFe2O4 nanohybrid for highly efficient photodegradation of methylene blue dye under visible light illumination,"S Gouadria, AG Al-Sehemi, S Manzoor, M Abdullah, AG Abid, N Raza, ...","Journal of Photochemistry and Photobiology A: Chemistry 448, 115305",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7635849968147423612,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PpmrkZsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PpmrkZsAAAAJ:tS2w5q8j5-wC
PpmrkZsAAAAJ,6,Non-enzymatic electrochemical detection of melamine in dairy products by using CuO decorated carbon nanotubes nanocomposites,"FK Algethami, HM Marwani, N Raza, AM Asiri, MM Rahman","Food Chemistry 445, 138792",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3960876733563886458,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PpmrkZsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PpmrkZsAAAAJ:eJXPG6dFmWUC
PpmrkZsAAAAJ,7,Optimizing electronic structure of CoSe2 nanorods via N-dopant modulation for superior electrocatalytic hydrogen evolution reaction,"SN Hussain, A Kumar, F Naz, HH Abd El-Gawad, A Mehmood, ...","Electrochimica Acta 475, 143637",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11014071177916161432,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PpmrkZsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=PpmrkZsAAAAJ:B3FOqHPlNUQC
PpmrkZsAAAAJ,8,Optimization of lithium adsorption from seawater via aluminum chloride as adsorbent using response surface methodology,"M Hussain, F Uddin, N Raza, W Aleem, S Hussain, A Idris, S Qadir","Energy Sources, Part A: Recovery, Utilization, and Environmental Effects 46 …",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PpmrkZsAAAAJ,9,Designing dendrite resistive poly (ether-ether-ketone) modified multifunctional Celgard separator for lithium metal batteries: Mechanistic and experimental study,"W Raza, A Mehmood, A Hussain, M Ahmad, MA Mushtaq, SN Hussain, ...","Journal of Energy Storage 90, 111717",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PpmrkZsAAAAJ,10,Molecular imprinting technology for next-generation water treatment via photocatalysis and selective pollutant adsorption,"YAEH Ali, A Azzouz, M Ahrouch, A Lamaoui, N Raza, AA Lahcen","Journal of Environmental Chemical Engineering 12 (3), 112768",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PpmrkZsAAAAJ,11,"Facile synthesis of TiO2@ ZnO nanoparticles for enhanced removal of methyl orange and indigo carmine dyes: Adsorption, kinetics","MAB Aissa, M Khairy, ME Khalifa, EA Abdelrahman, N Raza, EM Masoud, ...",Heliyon 10 (10),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PpmrkZsAAAAJ,12,Enhanced adsorptive removal of malachite green in environmental samples using Java plum leaves: from equilibrium to mechanism studies,"S Gul, S Gul, H Gul, N Raza, A Azzouz, MR Elamin, L Khezami",Biomass Conversion and Biorefinery 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PpmrkZsAAAAJ,13,Novel ternary mesoporous Co3CsO4-g-C3N4 nanocomposite as an efficient sorbent for Pb (II) and Cu (II) ions elimination,"M Khairy, EA Abdelrahman, N Raza, EM Masoud, LS Alqarni, MAB Aissa, ...","Journal of Materials Science: Materials in Electronics 35 (11), 1-14",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PpmrkZsAAAAJ,14,Micro and Nanoporous Membrane Platforms for Carbon Neutrality: Membrane Gas Separation Prospects,"A Hussain, H Gul, W Raza, S Qadir, M Rehan, N Raza, A Helal, ...","The Chemical Record 24 (4), e202300352",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
PpmrkZsAAAAJ,15,NiPt nanoparticle immobilization on zirconia (ZrO2) for the production of hydrogen through selected decomposition of alkaline hydrazine solution,"SN Hussain, N Raza, TS Alomar, N AlMasoud, H Gul, G Ashraf, MZ Ansari, ...","Materials Science and Engineering: B 302, 117267",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
