Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
QAwoDZQAAAAJ,1,Preserving Postharvest Quality of Medjool Date Palm Fruits by Edible Oil Emulsions Application,"MM Alotaibi, MS Alsubeie, M Almuziny, SA Alghamdi, F M. Alzuaibr, ...","Sustainability 16 (13), 5528",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
QAwoDZQAAAAJ,2,"The Effect of Foliar Application with Naphthalene Acetic Acid and Potassium Nitrate on the Growth, Sex Ratio, and Productivity of Cucumbers (Cucumis sativas L …","MM Alotaibi, MMM El Nagy, M Almuziny, MS Alsubeie, AAI Abo-Zeid, ...","Agronomy 14 (6), 1202",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
QAwoDZQAAAAJ,3,Influence of Super-Absorbent Polymer on Growth and Productivity of Green Bean under Drought Conditions,"MM Alotaibi, MM Alharbi, IM Alsudays, MS Alsubeie, M Almuziny, ...","Agronomy 14 (6), 1146",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
QAwoDZQAAAAJ,4,"Cytotoxic, antioxidant, antibacterial activity of phytochemicals from Phragmanthera austroarabica","MSA Alsubeie, NA Ibrahim, AA Alghamdi, NS Basher, BS Alammari, ...","Bioinformation 20 (5), 487-494",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
QAwoDZQAAAAJ,5,Potential role of silicon in plants against biotic and abiotic stresses,"SR Ahmed, Z Anwar, U Shahbaz, M Skalicky, A Ijaz, MS Tariq, U Zulfiqar, ...","Silicon 15 (7), 3283-3303",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2531719619330193638,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:qxL8FJ1GzNcC
QAwoDZQAAAAJ,6,Genetic Variations among Fleabane (Conyza bonariensis (L.) Cronquist) Populations in Jordan and Their Susceptibility Levels to Contact Herbicides,"JR Qasem, AO Alfalahi, MS Alsubeie, AF Almehemdi, A Synowiec","Agriculture 13 (2), 435",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12157538349840585728,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:4DMP91E08xMC
QAwoDZQAAAAJ,7,"Morphological, Genetic Characterization, and Chemical Analysis of Castor Bean (Ricinus communis) Growing in Riyadh Saudi Arabia",MS Alsubeie,"Entomology and Applied Science Letters 10 (1-2023), 38-44",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14894729199987113481,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:9ZlFYXVOiuMC
QAwoDZQAAAAJ,8,"Nutritional, Antioxidant and Antimicrobial of the Fermented leaves of Kawal (Cassia obtusifolia) from two Sudanese Regions","NA Ibrahim, EA Elgasim, SBH Hashim, NA Ibrahim, MS Alsubeie, ...","Journal of Chemical and Pharmaceutical Research 15 (4), 19-32",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
QAwoDZQAAAAJ,9,Combination of fuzzy-AHP and GIS techniques in land suitability assessment for wheat (Triticum aestivum) cultivation,"OM Kılıc, K Ersayın, H Gunal, A Khalofah, MS Alsubeie","Saudi Journal of Biological Sciences 29 (4), 2634-2644",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10245466790161640964,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:0EnyYjriUFMC
QAwoDZQAAAAJ,10,"Exogenous proline, methionine, and melatonin stimulate growth, quality, and drought tolerance in cauliflower plants","HA El-Bauome, EA Abdeldaym, MAM Abd El-Hady, DBE Darwish, ...","Agriculture 12 (9), 1301",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10671420828145168443,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:kNdYIx-mwKoC
QAwoDZQAAAAJ,11,"Physiological and biochemical changes in vegetable and field crops under drought, salinity and weeds stresses: control strategies and management","K Abdelaal, MS Alsubeie, Y Hafez, A Emeran, F Moghanm, S Okasha, ...","Agriculture 12 (12), 2084",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11663878262071012111,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:M3ejUd6NZC8C
QAwoDZQAAAAJ,12,Postharvest exogenous melatonin treatment of table grape berry enhances quality and maintains bioactive compounds during refrigerated storage,"MA Nasser, MM El-Mogy, MSF Samaan, KM Hassan, SM El-Sayed, ...","Horticulturae 8 (10), 860",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3390860053523248114,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:ULOm3_A8WrAC
QAwoDZQAAAAJ,13,"Utilization of Genetic Resources, Genetic Diversity and Genetic Variability for Selecting New Restorer Lines of Rice (Oryza sativa L.)","MMA Awad-Allah, WWM Shafie, MS Alsubeie, A Alatawi, FA Safhi, ...","Genes 13 (12), 2227",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5272350481160982675,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:4TOpqqG69KYC
QAwoDZQAAAAJ,14,"Effect of mycorrhiza fungi, preceding crops, mineral and bio fertilizers on maize intercropping with cowpea","AAM Zen El-Dein, MHM Koriem, MS Alsubeie, RA Alsalmi, AS Masrahi, ...","Agriculture 12 (11), 1934",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9127475718603870485,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:YOwf2qJgpHMC
QAwoDZQAAAAJ,15,"Folic acid reinforces maize tolerance to sodic-alkaline stress through modulation of growth, biochemical and molecular mechanisms","BS Aljuaid, S Mukherjee, AN Sayed, YAEG El-Gabry, MMA Omar, ...","Life 12 (9), 1327",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6974810563690982329,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:KlAtU1dfN6UC
QAwoDZQAAAAJ,16,Morphology and Molecular Study of Cassia angustifolia Vahl. in Saudi Arabia Using RAPD Technique,MS Alsubeie,"Entomology and Applied Science Letters 9 (2-2022), 11-16",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16944888534646095640,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:3fE2CSJIrl8C
QAwoDZQAAAAJ,17,"Impact of Plantago ovata Forsk leaf extract on morpho-physio-biochemical attributes, ions uptake and drought resistance of wheat (Triticum aestivum L.) seedlings","K Alharbi, HAS Alhaithloul, AAM Alayafi, WA Al-Taisan, SM Alghanem, ...","Frontiers in Plant Science 13, 999170",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9002391037694021641,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:Zph67rFs4hoC
QAwoDZQAAAAJ,18,Investigation the Lethal Effect of Colotropis procera Ait Leaves Extracts Against Aedes aegypti (L) Larvae,"NS Basher, MS Alsubeie, HA Rudayni","Entomology and Applied Science Letters 9 (4-2022), 19-27",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18412941465912092554,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QAwoDZQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QAwoDZQAAAAJ:aqlVkmm33-oC
