Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
QSwpcb0AAAAJ,1,Effect of Gamma-Irradiation on Electrochemical Properties of Nicos for Supercapacitor Application,"IFA Mohammad W. Marashdeh1, ∗, Mamduh J. Aljaafreh1, Ghassab M. Al-Mazaideh2 ...","Science of Advanced Materials 16 (Vol. 16, No. 5), pp. 596–605,",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
QSwpcb0AAAAJ,2,Eco-friendly methanolic Ajuga orientalis extract as corrosion inhibitor for aluminium in 1.0 M NaOH,"MA Al-Qudah, FK Algethami, OA Fodeh, IF Al-Momani, TT Bataineh, ...","Corrosion Engineering, Science and Technology 1478422X241241390",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
QSwpcb0AAAAJ,3,In silico evaluation of a new compound incorporating 4 (3H)-quinazolinone and sulfonamide as a potential inhibitor of a human carbonic anhydrase,"AM Alkaoud, AI Alakhras, MA Ibrahim, SK Alghamdi, RK Hussein","BMC chemistry 18 (1), 45",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
QSwpcb0AAAAJ,4,Adsorption kinetics behavior of MB dye on CaO nanosheets,"* A.Modwia , M. A. Aissaa , A. I. Alakhrasb,c, H. Idrissc,d","Journal of Ovonic Research 20, 93-102",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
QSwpcb0AAAAJ,5,"Experimental and computational exploration of chitin, pectin, and amylopectin polymers as efficient eco-friendly corrosion inhibitors for mild steel in an acidic environment …","A Fawzy, A Toghan, N Alqarni, M Morad, MEA Zaki, MMS Sanad, ...","Polymers 15 (4), 891",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11123293059135403785,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QSwpcb0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QSwpcb0AAAAJ:ULOm3_A8WrAC
QSwpcb0AAAAJ,6,Correlating Experimental with Theoretical Studies for a New Ionic Liquid for Inhibiting Corrosion of Carbon Steel during Oil Well Acidification,"* Arafat Toghan 1,2,*, Ahmed Fawzy 3,4, Abbas I. Alakhras 1, Moustafa M. S ...","Metals 862 (13,)",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17765810607603576966,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QSwpcb0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QSwpcb0AAAAJ:M3ejUd6NZC8C
QSwpcb0AAAAJ,7,"Experimental exploration, RSM modeling, and DFT/MD simulations of the anticorrosion performance of naturally occurring amygdalin and raffinose for aluminum in NaOH solution","A Toghan, A Fawzy, AI Alakhras, N Alqarni, MEA Zaki, MMS Sanad, ...","Coatings 13 (4), 704",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14044738313303027814,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QSwpcb0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QSwpcb0AAAAJ:4TOpqqG69KYC
QSwpcb0AAAAJ,8,"Inhibitory Activity of Saussurea costus Extract against Bacteria, Candida, Herpes, and SARS-CoV-2","H Idriss, B Siddig, P González-Maldonado, HM Elkhair, AI Alakhras, ...","Plants 12 (3), 460",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3081138173161385610,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QSwpcb0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QSwpcb0AAAAJ:Zph67rFs4hoC
QSwpcb0AAAAJ,9,Development of a new promising nanocomposite photocatalyst of polyaniline/carboxylated graphene oxide supported on PVA film to remove different ecological pollutants,"A Toghan, MH Gouda, HF Zahran, AI Alakhras, MMS Sanad, ...","Diamond and Related Materials 139, 110400",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16084488151897854549,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QSwpcb0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QSwpcb0AAAAJ:aqlVkmm33-oC
QSwpcb0AAAAJ,10,Development and activity enhancement of zirconium/vanadium oxides as micro-heterogeneous ceramic electrocatalyst for ORR in low temperature fuel cell,"NA Elessawy, A Toghan, MS Elnouby, AI Alakhras, HA Hamad, ...","Ceramics International 49 (3), 4313-4321",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13743096430993940394,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QSwpcb0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=QSwpcb0AAAAJ:_FxGoFyzp5QC
