Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Qmy124UAAAAJ,1,"A new losses (revenues) probability model with entropy analysis, applications and case studies for value-at-risk modeling and mean of order-P analysis","I Elbatal, LS Diab, AB Ghorbal, HM Yousof, M Elgarhy, EIA Ali","AIMS Mathematics 9 (3), 7169-7211",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18434109651357947279,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:_B80troHkn4C
Qmy124UAAAAJ,2,Emotional and Behavioral Problems Among Higher-grade Students,"S Ali, SU Jan, I Elbatal, SU Khan, A Qazi","Journal of Disability Research 3 (3), 20240023",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16331299708310046280,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:JoZmwDi-zQgC
Qmy124UAAAAJ,3,Estimation methods based on ranked set sampling for the arctan uniform distribution with application,"SA Alyami, AS Hassan, I Elbatal, N Alotaibi, AM Gemeay, M Elgarhy","AIMS Mathematics 9 (4), 10304-10332",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16286018626097243313,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:PELIpwtuRlgC
Qmy124UAAAAJ,4,Truncated Cauchy Power Kumaraswamy Generalized Family of Distributions: Theory and Applications,"I Elbatal, L Handique, S Chakraborty","Statistics, Optimization & Information Computing 12 (2), 364-380",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10575640053194682859,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:D03iK_w7-QYC
Qmy124UAAAAJ,5,Bivariate step-stress accelerated life test for a new three-parameter model under progressive censored schemes with application in medical,"N Alotaibi, AS Al-Moisheer, I Elbatal, SA Alyami, AM Gemeay, ...","AIMS Mathematics 9 (2), 3521-3558",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8835104817399280644,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:2P1L_qKh6hAC
Qmy124UAAAAJ,6,Advancing estimation techniques and their applications in engineering and medical data analysis through novel continuous and discrete linear failure rate distribution extension,"I Elbatal, M Elgarhy, SM Almarzouki, LS Diab, AB Ghorbal, EM Almetwally","Journal of Radiation Research and Applied Sciences 17 (3), 101006",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Qmy124UAAAAJ,7,Univariate and bivariate extensions of the truncated inverted arctan power distribution with applications,"HE Semary, C Chesneau, MA Aldahlan, I Elbatal, M Elgarhy, ...","Alexandria Engineering Journal 100, 340-356",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Qmy124UAAAAJ,8,Alpha–beta-power family of distributions with applications to exponential distribution,"HE Semary, Z Hussain, WA Hamdi, MA Aldahlan, I Elbatal, ...","Alexandria Engineering Journal 100, 15-31",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Qmy124UAAAAJ,9,A new extension of inverse length biased exponential model with statistical inference under joint censored samples and application,"MM Abdelwahab, I Elbatal, M Elgarhy, AB Ghorbal, HE Semary, ...","Alexandria Engineering Journal 99, 377-393",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Qmy124UAAAAJ,10,New comprehensive class of estimators for population proportion using auxiliary attribute: Simulation and an application,"HE Semary, S Ahmad, I Elbatal, C Chesneau, M Elgarhy, EM Almetwally","Alexandria Engineering Journal 99, 130-136",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Qmy124UAAAAJ,11,"Statistical analysis of the inverse power Zeghdoudi model: Estimation, simulation and modeling to engineering and environmental data","I Elbatal, AS Hassan, AM Gemeay, LS Diab, AB Ghorbal, M Elgarhy","Physica Scripta 99 (6), 065231",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Qmy124UAAAAJ,12,Concept mapping and conceptual change texts: a constructivist approach to address the misconceptions in nanoscale science and technology,"M Naeem Sarwar, A Shahzad, Z Ullah, S Raza, SH Wasti, M Shrahili, ...","Frontiers in Education 9, 1339957",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Qmy124UAAAAJ,13,"People with Disabilities, the Age of Information and Communication Technology and the Prevailing Digital Divide—A Descriptive Analysis","S Malik, I Elbatal, SU Khan","Journal of Disability Research 3 (2), 20240011",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Qmy124UAAAAJ,14,Bayesian and Non-Bayesian Analysis for the Sine Generalized Linear Exponential Model under Progressively Censored Data,"MEEMA Naif Alotaibi , A. S. Al-Moisheer , Ibrahim Elbatal","Computer Modeling in Engineering & Sciences 30, 1-30",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Qmy124UAAAAJ,15,Statistical inference for the Kavya–Manoharan Kumaraswamy model under ranked set sampling with applications,"N Alotaibi, I Elbatal, M Shrahili, AS Al-Moisheer, M Elgarhy, ...","Symmetry 15 (3), 587",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5050360866200540306,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:hC7cP41nSMkC
Qmy124UAAAAJ,16,Statistical inference of the half logistic modified Kies exponential model with modeling to engineering data,"SM Alghamdi, M Shrahili, AS Hassan, AM Gemeay, I Elbatal, M Elgarhy","Symmetry 15 (3), 586",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10131875547629633447,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:yD5IFk8b50cC
Qmy124UAAAAJ,17,Analysis of milk production and failure data: Using unit exponentiated half logistic power series class of distributions,"SM Alghamdi, M Shrahili, AS Hassan, RE Mohamed, I Elbatal, M Elgarhy","Symmetry 15 (3), 714",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1843397369062157313,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:_FxGoFyzp5QC
Qmy124UAAAAJ,18,Kavya-Manoharan Weibull-G family of distributions: Statistical inference under progressive type-II censoring scheme,"I Elbatal, SM Alghamdi, F Jamal, S Khan, EM Almetwally, M Elgarhy","Advances and Applications in Statistics 87 (2), 191-223",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13962869443365852217,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:tS2w5q8j5-wC
Qmy124UAAAAJ,19,A new extension of the Kumaraswamy exponential model with modeling of food chain data,"EA Eldessouky, OHM Hassan, M Elgarhy, EAA Hassan, I Elbatal, ...","Axioms 12 (4), 379",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7434203005908976473,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Qmy124UAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Qmy124UAAAAJ:k_IJM867U9cC
