Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
RKkOH2gAAAAJ,1,ON  -GENERATIONS OF THE FISCHER GROUP ,"F Ali, N Alotaibi, I Al-Dayel","JP Journal of Algebra, Number Theory and Applications 63 (3), 281-296",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,2,Specht Modules and Representations,"MO Alshammari, F Ali","Advances in Ring Theory and Applications: WARA A22, Messina, Italy, July 18-20 …",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,3,Existence results of certain nonlinear polynomial and integral equations via ϝ-contractive operators,"RO Ogbumba, MS Shagari, A Azam, F Ali, T Alotaibi","AIMS Math 8 (12), 28646-69",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4070917320671299445,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:NMxIlDl6LWMC
RKkOH2gAAAAJ,4,Exploring Integral ϝ-Contractions with Applications to Integral Equations and Fractional BVPs,"Z Nisar, N Mehmood, A Azam, F Ali, MA Al-Kadhi","Fractal and Fractional 7 (12), 833",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,5,A Comprehensive Study on Advancement in Hybrid Contraction and Graphical Analysis of £-Fuzzy Fixed Points with Application,"M Rashid, A Azam, F Dar, F Ali, MA Al-Kadhi","Mathematics 11 (21), 4489",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,6,Fixed-Point Convergence of Multi-Valued Non-Expansive Mappings with Applications,"A Azam, M Rashid, A Kalsoom, F Ali","Axioms 12 (11), 1020",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,7,Reich–Krasnoselskii-type fixed point results with applications in integral equations,"A Azam, N Mehmood, N Ahmad, F Ali","Journal of Inequalities and Applications 2023 (1), 131",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,8,Fixed point of Hardy-Rogers-type contractions on metric spaces with graph,"MS Shagari, F Ali, T Alotaibi, A Azam","Electronic Research Archive 31 (2), 675-690",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,9,Existence and compatibility of positive solutions for boundary value fractional differential equation with modified analytic kernel,"A Kalsoom, S Afsheen, A Azam, F Ali","AIMS Mathematics 8 (4), 7766-7786",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,10,Existence Results for Nonlinear Fractional Differential Inclusions via q-ROF Fixed Point,"L Shahid, M Rashid, A Azam, F Ali","Fractal and Fractional 7 (1), 41",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,11,Hybrid Fuzzy Contraction Theorems with Their Role in Integral Inclusions,"F Ali, MS Shagari, A Azam","Axioms 11 (11), 580",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,12,A fixed point result of weakly contractive operators in generalized metric spaces,"MS Shagari, F Ali, T Alotaibi, S Kanwal, A Azam","AIMS Mathematics 7 (9), 17603-17611",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,13,Estimation of Fixed Points of Hardy and Rogers Generalized Non-Expansive Mappings,"J Ali, F Ali, FA Khan",Azerbaijan Journal of Mathematics 49-63,2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9318047265833336662,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:TFP_iSt0sucC
RKkOH2gAAAAJ,14,"On a maximal subgroup of the symplectic group Sp(8, 2)","F Ali, ABM Basheer","Afrika Matematika 32, 1531-1562",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,15,Generating Pairs for the Fischer Group Fi23,"F Ali, M Al-Kadhi","Algebra Colloquium 27 (04), 713-730",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4810674729430188452,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:dhFuZR0502QC
RKkOH2gAAAAJ,16,On a maximal subgroup of the Conway group Co3,"ABM Basheer, F Ali, ML Alotaibi","Italian Journal of Pure and Applied Mathematics 44, 348-356",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,17,EFFECT OF WASTE WATER TREATMENT ON THE GROWTH OF SELECTED LEAFY VEGETABLE PLANTS.,"F Ali, SU Rehman, NM Tareen, K Ullah, A Ullah, T Bibi, S Laghari",Applied Ecology & Environmental Research 17 (2),2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14503936089639934284,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:k_IJM867U9cC
RKkOH2gAAAAJ,18,"On (2, 3)-generation of Fischer's largest sporadic simple group Fi24′","F Ali, MAF Ibrahim, A Woldar","Comptes Rendus Mathematique 357 (5), 401-412",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8650297660280231446,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:4DMP91E08xMC
RKkOH2gAAAAJ,19,"(3, 𝑞, 𝑟)-generations of Fischer's sporadic group Fi′24","F Ali, MAF Ibrahim, A Woldar","Journal of Group Theory 22 (3), 453-489",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6648477149350093044,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:4TOpqqG69KYC
RKkOH2gAAAAJ,20,On the ranks of Fischer group  and the Baby Monster group ,"MAF Ibrahim, F Ali, MA Al-Kadhi, AM Aljouiee","International Journal of Group Theory 8 (1), 11-22",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=596450636253757205,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:ZeXyd9-uunAC
RKkOH2gAAAAJ,21,"Impact of internally displaced persons on forest and vegetation of Jere LGA, Borno State, Nigeria","A Musa, MB Ibrahim, A Aliyu, FA Ali","Journal of Applied Sciences and Environmental Management 23 (5), 831-834",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6673280434800403089,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:Wp0gIr-vW9MC
RKkOH2gAAAAJ,22,"Sur la (2, 3)-génération du plus grand groupe simple sporadique de Fischer Fi24′","F Ali, MAF Ibrahim, A Woldar","Comptes Rendus Mathematique 357 (5), 401-412",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
RKkOH2gAAAAJ,23,Assessing the relationship between religiosity and rationality,"FS Khan, F Ali, I Muhammad",J Psychol Cognition. 2017; 2 (2): 166-169. J Psychol Cognition 2017 Volume 2 …,2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11178184189867019616,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:blknAaTinKkC
RKkOH2gAAAAJ,24,On the ranks of Fi22,F Ali,"Quaestiones Mathematicae 37 (4), 591-600",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18097429683744583481,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:YOwf2qJgpHMC
RKkOH2gAAAAJ,25,The Fischer-Clifford matrices and character table of the split extension 2 6: S8,"F Ali, J Moori","Hacettepe Journal of Mathematics and Statistics 43 (2), 153-171",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9055064661376529488,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:WF5omc3nYNoC
RKkOH2gAAAAJ,26,Simple Group Suz,F Ali,"Applied Mathematical Sciences 8 (48), 2375-2381",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13513751360507848986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:hqOjcs7Dif8C
RKkOH2gAAAAJ,27,Solvent-free determination of TPH in soil by near-infrared reflectance spectroscopy,"A Hauser, F Ali, B Al-Dosari, H Al-Sammar","International Journal of Sustainable Development and Planning 8 (3), 413-421",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5331906567075554913,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RKkOH2gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RKkOH2gAAAAJ:r0BpntZqJG4C
