Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
StOBA0AAAAAJ,1,Facile synthesis of SmSe2 over multiwalled carbon nanotubes for efficient water-splitting applications,"AM Alenad, S Aman, N Ahmad, AR Rashid, AG Abid, S Manzoor, MU Nisa, ...","Journal of the Korean Ceramic Society 61 (1), 44-54",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16370608174426984407,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=StOBA0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=StOBA0AAAAAJ:W5xh706n7nkC
StOBA0AAAAAJ,2,Surface interaction and inhibition mechanisms of hydrazide derivatives on N80 steel in acidizing media: A comprehensive analysis through experimental and theoretical methods,"B El-Haitout, H Lgaz, MR Al-Hadeethi, HS Lee, RJ Adnin, M Messali, ...","Chemical Physics Letters 834, 140980",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3867745925045490471,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=StOBA0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=StOBA0AAAAAJ:7T2F9Uy0os0C
StOBA0AAAAAJ,3,Facile synthesis of NiMn2O4/ZnMn2O4 heterostructure nanocomposite for visible-light-driven degradation of methylene blue dye,"KF Fawy, MF Ashiq, FF Alharbi, S Manzoor, MU Nisa, M Ibrahim, ...","Journal of Taibah University for Science 18 (1), 2302656",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1206450226415588212,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=StOBA0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=StOBA0AAAAAJ:tzM49s52ZIMC
StOBA0AAAAAJ,4,Indolin-2-one derivatives as corrosion inhibitors: Structural insights and evaluation through experimental and computational techniques,"AA Mansour, H Lgaz, AEA Allah, JM Jang, M Messali, L Bazzi, H Lee, ...","Journal of Molecular Structure 1303, 137592",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18381427577214031462,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=StOBA0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=StOBA0AAAAAJ:_Re3VWB3Y0AC
StOBA0AAAAAJ,5,Investigating corrosion failure in N80 carbon Steel: Experimental and theoretical insights into isonicotinohydrazide derivatives as inhibitors in acidic conditions,"AA Mansour, K Subbiah, H Lgaz, MR Al-Hadeethi, M Messali, T Park, ...","Inorganic Chemistry Communications 161, 112007",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1466465377863816485,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=StOBA0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=StOBA0AAAAAJ:ZfRJV9d4-WMC
StOBA0AAAAAJ,6,Comprehensive analysis of a thiazole-substituted corrosion inhibitor's impact on N80 carbon steel in acidic conditions: Integrating computational predictions with experimental …,"AA Mansour, H Lgaz, AEA Allah, Y Ramli, M Messali, H Lee, L Bazzi, ...","Materials Chemistry and Physics 320, 129405",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
StOBA0AAAAAJ,7,Surface interaction and inhibition mechanisms of hydrazide derivatives on N80 steel in acidizing media: A comprehensive analysis through experimental and theoretical methods …,"B El-Haitout, H Lgaz, MR AlHadeethi, HS Lee, RJ Adnin, M Messali, ...","Chemical Physics Letters 837, 1-1",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
StOBA0AAAAAJ,8,Towards a deeper understanding of the coordination chemistry in pyridinium-based ionic liquids-iron systems: Insights from quantum chemical and semi-empirical investigations,"M Messali, H Lgaz, SM Almutairi, R Salghi","Inorganic Chemistry Communications 159, 111762",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
StOBA0AAAAAJ,9,"A detailed electronic-scale DFT modeling/MD simulation, electrochemical and surface morphological explorations of imidazolium-based ionic liquids as sustainable and non-toxic …","MT F EL Hajjaji, E Ech-Chihbi, R Salim, A Titi, M Messali, B El Ibrahimi, S Kaya","Materials Science and Engineering: B 289, 116232",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11187327235916694331,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=StOBA0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=StOBA0AAAAAJ:WqliGbK-hY8C
StOBA0AAAAAJ,10,Insights into the corrosion inhibition performance of isonicotinohydrazide derivatives for N80 Steel in 15% HCl medium: an experimental and molecular level characterization,"A Ait Mansour, B El-Haitout, RJ Adnin, H Lgaz, R Salghi, H Lee, ...","Metals 13 (4), 797",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=815118983567267906,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=StOBA0AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=StOBA0AAAAAJ:D_sINldO8mEC
