Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
TFQZS7gAAAAJ,1,Impact of waste discharge concentration on fluid flow in inner stretched and outer stationary co-axial cylinders,"KS Albalawi, K Karthik, M Bin-Asfour, BST Alkahtani, J Madhu, I Alazman, ...","Applied Thermal Engineering 244, 122757",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18291012513925795131,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TFQZS7gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=TFQZS7gAAAAJ:KlAtU1dfN6UC
TFQZS7gAAAAJ,2,"Investigation of the intricate dynamics and a variety of hybrid soliton, solutions of the (3+ 1)-dimensional Boussinesq equation","KS Albalawi, BST Alkahtani, M ur Rahman, P Goswami","Results in Physics 56, 107266",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2512991940213714444,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TFQZS7gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=TFQZS7gAAAAJ:kNdYIx-mwKoC
TFQZS7gAAAAJ,3,"Nanoparticle aggregation kinematics and nanofluid flow in convectively heated outer stationary and inner stretched coaxial cylinders: Influenced by linear, nonlinear, and …","KS Albalawi, K Karthik, J Madhu, M Bin-Asfour, BST Alkahtani, I Alazman, ...",Modern Physics Letters B 2450361,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
TFQZS7gAAAAJ,4,Numerical Solution of Time-Fractional Emden–Fowler-Type Equations Using the Rational Homotopy Perturbation Method,"KS Albalawi, BS Alkahtani, A Kumar, P Goswami","Symmetry 15 (2), 258",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3357323791951374030,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TFQZS7gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=TFQZS7gAAAAJ:_FxGoFyzp5QC
TFQZS7gAAAAJ,5,A Restricted SIR Model with Vaccination Effect for the Epidemic Outbreaks Concerning COVID-19.,"I Alazman, KS Albalawi, P Goswami, K Malik",CMES-Computer Modeling in Engineering & Sciences 137 (3),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16852938999770247128,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TFQZS7gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=TFQZS7gAAAAJ:0EnyYjriUFMC
TFQZS7gAAAAJ,6,On the solution of generalized time-fractional telegraphic equation,"KS Albalawi, R Shokhanda, P Goswami","Applied Mathematics in Science and Engineering 31 (1), 2169685",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=634832495995461122,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TFQZS7gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=TFQZS7gAAAAJ:UebtZRa9Y70C
TFQZS7gAAAAJ,7,An Analysis of the Effects of Lifestyle Changes by Using a Fractional-Order Population Model of the Overweight/Obese Diabetic Population,"KS Albalawi, K Malik, BST Alkahtani, P Goswami","Fractal and Fractional 7 (12), 839",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
TFQZS7gAAAAJ,8,Solving General Fractional Lane-Emden-Fowler Differential Equations Using Haar Wavelet Collocation Method,"KS Albalawi, A Kumar, BS Alkahtani, P Goswami","Fractal and Fractional 7 (8), 628",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
TFQZS7gAAAAJ,9,Analytical Solution of the Local Fractional KdV Equation,"KS Albalawi, I Alazman, JG Prasad, P Goswami","Mathematics 11 (4), 882",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
TFQZS7gAAAAJ,10,Analysis of the multi-dimensional Navier–Stokes equation by Caputo fractional operator,"KS Albalawi, MN Mishra, P Goswami","Fractal and Fractional 6 (12), 743",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7580489516894852627,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TFQZS7gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=TFQZS7gAAAAJ:Se3iqnhoufwC
