Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
UwASpVMAAAAJ,1,"Synthesis, X-ray structure and anticancer activity evaluation of a binuclear La (III) complex with anthranilic acid","ASA Zidan, HK Mosbah, AAM Aly, ABM Ibrahim, P Mayer, SH Saber","Natural Product Research 38 (8), 1414-1423",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13667910279171893768,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UwASpVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UwASpVMAAAAJ:5nxA0vEk-isC
UwASpVMAAAAJ,2,"Antimony complexes with SNN thiosemicarbazones: Synthesis, structural studies and cytotoxicity against bacterial and cancer cells","ABM Ibrahim, MS Al-Fakeh, A Fathy, S Abd Elkhalik, A Villinger, ...","Journal of Molecular Structure 1313, 138704",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
UwASpVMAAAAJ,3,"Structural investigations and antibacterial, antifungal and anticancer studies on zinc salicylaldimine complexes","ABM Ibrahim, ES Williem, SA Elkhalik, A Villinger, SM Abbas",Future Medicinal Chemistry 1-10,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
UwASpVMAAAAJ,4,"La (III), Ce (III), Pr (III) and Eu (III) complexes with fenamic acid based ligands: preparation, spectral and thermal analysis and evaluation of their cytotoxicity in MDA-MB …","HK Mosbah, ABM Ibrahim, ASA Zidan, AAM Aly, SH Saber","Journal of the Iranian Chemical Society 21 (6), 1681-1689",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
UwASpVMAAAAJ,5,Ultrasound irradiation of hydrothermally engineered sub-20 nm PbS nanoparticles and effect of their size on Aspergillus species morphology,"GAE Mahmoud, ABM Ibrahim","Mendeleev Communications 34 (1), 93-96",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
UwASpVMAAAAJ,6,"New iron (III) complexes with 2-formylpyridine thiosemicarbazones: Synthetic aspects, structural and spectral analyses and cytotoxicity screening against MCF-7 human cancer cells","A Fathy, ABM Ibrahim, S Abd Elkhalik, A Villinger, SM Abbas","Heliyon 9 (1), e13008",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5223161729545335106,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UwASpVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UwASpVMAAAAJ:kNdYIx-mwKoC
UwASpVMAAAAJ,7,"(NH4) 2 [Co (H2O) 6] 2V10O28· 4H2O Vs.(NH4) 2 [Ni (H2O) 6] 2V10O28· 4H2O: Structural, Spectral and Thermal Analyses and Evaluation of Their Antibacterial Activities","AA Mamdouh, ABM Ibrahim, NEHA Reyad, TR Elsayed, IC Santos, ...","Journal of Cluster Science 34, 1535-1546",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1727164833741749672,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UwASpVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UwASpVMAAAAJ:roLk4NBRz8UC
UwASpVMAAAAJ,8,"Synthesis, Solid State Structure, and Cytotoxic Activity of a Complex Dimer of Yttrium with Anthranilic Acid against Cancer Cells","ASA Zidan, ABM Ibrahim, AAM Aly, HK Mosbah, P Mayer, SH Saber","Biological Trace Element Research 201, 4688-4696",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14002658705240547112,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UwASpVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UwASpVMAAAAJ:8k81kl-MbHgC
UwASpVMAAAAJ,9,Response to oxidative stress generation in Rhodotorula glutinis and Candida tropicalis by thallium dithiocarbamate complexes,"GAE Mahmoud, P Mayer, DA Gaber, ABM Ibrahim","Inorganic Chemistry Communications 156, 111283",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
UwASpVMAAAAJ,10,In Vitro Biological Activity of Cobalt(II) Complexes With Salicylaldimine Ligands in Microbial and Cancer Cells,"ES Williem, ABM Ibrahim, SA Elkhalik, J Marek, SM Abbas","Future Medicinal Chemistry 15 (15), 1415-1426",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
UwASpVMAAAAJ,11,"A Novel Trinuclear Nickel (II) Salicylaldimine Complex: Synthesis, Structural Characterization, Bioactivity Profile against Bacterial, Fungal and Breast Cancer Cells and …","ES Williem, A Amro, ABM Ibrahim, S Abd Elkhalik, P Mayer, SM Abbas","Crystals 13 (7), 1084",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
UwASpVMAAAAJ,12,Binuclear Cu (II) complex based on N-acetylanthranilic acid induces significant cytotoxic effect on three cancer cell lines,"AAM Aly, ASA Zidan, ABM Ibrahim, HK Mosbah, P Mayer, SH Saber","Journal of Molecular Structure 1249, 131634",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3788161521900029791,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UwASpVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UwASpVMAAAAJ:WF5omc3nYNoC
UwASpVMAAAAJ,13,"Trivalent Cobalt Complexes with NNS Tridentate Thiosemicarbazones: Preparation, Structural Study and Investigation of Antibacterial Activity and Cytotoxicity against Human …","A Fathy, ABM Ibrahim, S Abd Elkhalik, A Villinger, SM Abbas","Inorganics 10 (9), 145",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8035042849243591642,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UwASpVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UwASpVMAAAAJ:Se3iqnhoufwC
UwASpVMAAAAJ,14,"Thiosemicarbazones and Derived Antimony Complexes: Synthesis, Structural Analysis, and In Vitro Evaluation against Bacterial, Fungal, and Cancer Cells","A Fathy, ABM Ibrahim, S Abd Elkhalik, F Meurer, M Bodensteiner, ...","Inorganics 10 (10), 172",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15240769122456430534,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UwASpVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UwASpVMAAAAJ:0EnyYjriUFMC
UwASpVMAAAAJ,15,Isolation and crystal structure of the first Pr (IV) coordination polymer and the complex anti-proliferative activity evaluation against seven cancer cell lines,"AAM Aly, ABM Ibrahim, ASA Zidan, HK Mosbah, SA Atta, I Schicht, ...","Journal of Molecular Structure 1256, 132508",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17900360785581633454,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UwASpVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UwASpVMAAAAJ:_FxGoFyzp5QC
UwASpVMAAAAJ,16,Pb (II) and Hg (II) thiosemicarbazones for inhibiting the broad‐spectrum pathogen Cladosporium sphaerospermum ASU18 (MK387875) and altering its antioxidant …,"ABM Ibrahim, GAE Mahmoud, DB Cordes, AMZ Slawin","Applied Organometallic Chemistry 36 (8), e6798",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14521383029350458352,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=UwASpVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=UwASpVMAAAAJ:LkGwnXOMwfcC
