Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
VqOuI58AAAAJ,1,Tuning the optical properties and hydrophobicity of BiVO4/PVC/PVP composites as potential candidates for optoelectronics applications,"E Yousef, MKM Ali, NK Allam","Optical Materials 150, 115193",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4728848821542917723,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VqOuI58AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VqOuI58AAAAJ:V3AGJWp-ZtQC
VqOuI58AAAAJ,2,Exploring Universe acceleration through observational constraints via Hubble parameter reconstruction,"M Koussour, N Myrzakulov, MKM Ali","Journal of High Energy Astrophysics 42, 96-103",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12409701681091205743,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VqOuI58AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VqOuI58AAAAJ:kRWSkSYxWN8C
VqOuI58AAAAJ,3,Efficient photodecolorization of Congo red by CaMgO2@g-C3N4 nanocomposite,"O Aldaghri, L Alqarni, A Modwi, H Idriss, R Abumousa, MKM Ali, ...","Journal of Materials Science: Materials in Electronics 35 (7), 478",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15249780935471864672,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VqOuI58AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VqOuI58AAAAJ:mvPsJ3kp5DgC
VqOuI58AAAAJ,4,Optimized poly (methyl methacrylate)/mixed‐phase silver vanadate nanocomposites with tuned optical properties and hydrophobicity,"E Yousef, MKM Ali, NK Allam","Journal of Applied Polymer Science, e e55831",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11349876191015820428,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VqOuI58AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VqOuI58AAAAJ:wbdj-CoPYUoC
VqOuI58AAAAJ,5,"Enhanced Electronic Structure, Phase, and Morphology of a CH3NH3PbI3 Perovskite Solar Cell Using Vanadium Copper Sulfide (VCuS) Nanoparticle Treatment","EM Mkawi, FG ALmehmadi, Y Al-Hadeethi, MKM Ali, IS Roqan, ...",Journal of Inorganic and Organometallic Polymers and Materials 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VqOuI58AAAAJ,6,Characterization of Titanium Dioxide Thin Films Grown on Glass Substrate by Gasified-Thermal- Carrier-Assisted Evaporation Technique: Impact of Deposition Time,MKM Ali,": Journal of Nanoelectronics and Optoelectronics 19 (4), 356-363(8)",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VqOuI58AAAAJ,7,Exploring the photodynamic profile of laser-generated exciplex from a conjugated polymer,"O Aldaghri, A Alsadig, H Idriss, MKM Ali, MA Ibrahem, KH Ibnaouf","Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy 300, 122929",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VqOuI58AAAAJ,8,Average Glandular Dose (AGD) and Radiation Dose Optimization in Screen-Film and Digital X-ray Mammography,"II Suliman, S Mohamed, A Mahadi, E Bashier, A Farah, N Hassan, ...","Applied Sciences 13 (21), 11901",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
VqOuI58AAAAJ,9,"Effective removal of methylene blue from simulated wastewater using ZnO-chitosan nanocomposites: optimization, kinetics, and isotherm studies","ZU Zango, JO Dennis, AI Aljameel, F Usman, MKM Ali, BA Abdulkadir, ...","Molecules 27 (15), 4746",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7772197755941563310,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VqOuI58AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VqOuI58AAAAJ:SeFeTyx0c_EC
VqOuI58AAAAJ,10,Cleanup of Cd II from water media using Y2O3@ gC3N4 (YGCN) nanocomposite,"O Aldaghri, A Modwi, H Idriss, MKM Ali, KH Ibnaouf","Diamond and Related Materials 129, 109315",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12257435356913276623,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VqOuI58AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=VqOuI58AAAAJ:rO6llkc54NcC
