Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
XoYxbGcAAAAJ,1,Weighted Second Order Adams Inequality in the Whole Space ,"S Baraket, B Dridi, R Jaidane, F Mtiri","Bulletin of the Malaysian Mathematical Sciences Society 47 (4), 1-34",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,2,On Caffarelli–Kohn–Nirenberg Type Problems with a Sign-Changing Term,"S Baraket, A Ben Ghorbal, GM Figueiredo","The Journal of Geometric Analysis 34 (5), 142",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,3,Ground states of weighted 4D biharmonic equations with exponential growth,"S Baraket, B Dridi, R Jaidane, VD Rădulescu","Mathematical Methods in the Applied Sciences 47 (6), 5007-5030",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,4,"Lower Characteristic, Weakly Quasi-compact and Application","S Baraket, A Jeribi","Results in Mathematics 79 (2), 86",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,5,Ground states of biharmonic equations with logarithmic weights and critical exponential growth,"I Abid, S Baraket",Complex Variables and Elliptic Equations 1-22,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,6,Least energy nodal solutions for a weighted -Schrödinger problem involving a continuous potential under exponential growth nonlinearity,"S Baraket, B Dridi, A Grine, R Jaidane","Boundary Value Problems 2024 (1), 20",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,7,Blow-up solutions for a 4-dimensional semilinear elliptic system of Liouville type in some general cases,"S Baraket, AB Ghorbal, R Chetouane, A Grine","Boundary Value Problems 2024 (1), 21",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,8,Sign-changing solutions for a weighted Schrödinger-Kirchhoff equation with double exponential nonlinearities growth,"S Baraket, R Chetouane, R Jaidane, W Mtaouaa","Reviews in Mathematical Physics 36 (3), 2450004-657",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,9,Limiting profile of the blow-up solutions for the fourth-order nonlinear Emden-Fowler equation with a singular source.,"S Baraket, S Mahdaoui, T Ouni",Discrete & Continuous Dynamical Systems-Series S 16 (6),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15997842233501680504,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XoYxbGcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XoYxbGcAAAAJ:e5wmG9Sq2KIC
XoYxbGcAAAAJ,10,Weighted Schr¨odinger- Kirchhoff type problem in dimension 2 with non-linear double exponential growth,"S Baraket, R Jaidane","Filomat 37 (16), pp.5373-5398",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4276262475618019002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XoYxbGcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XoYxbGcAAAAJ:R3hNpaxXUhUC
XoYxbGcAAAAJ,11,On the blowing up solutions of the 4-d general q-Kuramoto-Sivashinsky equation with exponentially “dominated” nonlinearity and singular weight,"S Baraket, S Mahdaoui, T Ouni",Opuscula Mathematica 43 (1),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14403200850046044041,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XoYxbGcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XoYxbGcAAAAJ:mB3voiENLucC
XoYxbGcAAAAJ,12,Generalized lower characteristic involving measures of non-strict singularity,"S Baraket, AB Ghorbal, A Jeribi","Topological Algebra and its Applications 11 (1), 20230106",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,13,Signed and Sign-Changing Solutions for a Kirchhoff-Type Problem Involving the Weighted N-Laplacian with Critical Double Exponential Growth,"S Baraket, R Chetouane, R Jaidane",Vietnam Journal of Mathematics 1-22,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,14,NONDEGENERACY OF THE ENTIRE SOLUTION FOR THE n-LAPLACE HENON EQUATION OF LIOUVILLE TYPE,"S BARAKET, R CHETOUANE, F MTIRI","proceedings of the romanian academy series A 24 (number 3/2023), 215/220",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,15,SINGULAR LIMITING RADIAL SOLUTIONS FOR 4-DIMENSIONAL ELLIPTIC PROBLEM INVOLVING EXPONENTIALLY DOMINATED NONLINEARITY,"S BARAKET, R CHETOUANE, F MTIRI, M TRABELSI",Mathematical reports 25 (1),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
XoYxbGcAAAAJ,16,On a weighted elliptic equation of N-Kirchhoff type with double exponential growth,"I Abid, S Baraket, R Jaidane","Demonstratio Mathematica 55 (1), 634-657",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11483990954666781441,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XoYxbGcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XoYxbGcAAAAJ:hC7cP41nSMkC
XoYxbGcAAAAJ,17,Singular limit solutions for a 4-dimensional semilinear elliptic system of Liouville type,"S Baraket, I Bazarbacha, R Chetouane, A Messaoudi","Taiwanese Journal of Mathematics 24 (4), 855-909",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7697827620191197530,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XoYxbGcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=XoYxbGcAAAAJ:Se3iqnhoufwC
