Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
YKyzqjkAAAAJ,1,In silico evaluation of a new compound incorporating 4 (3H)-quinazolinone and sulfonamide as a potential inhibitor of a human carbonic anhydrase,"AM Alkaoud, AI Alakhras, MA Ibrahim, SK Alghamdi, RK Hussein","BMC chemistry 18 (1), 45",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
YKyzqjkAAAAJ,2,Photocatalytic degradation of Congo red pigment by V2O5–TiO2 nanohybrid,"H Idriss, MA Ibrahem, A Modwi","Zeitschrift für Naturforschung A 78 (1), 67-76",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13698841430301459172,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YKyzqjkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=YKyzqjkAAAAJ:fQNAKQ3IYiAC
YKyzqjkAAAAJ,3,Spectral Behavior of a Conjugated Polymer MDMO-PPV Doped with ZnO Nanoparticles: Thin Films,"BB Abdelaziz, N Mustapha, IM Bedja, O Aldaghri, H Idriss, M Ibrahem, ...","Nanomaterials 13 (17), 2405",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18024739928627468660,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YKyzqjkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=YKyzqjkAAAAJ:eflP2zaiRacC
YKyzqjkAAAAJ,4,Exploring the photodynamic profile of laser-generated exciplex from a conjugated polymer,"O Aldaghri, A Alsadig, H Idriss, MKM Ali, MA Ibrahem, KH Ibnaouf","Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy 300, 122929",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
YKyzqjkAAAAJ,5,Average Glandular Dose (AGD) and Radiation Dose Optimization in Screen-Film and Digital X-ray Mammography,"II Suliman, S Mohamed, A Mahadi, E Bashier, A Farah, N Hassan, ...","Applied Sciences 13 (21), 11901",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
YKyzqjkAAAAJ,6,"DFT, ADMET and Molecular Docking Investigations for the Antimicrobial Activity of 6, 6′-Diamino-1, 1′, 3, 3′-tetramethyl-5, 5′-(4-chlorobenzylidene) bis [pyrimidine-2, 4 …","NT El-Shamy, AM Alkaoud, RK Hussein, MA Ibrahim, AG Alhamzani, ...","Molecules 27 (3), 620",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2036815250899011319,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YKyzqjkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=YKyzqjkAAAAJ:B3FOqHPlNUQC
YKyzqjkAAAAJ,7,Substantial proton ion conduction in methylcellulose/pectin/ammonium chloride based solid nanocomposite polymer electrolytes: Effect of ZnO nanofiller,"JO Dennis, AA Adam, MKM Ali, H Soleimani, MFBA Shukur, KH Ibnaouf, ...","Membranes 12 (7), 706",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11942211475509088771,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YKyzqjkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=YKyzqjkAAAAJ:5Ul4iDaHHb8C
YKyzqjkAAAAJ,8,Innovative methylcellulose-polyvinyl pyrrolidone-based solid polymer electrolytes impregnated with potassium salt: ion conduction and thermal properties,"AA Adam, MKM Ali, JO Dennis, H Soleimani, MFBA Shukur, KH Ibnaouf, ...","Polymers 14 (15), 3055",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1620715073127125348,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YKyzqjkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=YKyzqjkAAAAJ:LPZeul_q3PIC
YKyzqjkAAAAJ,9,Photoconversion efficiency of In2S3/ZnO core-shell heterostructures nanorod arrays deposited via controlled SILAR cycles,"MR Almamari, NM Ahmed, AM Holi, FK Yam, MZ Al-Abri, MA Almessiere, ...",Heliyon 8 (7),2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5073865841839694605,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YKyzqjkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=YKyzqjkAAAAJ:8AbLer7MMksC
YKyzqjkAAAAJ,10,On the Absorption and Photoluminescence Properties of Pure ZnSe and Co-Doped ZnSe:Eu3+/Yb3+ Crystals,"B Abbasgholi-NA, OA Aldaghri, KH Ibnouf, N Madkhali, H Cabrera","Applied Sciences 12 (9), 4248",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17658060579819267614,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YKyzqjkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=YKyzqjkAAAAJ:eJXPG6dFmWUC
YKyzqjkAAAAJ,11,The Odd Inverse Pareto-Moyal Distribution,"M Ibrahem, M M Nassar, N L Bassily, M Abdel-Aziz","Journal of Statistics Applications & Probability 10 (3), 847-864",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
