Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Yspcb04AAAAJ,1,"Machine learning-based network intrusion detection for big and imbalanced data using oversampling, stacking feature embedding and feature extraction","MA Talukder, MM Islam, MA Uddin, KF Hasan, S Sharmin, SA Alyami, ...","Journal of big data 11 (1), 33",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1038435818344469521,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:rO6llkc54NcC
Yspcb04AAAAJ,2,Estimation methods based on ranked set sampling for the arctan uniform distribution with application,"SA Alyami, AS Hassan, I Elbatal, N Alotaibi, AM Gemeay, M Elgarhy","AIMS Mathematics 9 (4), 10304-10332",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16286018626097243313,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:fPk4N6BV_jEC
Yspcb04AAAAJ,3,Bivariate step-stress accelerated life test for a new three-parameter model under progressive censored schemes with application in medical,"N Alotaibi, AS Al-Moisheer, I Elbatal, SA Alyami, AM Gemeay, ...","AIMS Mathematics 9 (2), 3521-3558",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8835104817399280644,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:3s1wT3WcHBgC
Yspcb04AAAAJ,4,Utilizing Bayesian inference in accelerated testing models under constant stress via ordered ranked set sampling and hybrid censoring with practical validation,"AF Hashem, N Alotaibi, SA Alyami, MA Abdelkawy, MAA Elgawad, ...","Scientific Reports 14 (1), 14406",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Yspcb04AAAAJ,5,FaceEngine: A Tracking-Based Framework for Real-Time Face Recognition in Video Surveillance System,"A Imran, R Ahmed, MM Hasan, MHU Ahmed, AKM Azad, SA Alyami","SN Computer Science 5 (5), 609",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Yspcb04AAAAJ,6,GRU-INC: An inception-attention based approach using GRU for human activity recognition,"TR Mim, M Amatullah, S Afreen, MA Yousuf, S Uddin, SA Alyami, ...","Expert Systems with Applications 216, 119419",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11400061145340239341,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:maZDTaKrznsC
Yspcb04AAAAJ,7,SafetyMed: a novel IoMT intrusion detection system using CNN-LSTM hybridization,"N Faruqui, MA Yousuf, M Whaiduzzaman, AKM Azad, SA Alyami, P Liò, ...","Electronics 12 (17), 3541",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3377123487481413926,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:RYcK_YlVTxYC
Yspcb04AAAAJ,8,An explainable EEG-based human activity recognition model using machine-learning approach and LIME,"I Hussain, R Jany, R Boyer, AKM Azad, SA Alyami, SJ Park, MM Hasan, ...","Sensors 23 (17), 7452",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11221122903704957177,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:lSLTfruPkqcC
Yspcb04AAAAJ,9,A comparison of machine learning techniques for the detection of type-2 diabetes mellitus: Experiences from bangladesh,"MJ Uddin, MM Ahamad, MN Hoque, MAA Walid, S Aktar, N Alotaibi, ...","Information 14 (7), 376",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16659172039664971666,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:O3NaXMp0MMsC
Yspcb04AAAAJ,10,A robust and clinically applicable deep learning model for early detection of Alzheimer's,"MM Rana, MM Islam, MA Talukder, MA Uddin, S Aryal, N Alotaibi, ...","IET Image Processing 17 (14), 3959-3975",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7445189845261500107,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:70eg2SAEIzsC
Yspcb04AAAAJ,11,An integrated statistical and clinically applicable machine learning framework for the detection of autism spectrum disorder,"MJ Uddin, MM Ahamad, PK Sarker, S Aktar, N Alotaibi, SA Alyami, ...","Computers 12 (5), 92",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6144917694393042004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:NMxIlDl6LWMC
Yspcb04AAAAJ,12,Monitoring water quality metrics of ponds with IoT sensors and machine learning to predict fish species survival,"MM Islam, MA Kashem, SA Alyami, MA Moni","Microprocessors and Microsystems 102, 104930",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15304603860395159851,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:ldfaerwXgEUC
Yspcb04AAAAJ,13,FP-CNN: Fuzzy pooling-based convolutional neural network for lung ultrasound image classification with explainable AI,"MM Hasan, MM Hossain, MM Rahman, AKM Azad, SA Alyami, MA Moni","Computers in Biology and Medicine 165, 107407",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9798913822578470783,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:35N4QoGY0k4C
Yspcb04AAAAJ,14,Bayesian and non-Bayesian estimation of dynamic cumulative residual Tsallis entropy for moment exponential distribution under progressive censored type II,"SA Alyami, AS Hassan, I Elbatal, M Elgarhy, AR El-Saeed","Open Physics 21 (1), 20220264",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4132751758216947106,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:RGFaLdJalmkC
Yspcb04AAAAJ,15,Measures of extropy based on concomitants of generalized order statistics under a general framework from iterated Morgenstern family,"IA Husseiny, MA Alawady, SA Alyami, MA Abd Elgawad","Mathematics 11 (6), 1377",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11407373551822607268,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yspcb04AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Yspcb04AAAAJ:hMod-77fHWUC
