Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
ZIe45ekAAAAJ,1,"Syzygium aromaticum Bud Extracted Core–Shell Ag–Fe Bimetallic Nanoparticles: Phytotoxic, Antioxidant, Insecticidal, and Antibacterial Properties","F Murtaza, N Akhter, MA Qamar, A Yaqoob, AA Chaudhary, BR Patil, ...","Crystals 14 (6), 510",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZIe45ekAAAAJ,2,The impact of adding calcium ionomycin on the sperm capacitation medium of frozen thawed bovine spermatozoa,"M Aleissa, A Alhimaidi, R Amran, A Ammari, M Al-Ghadi, M Mubarak, ...","Journal of King Saud University-Science 36 (4), 103135",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZIe45ekAAAAJ,3,"Cytotoxic, antioxidant, antibacterial activity of phytochemicals from Phragmanthera austroarabica","MSA Alsubeie, NA Ibrahim, AA Alghamdi, NS Basher, BS Alammari, ...","Bioinformation 20 (5), 487-494",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZIe45ekAAAAJ,4,"Flucytosine Antifungal Drug in Organic-Inorganic Bismuth Chloride Material: Crystal Structure, Optical Properties, Biological Activities, and Computational Insights","SMHMYAM Hela Ferjani1 · Rim Bechaieb2,3 · Mariem Ben Jemaa4 · Nasir A ...",Journal of Cluster Science 02546-8,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZIe45ekAAAAJ,5,"Unveiling Chemical, Antioxidant and Antibacterial Properties of Fagonia indica Grown in the Hail Mountains, Saudi Arabia","AME Sulieman, E Alanaizy, NA Alanaizy, EM Abdallah, H Idriss, ZA Salih, ...","Plants 12 (6), 1354",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8218897857501071182,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZIe45ekAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZIe45ekAAAAJ:RfUwGJFMQ-0C
ZIe45ekAAAAJ,6,Seroprevalence and risk factors of brucellosis in dromedary camels (Camelus dromedarius) in Sudan from 1980 to 2020: A systematic review and meta-analysis,"A Mohammed, M Ahmed, AO Ahmed, S Yousof, S Hamad, Y Shuaib, ...","Veterinary Quarterly 3 (8), 1-32",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17302975058996197133,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZIe45ekAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZIe45ekAAAAJ:SrKkpNFED5gC
ZIe45ekAAAAJ,7,Phenotypic Characterization and Husbandry of Sudanese Native Chickens in South Kordofan State,"NAI Abdalazim Khalafalla Yahia1, Momamed Omer Elshaikh1, Mutaz Saeed Babiker2","International Journal of Life Science and Agriculture Research 2 (8), 216-224",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZIe45ekAAAAJ,8,"Nutritional, Antioxidant and Antimicrobial of the Fermented leaves of Kawal (Cassia obtusifolia) from two Sudanese Regions","FIAA Nosyba A. Ibrahim1,2, Elgasim A. Elgasim1 , Sulafa B. H. Hashim2,3 ...","Journal of Chemical and Pharmaceutical Research 15 (4), 19-32",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZIe45ekAAAAJ,9,"Association of Aquatic Weed Abundance and Water Quality, Gezira Scheme Canals, Sudan","NSB Samah O. A. Alhadari1 , Awadallah B. Dafaallah2,3*, Mohamed S. Zaroug2 ...","n, Journal of Research in Weed Science 6 (1), 10-22.",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZIe45ekAAAAJ,10,Serum leptin level in Sudanese women with unexplained infertility and its relationship with some reproductive hormones,"SNA Abdullah Abdulslam Abdullah, Musa Ahmed, Adesina Oladokun, Nasir Adam ...","World Journal of Biological Chemistry 13 (5), 83-94",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10802733598211409002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZIe45ekAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZIe45ekAAAAJ:X4-KO54GjGYC
