Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Zob_LtAAAAAJ,1,Exploring the Efficacy of Deep Learning Techniques in Detecting and Diagnosing Alzheimer’s Disease: A Comparative Study,"M Al-Zharani, SI Ansarullah, MS Al-Eissa, GM Dar, RA Alqahtani, ...","Journal of Disability Research 3 (6), 20240064",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,2,Comparative Study of Self-assembly Bioflocculant from Multiple Consortium Utilizing Peanut Hull and Wheat Bran Hydrolyte with Green Synthesized Nanoparticles on Various …,"LM Alneghery, M Al-Zharani, FA Nasr, AA Qurtam, A Bepari, P Manickam, ...",Journal of Inorganic and Organometallic Polymers and Materials 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,3,Structure-based virtual screening methods for the identification of novel phytochemical inhibitors targeting furin protease for the management of COVID-19,"P Kumar Tiwari, M Chouhan, R Mishra, S Gupta, AA Chaudhary, ...","Frontiers in Cellular and Infection Microbiology 14, 1391288",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,4,3D computer modeling of inhibitors targeting the MCF-7 breast cancer cell line,"S Zarougui, M Er-Rajy, A Faris, H Imtara, M El Fadili, AA Qurtam, FA Nasr, ...","Frontiers in Chemistry 12, 1384832",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,5,"The angiotensin II type 1 receptor mediates the induction of oxidative stress, apoptosis, and autophagy in HUVECs induced by angiotensin II","M Jalouli, T Barhoumi, M Al-Zharani, M Chahine","Journal of King Saud University-Science 36 (5), 103180",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,6,Antioxidant Effects of Whey Protein as a Dietary Supplement to Alleviate Cadmium-Induced Oxidative Stress in Male Wistar Rats,"M Al-Zharani, E Almuqri, M Mubarak, N Aljarba, H Rudayni, K Yassen","Current Research in Nutrition and Food Science Journal 12 (1), 147-156",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,7,Investigating the effect of resveratrol on apoptosis and regulation of gene expression of Caco-2 cells: Unravelling potential implications for colorectal cancer treatment,"M Al-Zharani, AA Alkahtane, NS AL-Johani, B Almutairi, N Alkeraishan, ...","Open Chemistry 22 (1), 20240012",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,8,Exogenous Melatonin Supplement Contributes as Antioxidant to Attenuate the Oxidative Stress Induced by Cadmium Toxicity in Male Wistar Rats,"MM Al-Zharani, EA Almuqri, MM Ahmed, NH Aljarba, HA Rudayni, ...","Biomedical and Biotechnology Research Journal (BBRJ) 8 (2), 218-224",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,9,"Anti-MRSA and cytotoxic activities of different solvent extracts from Artemisia herba-alba grown in Shubak, Jordan","RD Alghonmeen, SM Dmour, SAM Saghir, S Abushattal, S Alnaimat, ...","Open Veterinary Journal 14 (4), 990",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,10,The impact of adding calcium ionomycin on the sperm capacitation medium of frozen thawed bovine spermatozoa,"M Aleissa, A Alhimaidi, R Amran, A Ammari, M Al-Ghadi, M Mubarak, ...","Journal of King Saud University-Science 36 (4), 103135",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,11,Computational design and in vitro assay of lantadene-based novel inhibitors of NS3 protease of dengue virus,"S Mujwar, J Pal, M Sharma, A Tiwari, V Tiwari, M Kumar, S Verma, ...","Open Chemistry 22 (1), 20240004",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Zob_LtAAAAAJ,12,Use of Lactoferrin Supplement as an Efficient Antioxidant to Ameliorate the Effects of Mercury-induced Oxidative Stress in Male Wistar Rats,"MM Al Zharani, EA Almuqri, MM Ahmed, NH Aljarba, HA Rudayni, ...","Biomedical and Biotechnology Research Journal (BBRJ) 8 (1), 45-52",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
