Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
ZqYMdOwAAAAJ,1,Exploring Integral ϝ-Contractions with Applications to Integral Equations and Fractional BVPs,"Z Nisar, N Mehmood, A Azam, F Ali, MA Al-Kadhi","Fractal and Fractional 7 (12), 833",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZqYMdOwAAAAJ,2,A Comprehensive Study on Advancement in Hybrid Contraction and Graphical Analysis of £-Fuzzy Fixed Points with Application,"M Rashid, A Azam, F Dar, F Ali, MA Al-Kadhi","Mathematics 11 (21), 4489",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZqYMdOwAAAAJ,3,Generating Pairs for the Fischer Group Fi23,"F Ali, M Al-Kadhi","Algebra Colloquium 27 (04), 713-730",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4810674729430188452,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:Se3iqnhoufwC
ZqYMdOwAAAAJ,4,On the ranks of Fischer group  and the Baby Monster group ,"MAF Ibrahim, F Ali, MA Al-Kadhi, AM Aljouiee","International Journal of Group Theory 8 (1), 11-22",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=596450636253757205,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:ufrVoPGSRksC
ZqYMdOwAAAAJ,5,"On the generation of sporadic simple group ON by (2, 3, t) generators",MA Al-Kadhi,"International J. Alg 7, 167-176",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4246720912424453410,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:W7OEmFMy1HYC
ZqYMdOwAAAAJ,6,"On (2, 3, t)-generations for the Conway group Co2","MA Al-Kadhi, F Ali","J. Math. Stat 8 (3), 339-341",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10848261203781321644,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:UeHWp8X0CEIC
ZqYMdOwAAAAJ,7,The nilpotency class of fitting subgroups of groups with basis property,"M Alkadhi, A Al Khalaf, M Quick","International Journal of Algebra 6 (14), 697-704",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8198115388677674649,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:u-x6o8ySG0sC
ZqYMdOwAAAAJ,8,Fuzzy F-ideals in QS-algebras,MA Al-Kadhi,"Life Science Journal 9 (3), 1127-1130",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1239451457856907075,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:zYLM7Y9cAGgC
ZqYMdOwAAAAJ,9,Approximation of solutions to an abstract Cauchy problem for a system of parabolic equations,M Al-Kadhi,Numerical Analysis and Applied Mathematics ICNAAM 2012: International …,2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZqYMdOwAAAAJ,10,"RELATIONS BETWEEN SCHMIDT'S, MILLER-MORENO'S GROUPS AND GROUPS WITH BASIS PROPERTY",M Alkadhi,"Bulletin of Mathematical Sciences and Applications Online 2012, 08-01",2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZqYMdOwAAAAJ,11,Homomorphism of QS-Algebras,MA Al-Kadhi,Journal of American Science 8 (9),2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZqYMdOwAAAAJ,12,Generations for the Conway group Co3,"MA Al-Kadhi, F Ali","Int. J. Algebra 4, 1341-1353",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9167171486220923643,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:8k81kl-MbHgC
ZqYMdOwAAAAJ,13,A class of hyperbolic equations with nonlocal conditions,MA Al-kadhi,"Int. J. Math. Analysis 2 (10), 491-498",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2050359807013089307,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:d1gkVwhDpl0C
ZqYMdOwAAAAJ,14,SPORADIC SIMPLE GROUP HS,MA Al-Kadhi,"International Journal of Pure and Applied Mathematics 46 (1), 57-64",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3006838086182450617,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:YsMSGLbcyi4C
ZqYMdOwAAAAJ,15,"On (2, 3, t)-Generations for the Janko groups J1 and J2",MA Al-Kadhi,"Far East J. Math. Sci.(FJMS) 29, 379-388",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3447105464576689652,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZqYMdOwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZqYMdOwAAAAJ:2osOgNQ5qMEC
