Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
bHZBTc0AAAAJ,1,On the existence and numerical simulation of Cholera epidemic model,"K Shah, I Ahmad, Shafiullah, A Mukheimer, T Abdeljawad, MB Jeelani","Open Physics 22 (1), 20230165",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17626651336832816600,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHZBTc0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bHZBTc0AAAAJ:bEWYMUwI8FkC
bHZBTc0AAAAJ,2,A unified matrix approach to the Legendre–Sheffer and certain hybrid polynomial sequences,"SA Wani, T Nahid, K Hussain, MB Jeelani","The Journal of Analysis 32 (2), 843-867",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12959246709941781817,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHZBTc0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bHZBTc0AAAAJ:RHpTSmoSYBkC
bHZBTc0AAAAJ,3,Study of fractional variable-order lymphatic filariasis infection model,"MB Jeelani, G Alhamzi, MB Zada, M Hassan","Open Physics 22 (1), 20230206",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bHZBTc0AAAAJ,4,A new solution of the nonlinear fractional logistic differential equations utilizing efficient techniques,"AH Ganie, A Khan, G Alhamzi, AM Saeed",AIP Advances 14 (3),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bHZBTc0AAAAJ,5,Deterministic and Stochastic Nonlinear Model for Transmission Dynamics of COVID-19 with Vaccinations Following Bayesian-Type Procedure,"MB Jeelani, RU Din, G Alhamzi, M Hleili, H Alrabaiah","Mathematics 12 (11), 1662",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bHZBTc0AAAAJ,6,Analysis of fractional stochastic evolution equations by using Hilfer derivative of finite approximate controllability,"A Moumen, R Shafqat, A Alsinai, H Boulares, M Cancan, MB Jeelani","AIMS Math 8, 16094-16114",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11056803867325804288,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHZBTc0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bHZBTc0AAAAJ:qUcmZB5y_30C
bHZBTc0AAAAJ,7,Thermal Efficiency of Spherical Nanoparticles Al2O3-Cu Dispersion in Ethylene Glycol via the MHD Non-Newtonian Maxwell Fluid Model Past the Stretching …,"MB Jeelani, A Abbas","Processes 11 (10), 2842",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8876477175802609749,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHZBTc0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bHZBTc0AAAAJ:HDshCWvjkbEC
bHZBTc0AAAAJ,8,A generalized fractional order model for COV-2 with vaccination effect using real data,"MB Jeelani, AS Alnahdi, MS Abdo, MA Almalahi, NH Alharthi, K Shah","Fractals 31 (04), 2340042",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5796497260360403174,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHZBTc0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bHZBTc0AAAAJ:ZeXyd9-uunAC
bHZBTc0AAAAJ,9,STABILITY AND COMPUTATIONAL ANALYSIS OF COVID-19 USING A HIGHER ORDER GALERKIN TIME DISCRETIZATION SCHEME,MB Jeelani,"Advances and application in statistics 86 (2), Pages 167 - 206 (April-2023)",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13989395735608237031,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHZBTc0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bHZBTc0AAAAJ:IWHjjKOFINEC
bHZBTc0AAAAJ,10,Existence and uniqueness results for mixed derivative involving fractional operators,"A Al Elaiw, F Hafeez, MB Jeelani, M Awadalla, K Abuasbeh","AIMS Math 8, 7377-7393",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17075906666183543946,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bHZBTc0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bHZBTc0AAAAJ:dhFuZR0502QC
