Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
bZ0K6lQAAAAJ,1,"Study of curie temperaure, spin polarization, ferromagnetism and transport behavior of Ba2CrXO6 (X= Ta, W, Re, Os) for spintronic","G Nazir, Q Mahmood, A Rehman, AS Alofi, H Albalawi, T Zelai, O Hakami, ...","Journal of Physics and Chemistry of Solids 184, 111740",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15646603928865211726,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:7PzlFSSx8tAC
bZ0K6lQAAAAJ,2,"Investigation of optoelectronic and thermoelectric properties of novel BaCd2X2 (X= P, As, Sb) Zintl-phase for energy harvesting applications","AI Aljameel, GM Mustafa, B Younas, HD Alkhaldi, F Alhajri, GI Ameereh, ...","Journal of Physics and Chemistry of Solids 189, 111953",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17299298486306280077,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:IWHjjKOFINEC
bZ0K6lQAAAAJ,3,"Role of 4d electrons in room temperature ferromagnetism, and thermoelectric properties of Sr2CrXO6 (X= Nb, Mo) for spintronic applications","M Amin, AS Alofi, TM Al-Daraghmeh, O Zayed, M mana Al-Anazy, ...","Materials Chemistry and Physics 312, 128643",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9871060342607957714,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:L8Ckcad2t8MC
bZ0K6lQAAAAJ,4,First principle investigation of half metallic ferromagnetism and thermoelectric behavior of MgSm2 (S/Se) 4 spinels for spintronic and energy harvesting applications,"GM Mustafa, HD Alkhaldi, S Saba, A Almeshal, AS Alofi, ...","Chinese Journal of Physics 89, 1624-1632",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11004523072165949957,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:-f6ydRqryjwC
bZ0K6lQAAAAJ,5,Synthesis and characterization of Cu-Doped ZnO nanostructures for UV sensing application,"K Al-Heuseen, AI Aljameel, RK Hussein","BMC chemistry 18 (1), 32",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bZ0K6lQAAAAJ,6,The Effect of Conjugated Nitrile Structures as Acceptor Moieties on the Photovoltaic Properties of Dye-Sensitized Solar Cells: DFT and TD-DFT Investigation,"MJ Tommalieh, AI Aljameel, RK Hussein, K Al-heuseen, SK Alghamdi, ...","International Journal of Molecular Sciences 25 (13), 7138",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bZ0K6lQAAAAJ,7,"Modification of band gaps by changing anions to optimize the double perovskites K2NaTlX6 (X= Cl, Br, I) for solar cells and transport applications","A Mera, A Almeshal, SA Rouf, T Zelai, AI Aljameel, O Hakami, ...","Chemical Physics Letters 829, 140754",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12813374103748142761,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:dhFuZR0502QC
bZ0K6lQAAAAJ,8,"The narrow band bap double perovskites X2CuInCl6 (X= K, Rb, Cs) for optoelectronics, and thermoelectric applications","MGB Ashiq, Q Mahmood, T Zelai, O Hakami, NA Kattan, H Albalawi, ...","Materials Science and Engineering: B 296, 116690",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=927593234536399992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:mVmsd5A6BfQC
bZ0K6lQAAAAJ,9,"Experimental and computational study of binary transition metal oxides NaNi1/2 X1/2 O2 (X= Cr, Fe, Co and Cu) for energy storage applications","S Tahir, G Murtaza, H Alhummiany, M Hassan, H Albalawi, AI Aljameel, ...","Materials Chemistry and Physics 306, 128093",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7426517327665502981,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:Wp0gIr-vW9MC
bZ0K6lQAAAAJ,10,Study of spin control on half metallic ferromagnetism and thermoelectric properties of MgEu2 (S/Se) 4 for spintronic and energy harvesting devices,"Q Mahmood, S Tahir, H Albalawi, T Zelai, O Hakami, S Al-Qaisi, ...","Journal of Physics and Chemistry of Solids 182, 111584",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9222237791262941633,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:9ZlFYXVOiuMC
bZ0K6lQAAAAJ,11,"Study of optical, thermoelectric and mechanical properties of cerium based perovskites CePO3 (P= be, Ca, Mg)","K Ismail, G Murtaza, NA Kattan, HH Raza, AI Aljameel, Q Mahmood","Physica B: Condensed Matter 667, 415208",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1007552587627363839,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:QIV2ME_5wuYC
bZ0K6lQAAAAJ,12,"First-principles study of lead-free double perovskites Ga2PdX6 (X= Cl, Br, and I) for solar cells and renewable energy","T Zelai, SA Rouf, Q Mahmood, S Bouzgarrou, MA Amin, AI Aljameel, ...","Journal of Materials Research and Technology 16, 631-639",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=160194502144363514,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:0EnyYjriUFMC
bZ0K6lQAAAAJ,13,"Study of new lead-free double perovskites halides Tl2TiX6 (X= Cl, Br, I) for solar cells and renewable energy devices","Q Mahmood, G Nazir, S Bouzgarrou, AI Aljameel, A Rehman, H Albalawi, ...","Journal of Solid State Chemistry 308, 122887",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18303343016187989109,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:8k81kl-MbHgC
bZ0K6lQAAAAJ,14,"Effective removal of methylene blue from simulated wastewater using ZnO-chitosan nanocomposites: optimization, kinetics, and isotherm studies","ZU Zango, JO Dennis, AI Aljameel, F Usman, MKM Ali, BA Abdulkadir, ...","Molecules 27 (15), 4746",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7772197755941563310,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:M3ejUd6NZC8C
bZ0K6lQAAAAJ,15,"First principle study of optoelectronic and mechanical properties of lead-free double perovskites Cs2SeX6 (X = Cl, Br, I)","TI Al-Muhimeed, AI Aljameel, A Mera, S Saad, G Nazir, H Albalawi, ...","Journal of Taibah University for Science 16 (1), 155-162",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1839580429730545559,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:kNdYIx-mwKoC
bZ0K6lQAAAAJ,16,"Impact of 5d electrons on half metallic ferromagnetism, and thermoelectric properties of Cs2Z (Cl/Br) 6 (Z= Os, Ir) for spintronic applications","Q Mahmood, G Nazir, A Rahim, J Alzahrani, AI Aljameel, G Murtaza, ...","Materials Chemistry and Physics 288, 126414",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17447770129376245711,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:_kc_bZDykSQC
bZ0K6lQAAAAJ,17,Study of new double perovskite halides Rb2Ti (Cl/Br) 6 for solar cells and thermoelectric applications,"H Albalawi, BU Haq, G Nazir, T Ghrib, NA Kattan, Q Mahmood, ...","Materials Today Communications 32, 104106",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10476680880422405200,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:qxL8FJ1GzNcC
bZ0K6lQAAAAJ,18,"First principles study of electronic, optical, and thermoelectric properties of K2Pd (Cl/Br) 6 for solar cells and renewable energy","Q Mahmood, T Zelai, G Nazir, H Albalawi, AI Aljameel, I Aslam, ...","Physica Scripta 97 (3), 035803",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10633452659377156539,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:MXK_kJrjxJIC
bZ0K6lQAAAAJ,19,pH sensor based on AuNPs/ITO membrane as extended gate field-effect transistor,"SK Alsaee, NM Ahmed, E Mzwd, AF Omar, AI Aljameel, N Afzal, IA Razak, ...","Applied Physics B 128 (1), 3",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16201848933520558190,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:YsMSGLbcyi4C
bZ0K6lQAAAAJ,20,The Mechanism of Charge Flow and Electric Current in Porous GaN Thin Films during Photo Electrochemical Etching,AIAMKA K. Al-Heuseen,"International Journal of Thin Films Science and Technology 11 (11, No. 1 …",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11999483030738932633,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:ULOm3_A8WrAC
bZ0K6lQAAAAJ,21,"DFT Study of 4-Acetamido-N-(3-amino-1, 2, 4-triazol-1-yl) Benzene Sulfonamide and its Potential Application as Copper Corrosion Inhibitor",AI Aljameel,"International Journal of Electrochemical Science 17 (5), 220524",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8632607816415777954,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:Zph67rFs4hoC
bZ0K6lQAAAAJ,22,Towards Urban Sustainability: Developing Noise Prediction Model in an Informal Setting,"MU Mohammed, MM Badamasi, F Usman, ZU Zango, JO Dennis, ...","Applied Sciences 12 (18), 9071",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4071031374456441486,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:aqlVkmm33-oC
bZ0K6lQAAAAJ,23,"Synthesis, Crystal Structures, and Nonlinear Optical Properties of Chalcone Doped by Titanium Dioxide Nanoparticles for Solar Cell Application","MKM Ali, AO Elzupir, AI Aljameel, KH Ibnaouf","Journal of Nanoelectronics and Optoelectronics 17 (9), 1308-1314",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11020799914380991864,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:4DMP91E08xMC
bZ0K6lQAAAAJ,24,First-principles study of lead-free double perovskites K2Pt (Cl/Br) 6 for optoelectronic and renewable energy applications,"Q Mahmood, T Zelai, T Usman, S Al-Qaisi, M Morsi, H Albalawi, ...","Journal of Solid State Chemistry 301, 122294",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12657116180399953564,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:ufrVoPGSRksC
bZ0K6lQAAAAJ,25,New lead-free double perovskites (Rb2GeCl/Br) 6; a promising materials for renewable energy applications,"AA AlObaid, SA Rouf, TI Al-Muhimeed, AI Aljameel, S Bouzgarrou, ...","Materials Chemistry and Physics 271, 124876",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9779970881910530414,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:WF5omc3nYNoC
bZ0K6lQAAAAJ,26,Plasmonic biosensors for the detection of lung cancer biomarkers: A review,"F Usman, JO Dennis, AI Aljameel, MKM Ali, O Aldaghri, KH Ibnaouf, ...","Chemosensors 9 (11), 326",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6684501148661483867,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:5nxA0vEk-isC
bZ0K6lQAAAAJ,27,"First principle study of optoelectronic and thermoelectric properties of magnesium based MgX2O4 (X= Sb, Bi) spinels","M mana Al-anazy, T Zelai, A Rahim, AA AlObaid, TI Al-Muhimeed, ...","Journal of Solid State Chemistry 303, 122480",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16926389929521763805,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bZ0K6lQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bZ0K6lQAAAAJ:_FxGoFyzp5QC
