Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
bk-les8AAAAJ,1,Chen–Ricci Inequality for Isotropic Submanifolds in Locally Metallic Product Space Forms,"Y Li, MA Khan, MD Aquib, I Al-Dayel, MZ Youssef","Axioms 13 (3), 183",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8025672009247846664,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:pAkWuXOU-OoC
bk-les8AAAAJ,2,Solitonic effect on relativistic string cloud spacetime attached with strange quark matter,"Y Li, MD Siddiqi, MA Khan, I Al-Dayel, M Zakaria","context 14, 16",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15565597391958700441,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:WAzi4Gm8nLoC
bk-les8AAAAJ,3,Generalized viscoelastic flow with thermal radiations and chemical reactions,"MS Anwar, MM Alam, MA Khan, AS Abouzied, Z Hussain, V Puneeth","Geoenergy Science and Engineering 232, 212442",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=153750345265566229,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:QyXJ3EUuO1IC
bk-les8AAAAJ,4,Unveiling complexity: Exploring chaos and solitons in modified nonlinear Schrödinger equation,"P Wang, F Yin, M ur Rahman, MA Khan, D Baleanu","Results in Physics 56, 107268",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9806294766147776714,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:jE2MZjpN3IcC
bk-les8AAAAJ,5,Exploration of optical solitons of a hyperbolic nonlinear Schrödinger equation,"S Ahmad, S Ahmad, MA Khan, A Ullah","Optical and Quantum Electronics 56 (1), 2",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7451496531720228406,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:KaMxkj08jr0C
bk-les8AAAAJ,6,"On possible traversable wormhole solutions supported by Karmarkar condition in R2− gravity within the f (R, T)− formalism","A Errehymy, SK Maurya, GE Vîlcu, MA Khan, M Daoud","Astroparticle Physics 160, 102972",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=590817720161173576,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:mUJArPsKIAAC
bk-les8AAAAJ,7,Some new optical solitary waves solutions of a third order dispersive Schrodinger equation with Kerr nonlinearity using an efficient approach associated with Riccati equation,"MU Rahman, TA Assiri, S Saifullah, MA Khan, M Sun",OPTICAL AND QUANTUM ELECTRONICS 56 (4),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2322954137932742867,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:KNjnJ3z-R6IC
bk-les8AAAAJ,8,Some new optical solitary waves solutions of a third order dispersive Schrödinger equation with Kerr nonlinearity using an efficient approach associated with Riccati equation,"M ur Rahman, TA Assiri, S Saifullah, MA Khan, M Sun","Optical and Quantum Electronics 56 (4), 646",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7237074494179789226,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:kWvqk_afx_IC
bk-les8AAAAJ,9,Topological analysis of tetracyanobenzene metal–organic framework,"I Al-Dayel, MF Nadeem, MA Khan","Scientific Reports 14 (1), 1789",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7069270466267804917,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:sszUF3NjhM4C
bk-les8AAAAJ,10,Analyzing optical solitons in the generalized unstable NLSE in dispersive media,"S Ahmad, SF Aldosary, MA Khan, M ur Rahman, F Alsharif, S Ahmad","Optik 307, 171830",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1959298932703002450,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:YsrPvlHIBpEC
bk-les8AAAAJ,11,Stochastic solitons of a short-wave intermediate dispersive variable (SIdV) equation,"S Ahmad, SF Aldosary, MA Khan","AIMS Math. 9 (5), 10717-10733",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=52826250776544951,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:w0F2JDEymm0C
bk-les8AAAAJ,12,"Complex dynamics, sensitivity analysis and soliton solutions in the (2+ 1)-dimensional nonlinear Zoomeron model","L Yang, M ur Rahman, MA Khan","Results in Physics 56, 107261",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=336491485629236266,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:1Ye0OR6EYb4C
bk-les8AAAAJ,13,Statistical Warped Products and Their Generalizations in Holomorphic Statistical Manifolds,"AN Siddiqui, I Al-Dayel, MA Khan, K Masood",Iranian Journal of Science 1-12,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8672848401721846229,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:EPG8bYD4jVwC
bk-les8AAAAJ,14,Abundant new optical solitary waves of paraxial wave dynamical model with kerr media via new extended direct algebraic method,"S Yasin, MA Khan, S Ahmad, SF Aldosary","Optical and Quantum Electronics 56 (6), 925",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1649343722866165034,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:raTqNPD5sRQC
bk-les8AAAAJ,15,N (κ)-paracontact metric manifolds admitting the Fischer-Marsden conjecture,"SK Chaubey, MA Khan, ASR Al Kaabi","AIMS Math 9 (1), 2232-2243",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15065844333250071866,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:HGTzPopzzJcC
bk-les8AAAAJ,16,Rational solutions and some interactions phenomena of a (3+ 1)-dimensional BLMP equation in incompressible fluids: A Hirota bilinear method and dimensionally reduction approach,"M ur Rahman, M Alqudah, MA Khan, BEH Ali, S Ahmad, EE Mahmoud, ...","Results in Physics 56, 107269",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8057731095092158627,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bk-les8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bk-les8AAAAJ:-7ulzOJl1JYC
bk-les8AAAAJ,17,Optical solitary waves solutions of the eight-order dispersive Schrödinger wave equation,"S Ali, MA Khan, A Ullah, SF Aldosary, M ur Rahman, S Ahmad","Optical and Quantum Electronics 56 (7), 1218",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
