Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
cAuYIu8AAAAJ,1,Cellulose Sulfate Nanofibers for Enhanced Ammonium Removal,"KI Johnson, W Borges, PR Sharma, SK Sharma, HY Chang, ...","Nanomaterials 14 (6), 507",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17956503160852061588,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cAuYIu8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cAuYIu8AAAAJ:bEWYMUwI8FkC
cAuYIu8AAAAJ,2,Isolation of a new flavonoid from Prasium majus L. with evaluation of its potential biological activities,"MA Al-Qudah, WA Al-Zereini, HI Al-Jaber, AG Alhamzani, TT Bataineh, ...",Natural Product Research 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cAuYIu8AAAAJ,3,Voltametric Sensor Based on Magnetic Chitosan Acetylindole-Based Nanocomposite for the Determination of Sulfamethazine,"M Abd-Elsabour, MM Abou-Krisha, AG Alhamzani, AN Alotaibi, TA Yousef","ACS omega 9 (15), 17323-17333",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cAuYIu8AAAAJ,4,Aluminum-Crosslinked Nanocellulose Scaffolds for Fluoride Removal,"BSH Ken I. Johnson, Sunil K. Sharma, Priyanka R. Sharma, Abdulrahman G ...","Nanomaterials 14 (12), 1032",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cAuYIu8AAAAJ,5,"Spectroscopic characterization (IR, UV-Vis), and HOMO-LUMO, MEP, NLO, NBO analysis and the antifungal activity for 4-bromo-N-(2-nitrophenyl) benzamide; using DFT modeling and …","SK Alghamdi, F Abbas, RK Hussein, AG Alhamzani, NT El‐Shamy","Journal of Molecular Structure 1271, 134001",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12745872869854586041,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cAuYIu8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cAuYIu8AAAAJ:qxL8FJ1GzNcC
cAuYIu8AAAAJ,6,Synthesis and in Silico Investigation of Organoselenium-Clubbed Schiff Bases as Potential Mpro Inhibitors for the SARS-CoV-2 Replication,"S Shaaban, A Abdou, AG Alhamzani, MM Abou-Krisha, MA Al-Qudah, ...","Life 13 (4), 912",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16855422149280871680,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cAuYIu8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cAuYIu8AAAAJ:HDshCWvjkbEC
cAuYIu8AAAAJ,7,A Comparative Study of Mechanism and Performance of Anionic and Cationic Dialdehyde Nanocelluloses for Dye Adsorption and Separation,"X Huang, P Hadi, R Joshi, A Alhamzani, B Hsiao",ACS Omega 8 (8),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2736793028517709536,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cAuYIu8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cAuYIu8AAAAJ:IWHjjKOFINEC
cAuYIu8AAAAJ,8,Experimental and theoretical examinations of triazole linked saccharin derivatives as organic corrosion inhibitors for mild steel in hydrochloric acid,"TA Yousef, AG Alhamzani, MM Abou-Krisha, CBP Kumar, MS Raghu, ...","Journal of Molecular Structure 1275, 134603",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13457704997748045931,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cAuYIu8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cAuYIu8AAAAJ:9ZlFYXVOiuMC
cAuYIu8AAAAJ,9,Fabrication of layered In2S3/WS2 heterostructure for enhanced and efficient photocatalytic CO2 reduction and various paraben degradation in water,"MSR Abdulrahman G. Alhamzani, Tarek A. Yousef, Mortaga. M. Abou-Krisha, K ...",Chemosphere 322,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13730694869815375674,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cAuYIu8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cAuYIu8AAAAJ:ZeXyd9-uunAC
cAuYIu8AAAAJ,10,"Synthesis, molecular docking study and anticancer activity of novel 1, 3, 4-oxadiazole derivatives as potential tubulin inhibitors","TA Yousef, AG Alhamzani, MM Abou-Krisha, G Kanthimathi, MS Raghu, ...",Heliyon 9 (2),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16382549007297387861,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cAuYIu8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cAuYIu8AAAAJ:L8Ckcad2t8MC
