Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
dd5twMIAAAAJ,1,On step-stress partially accelerated life testing with competing risks under progressive type-II censoring,"SOA El-Azeem, MH Abu-Moussa, MMM El-Din, LS Diab","Annals of Data Science 11 (3), 909-930",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5040840545893685202,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dd5twMIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dd5twMIAAAAJ:qxL8FJ1GzNcC
dd5twMIAAAAJ,2,"A new losses (revenues) probability model with entropy analysis, applications and case studies for value-at-risk modeling and mean of order-P analysis","I Elbatal, LS Diab, AB Ghorbal, HM Yousof, M Elgarhy, EIA Ali","AIMS Mathematics 9 (3), 7169-7211",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18434109651357947279,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dd5twMIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dd5twMIAAAAJ:R3hNpaxXUhUC
dd5twMIAAAAJ,3,Advancing estimation techniques and their applications in engineering and medical data analysis through novel continuous and discrete linear failure rate distribution extension,"I Elbatal, M Elgarhy, SM Almarzouki, LS Diab, AB Ghorbal, EM Almetwally","Journal of Radiation Research and Applied Sciences 17 (3), 101006",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
dd5twMIAAAAJ,4,"Statistical analysis of the inverse power Zeghdoudi model: Estimation, simulation and modeling to engineering and environmental data","I Elbatal, AS Hassan, AM Gemeay, LS Diab, AB Ghorbal, M Elgarhy","Physica Scripta 99 (6), 065231",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
dd5twMIAAAAJ,5,CONCOMITANTS FOR CASE-I OF GENERALIZED ORDER STATISTICS AND ITS DUAL FROM LAI AND XIE EXTENSIONS.,"A Gamal, LS Diab, MS Mohamed",Pakistan Journal of Statistics 40 (1),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
dd5twMIAAAAJ,6,Reliability Analysis and Its Applications for a Newly Improved Type-II Adaptive Progressive Alpha Power Exponential Censored Sample,"LSGDAE Ibrahim Elbatal , Mazen Nassar , Anis Ben Ghorbal","symmetry 15 (2137), 1:28",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4556313980035791279,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dd5twMIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dd5twMIAAAAJ:mB3voiENLucC
dd5twMIAAAAJ,7,APKOWL: An Automatic Approach to Enhance the Malware Detection,"D Aboshady, NE Ghannam, EK Elsayed, LS Diab",Mobile Networks and Applications 1-12,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1152823372274376767,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dd5twMIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dd5twMIAAAAJ:3fE2CSJIrl8C
dd5twMIAAAAJ,8,Stress–Strength Reliability Analysis for Different Distributions Using Progressive Type-II Censoring with Binomial Removal,"I Elbatal, AS Hassan, LS Diab, A Ben Ghorbal, M Elgarhy, AR El-Saeed","Axioms 12 (11), 1054",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
dd5twMIAAAAJ,9,VIBRATIONS REDUCTION OF A CLAMPED-CLAMPED MICRO-BEAM VIA POSITIVE POSITION FEEDBACK CONTROLLER,"H Mosaa, M Kamel, H El Gohry, LS Diab, HM Shawky","Al-Azhar Bulletin of Science 34 (1), 4",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
dd5twMIAAAAJ,10,The malware detection approach in the design of mobile applications,"D Aboshady, N Ghannam, E Elsayed, L Diab","Symmetry 14 (5), 839",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8025700566615208763,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dd5twMIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dd5twMIAAAAJ:hC7cP41nSMkC
