Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
dqycf7AAAAAJ,1,A novel iterative scheme for solving delay differential equations and third order boundary value problems via Green’s functions,"GA Okeke, AV Udo, RT Alqahtani, M Kaplan, WE Ahmed","AIMS Math 9, 6468-6498",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4663149218479217809,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dqycf7AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dqycf7AAAAAJ:eQOLeE2rZwMC
dqycf7AAAAAJ,2,On the dynamics of the complex hirota-dynamical model,"A Akbulut, M Kaplan, RT Alqahtani, WE Ahmed","Mathematics 11 (23), 4851",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14528260587453125177,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dqycf7AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dqycf7AAAAAJ:YsMSGLbcyi4C
dqycf7AAAAAJ,3,Solving Fractional Generalized Fisher–Kolmogorov–Petrovsky–Piskunov’s Equation Using Compact-Finite Different Methods Together with Spectral Collocation Algorithms,"WEA Maged Z. Youssef, M. M. Khader, Ibrahim Al-Dayel","Journal of Mathematics 2022 (Volume 2022), 9",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18303177667202900915,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dqycf7AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dqycf7AAAAAJ:Tyk-4Ss8FVUC
dqycf7AAAAAJ,4,New Formula for Computing Quaternion Powers,WE Ahmed,"Applied Mathematics 13 (03), 282-294",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
dqycf7AAAAAJ,5,Powers of Octonions,WE Ahmed,"Applied Mathematics 2021, 75 - 94",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
dqycf7AAAAAJ,6,Ninety-Six Distinct Real Matrices for Representing a Quaternion Number,WE Ahmed,"Journal of Mathematics 2020 (Article ID  2412491), 10 pages",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15194622897903912601,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dqycf7AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dqycf7AAAAAJ:IjCSPb-OGe4C
dqycf7AAAAAJ,7,On Rijndael ByteSub Transformation,WE Ahmed,"Applied Mathematics 10 (3), 113-118",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16455508177470314621,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dqycf7AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dqycf7AAAAAJ:9yKSN-GCB0IC
dqycf7AAAAAJ,8,Some Techniques to Compute Multiplicative Inverses for Advanced Encryption Standard,WE Ahmed,"Journal of Advances in Mathematics 16, 8208-8212",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5090123818797820195,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dqycf7AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dqycf7AAAAAJ:u-x6o8ySG0sC
dqycf7AAAAAJ,9,A Modern Method for Constructing the S-Box of Advanced Encryption Standard,WE Ahmed,"Applied Mathematics 10 (4), 234-244",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17138141192391636524,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dqycf7AAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=dqycf7AAAAAJ:2osOgNQ5qMEC
dqycf7AAAAAJ,10,H test for exclusion: A guide to an intervention approach to lessen the risk of aflatoxin‐contaminated foods in sorely contaminated regions,"AO Elzupir, WE Ahmed","Journal of Food Safety 39 (6), e12692",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
dqycf7AAAAAJ,11,A way to compute a greatest common divisor in the Galois field (𝐆𝐅 (𝟐𝒏)),WE Ahmed,Journal of Advances in Mathematics 2019 (Volume 16),2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
