Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
fFteX-QAAAAJ,1,"Effect of Cr substitution on structural, magnetic, magnetocaloric and critical behaviors of La0. 7Y0. 05Ba0. 25MnO3 perovskite manganite","S Mnefgui, S Hcini, A Guedri, I Ghiloufi, R Charguia, A Mimouni, A Dhahri, ...","Journal of Solid State Chemistry 330, 124481",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11914084301479780015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:hC7cP41nSMkC
fFteX-QAAAAJ,2,Investigating the impact of calcination temperature on the structural and optical properties of chromium-substituted Mg–Co ferrite nanoparticles,"M Chebbi, S Mansouri, S Hcini, I Ghiloufi, A Mimouni, L El Mir","Journal of Molecular Structure 1295, 136740",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6997304455059795550,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:L8Ckcad2t8MC
fFteX-QAAAAJ,3,"The Influence of Calcination Temperature on Structural, Optical, and Impedance Spectroscopy Properties of Mixed Ni0.4Cd0.3Co0.3Fe2O4 Spinel Ferrites …","N Missaoui, F Hcini, O Amorri, S Hcini, I Ghiloufi, J Dhahri, HA Alsalmah, ...","Journal of Inorganic and Organometallic Polymers and Materials 34 (2), 622-639",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fFteX-QAAAAJ,4,Resistive switching behavior in ZnO: Ca thin films deposited by a pulsed laser deposition technique,"IH Mejri, K Omri, I Ghiloufi, JPB Silva, MJM Gomes, L El Mir","Applied Physics A 129 (3), 210",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18302885229984206234,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:QIV2ME_5wuYC
fFteX-QAAAAJ,5,"Studies of the microstructural, magnetic, electrical, and dielectric properties of Mg0. 6T0. 4Cr2O4 (T= Ni, Cu) spinel chromites for magnetic, high frequency, and microwave …","D Harrabi, S Hcini, I Ghiloufi, A Mimouni, J Dhahri, K Khirouni","Journal of Magnetism and Magnetic Materials 582, 171040",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12224660148974280137,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:ZeXyd9-uunAC
fFteX-QAAAAJ,6,Evaluation of the Structure–Micromorphology Relationship of Co10%–Alx Co-doped Zinc Oxide Nanostructured Thin Films Deposited by Pulsed Laser Using XRD …,"F Ghribi, N Khalifi, S Mrabet, I Ghiloufi, Ş Ţălu, LM El Mir, ...","Arabian Journal for Science and Engineering 47 (6), 7717-7728",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4206557744064840537,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:aqlVkmm33-oC
fFteX-QAAAAJ,7,Toxic elements behavior during plasma treatment for waste collected from power plants,"I AlShunaifi, I Ghiloufi, A Albeladi, A Alharbi","Applied Sciences 12 (13), 6564",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5682607251807090455,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:4DMP91E08xMC
fFteX-QAAAAJ,8,Effect of Al and Mg doping on reducing gases detection of ZnO nanoparticles,"S Jaballah, Y Alaskar, I AlShunaifi, I Ghiloufi, G Neri, C Bouzidi, ...","Chemosensors 9 (11), 300",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12544803906463985650,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:qxL8FJ1GzNcC
fFteX-QAAAAJ,9,Modelling of a non-transferred plasma torch used for nano-silica powders production,"IA AlShunaifi, S Elaissi, I Ghiloufi, SS Alterary, AA Alharbi","Applied Sciences 11 (21), 9842",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14414103140285526310,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:M3ejUd6NZC8C
fFteX-QAAAAJ,10,Plasma technology for phosphogypsum treatment,"I Ghiloufi, MS Albishi, AA Alharbi, IA AlShunaifi","Energies 14 (18), 5813",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11763895085572786101,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:4TOpqqG69KYC
fFteX-QAAAAJ,11,Magnetohydrodynamic Simulation of plasma torch used for waste treatment,"S Elaissi, I Alshunaifi, H Alyousef, I Ghiloufi","Plasma Physics Reports 47, 704-714",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13282091123267269533,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:YOwf2qJgpHMC
fFteX-QAAAAJ,12,Effect of aluminum loading on structural and morphological characteristics of ZnO nanoparticles for heavy metal ion elimination,"L Khezami, A Modwi, I Ghiloufi, KK Taha, M Bououdina, A ElJery, L El Mir","Environmental Science and Pollution Research 27, 3086-3099",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11748456504740042174,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:KlAtU1dfN6UC
fFteX-QAAAAJ,13,Facile synthesis of Al–Mg co-doped ZnO nanoparticles and their high hydrogen sensing performances,"S Jaballah, H Dahman, I Ghiloufi, G Neri, L El Mir","International Journal of Hydrogen Energy 45 (58), 34268-34280",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8941395368909066958,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:ULOm3_A8WrAC
fFteX-QAAAAJ,14,Development and electrical characterization of screen-printed electrode based on ZnO nanoparticles,"L Chouiref, S Jaballah, M Erouel, N Moutia, W Hzez, I Ghiloufi, LE Mir","Journal of Materials Science: Materials in Electronics 31, 13899-13908",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11375978782111525048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:Zph67rFs4hoC
fFteX-QAAAAJ,15,Removal of lead (II) ion from aqueous solution using Ga-doped ZnO and Ca-doped ZnO nanopowder,"I Ghiloufi, J El Ghoul, AE Modwi, I AlShunaifi, L El Mir","Zeitschrift für Naturforschung A 74 (7), 573-580",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6820971943316962096,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:3fE2CSJIrl8C
fFteX-QAAAAJ,16,Removal of cadmium (II) from aqueous solution by zinc oxide nanoparticles: kinetic and thermodynamic studies,"L Khezamia, KK Tahaa, E Amamic, I Ghiloufid, L El Mird","Desalin Water Treat 62, 346-354",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11377782496803080532,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:8k81kl-MbHgC
fFteX-QAAAAJ,17,Treatment of fly ash from power plants using thermal plasma,"S Al-Mayman, I AlShunaifi, A Albeladi, I Ghiloufi, S Binjuwair","Beilstein journal of nanotechnology 8 (1), 1043-1048",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7931805904979059464,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:0EnyYjriUFMC
fFteX-QAAAAJ,18,Efficiency of polyamide thin-film nanocomposite membrane containing ZnO nanoparticles,"JEL Ghoul, I Ghiloufi, LEL Mir, S Arabia","J. Ovonic Res 13, 83-90",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=177648445521812296,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:5nxA0vEk-isC
fFteX-QAAAAJ,19,EFFICIENCY OF POLYAMIDE THIN-FILM NANOCOMPOSITE MEMBRANE CONTAINING ZnO NANOPARTICLES.,"J El Ghoul, I Ghiloufi, AS Al-Hobaib, L El Mir",Journal of Ovonic Research 13 (3),2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12945571780673849185,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:7PzlFSSx8tAC
fFteX-QAAAAJ,20,Synthesis of Nanoporous Carbon for Fast Uptake of Cr (VI) and Ni (II) from Aqueous Solution: Ghiloufi,I Ghiloufi,"Water Environment Research 89 (9), 798-804",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fFteX-QAAAAJ,21,Ga-doped ZnO for adsorption of heavy metals from aqueous solution,"I Ghiloufi, J El Ghoul, A Modwi, L El Mir","Materials Science in Semiconductor Processing 42, 102-106",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3607428841024252077,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFteX-QAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fFteX-QAAAAJ:qjMakFHDy7sC
