Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
hHIYVigAAAAJ,1,Connected max cut is polynomial for graphs without the excluded minor ,B Chaourar,"Journal of Combinatorial Optimization 40 (4), 869-875",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17692568169817852998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:4TOpqqG69KYC
hHIYVigAAAAJ,2,A short proof of a min–max relation for the bases packing of a matroid,B Chaourar,"Discrete Mathematics, Algorithms and Applications 11 (06), 1950069",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
hHIYVigAAAAJ,3,The Kth TSP is pseudopolynomial when TSP is polynomial,B Chaourar,"Discrete Mathematics, Algorithms and Applications 10 (05), 1850058",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
hHIYVigAAAAJ,4,A linear time algorithm for a variant of the MAX CUT problem in series parallel graphs,B Chaourar,"Advances in Operations Research 2017 (1), 1267108",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8418502363748462956,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:Se3iqnhoufwC
hHIYVigAAAAJ,5,A characterization of uniform matroids,B Chaourar,"International Scholarly Research Notices 2011 (1), 208478",2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10289865118873698114,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:IjCSPb-OGe4C
hHIYVigAAAAJ,6,MFMP Vs ECMP Under RED Queue Management,"AR Mahlous, B Chaourar",International Journal of Computer Networks 4 (6),2011,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13894713188501269509,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:zYLM7Y9cAGgC
hHIYVigAAAAJ,7,AN OðKnlogðKnÞÞ ALGORITHM FOR THE KTH BEST SPANNING TREE IN SERIES PARALLEL GRAPHS,B Chaourar,"Arabian Journal for Science and Engineering 35 (1D), 29-35",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1917353755303687046,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:Tyk-4Ss8FVUC
hHIYVigAAAAJ,8,On Minimizing Unused Bandwidths in Series Parallel Networks,"B Chaourar, AR Mahlous, RJ Fretwell","Journal of King Saud University-Science 21, 21-24",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5367498682936059005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:eQOLeE2rZwMC
hHIYVigAAAAJ,9,On the Kth best base of a matroid,B Chaourar,"Operations Research Letters 36 (2), 239-242",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6285413983327451440,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:2osOgNQ5qMEC
hHIYVigAAAAJ,10,Minimizing Unused Bandwidths in Computer Networks,"B Chaourar, AR Mahlous",Applied Computing and Informatics 6 (2),2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6257965413846812962,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:LkGwnXOMwfcC
hHIYVigAAAAJ,11,On series-parallel extensions of uniform matroids,"B Chaourar, J Oxley","European Journal of Combinatorics 24 (7), 877",2003,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17250703356357838236,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:d1gkVwhDpl0C
hHIYVigAAAAJ,12,On greedy bases packing in matroids,B Chaourar,"European Journal of Combinatorics 23 (7), 769-776",2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12896032835298431445,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hHIYVigAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hHIYVigAAAAJ:u-x6o8ySG0sC
hHIYVigAAAAJ,13,Bases hilbertiennes et applications combinatoires,B Chaourar,Université Joseph Fourier (Grenoble; 1971-2015),1993,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
