Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
jKuNJiwAAAAJ,1,Efficient removal of organic dyes by Cr-doped ZnO nanoparticles,"MB Lotfi Khezami, Mohamed Ali Ben Aissa, Abueliz Modwi, Ahlem Guesmi, Faisal ...","Biomass Conversion and Biorefinery 14 (3), 4177–4190",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=366981931354926205,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jKuNJiwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jKuNJiwAAAAJ:lg2tdxc6qMwC
jKuNJiwAAAAJ,2,Calcium Ferrite Nanoparticles: A Simple Synthesis Approach for the Effective Disposal of Congo Red Dye from Aqueous Environments,"NS Al-Kadhi, GM Al-Senani, FK Algethami, RK Shah, FA Saad, ...","Inorganics 12 (3), 69",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12841008352450279353,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jKuNJiwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jKuNJiwAAAAJ:TGkaJS32XoUC
jKuNJiwAAAAJ,3,The Enhanced Adsorption Capacity of Ziziphus jujuba Stones Modified with Ortho-Phosphoric Acid for Organic Dye Removal: A Gaussian Process Regression …,"A Guediri, A Bouguettoucha, H Tahraoui, D Chebli, J Zhang, A Amrane, ...","Water 16 (9), 1208",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8525936855508859660,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jKuNJiwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jKuNJiwAAAAJ:h168fVGZblEC
jKuNJiwAAAAJ,4,Revolutionizing Dye Removal: g-C3N4-Modified ZnO Nanocomposite for Exceptional Adsorption of Basic Fuchsin Dye,"AAA Lotfi Khezami, Abdelbaset Bessadok, Mohamed Ali Ben Aissa, Amani H ...","Inorganic Chemistry Communications 164, 112413",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15124429135318056817,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jKuNJiwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jKuNJiwAAAAJ:QaSi33NTfwYC
jKuNJiwAAAAJ,5,Efficient photocatalytic degradation of Congo red and other dyes by ternary TiO2/Y2O3@g-C3N4 nanohybrid,"A Abumousa, R.A., Bououdina, M., Ben Aissa, M.A, Khezami, L., Modwi","J Mater Sci: Mater Electron 35 (7), 486",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9953626386135708409,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jKuNJiwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jKuNJiwAAAAJ:KI9T_ytC6pkC
jKuNJiwAAAAJ,6,Facile synthesis of MgO/ZnO nanocomposite for efficient removal of alizarin red S dye from aqueous media,"NS Al-Kadhi, GM Al-Senani, FK Algethami, RK Shah, FA Saad, ...","Inorganic Chemistry Communications 162, 112233",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4170185728514201820,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jKuNJiwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jKuNJiwAAAAJ:aDl3D7KC1E4C
jKuNJiwAAAAJ,7,A review of Non-thermal plasma-catalysis: The mutual influence and sources of synergetic effect for boosting volatile organic compounds removal,"N Belkessa, AA Assadi, A Bouzaza, P Nguyen-Tri, A Amrane, L Khezami","Environmental Research 257, 119333",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
jKuNJiwAAAAJ,8,"An Investigation of Two Cu (II)‐Based Hybrid Materials: Physico‐Chemical Characterization, Theoretical Calculation and Evaluation of The Inhibitory Activities against Key …","I Tababi, N Mhadhbi, A Ben Ahmed, J Erwann, K Hamden, A Guesmi, ...","ChemistrySelect 9 (20), e202400240",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
jKuNJiwAAAAJ,9,"Exploring Cold plasma technology: Enhancements in Carob seed germination, phytochemical Composition, and antioxidant activity","AAA Khadija BEN OTHMAN, Mohamed Majdi CHERIF, Imen ASSADI, Walid ELFALLEH ...","HELIYON 10 (8), E28966",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
jKuNJiwAAAAJ,10,Kinetic Modeling of the Photocatalytic Degradation of Chlorinated Aromatic Volatile Organic Compounds: Mass Transfer Enhancement,"N Koné, AA Assadi, N Belkessa, L Khezami, SL Coulibaly, Y Serhane, ...","Applied Sciences 14 (4), 1507",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
