Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
jyg7ahQAAAAJ,1,"Benzohydrazide derivative metal complex's antimicrobial and inhibitory effects on liver cancer cell lines and quinone oxidoreductase 2: Experimental, molecular docking, and DFT …","TA Yousef, LHK Al-Jibori, AS Fiahan, AO Elzupir, MM Abou-Krisha, ...","Journal of Molecular Structure 1308, 138073",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8815952528402302304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jyg7ahQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jyg7ahQAAAAJ:JoZmwDi-zQgC
jyg7ahQAAAAJ,2,"Synthesis, crystallographic structure, Hirshfeld surface analysis and DFT calculations of Schiff base (Z)-4-methyl-2-(((3-nitrophenyl) imino) methyl) phenol","E Hamidov, AA Agar, KE El-Kelany, N Dege, TA Yousef, H Ferjani, ...","Journal of Molecular Structure 1310, 138319",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=669860092494629596,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jyg7ahQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jyg7ahQAAAAJ:SdhP9T11ey4C
jyg7ahQAAAAJ,3,Synthesis of pn GCN/CuBi2O4 heterostructures for enhanced visible light photocatalysis,"DC Onwudiwe, OC Olatunde, VM Nkwe, OA Oyewo, AM Muliwa, H Ferjani, ...","Inorganic Chemistry Communications 162, 112193",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15846368823700996478,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jyg7ahQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jyg7ahQAAAAJ:Y5dfb0dijaUC
jyg7ahQAAAAJ,4,"Synthesis, spectroscopic, DFT, anticancer evaluation and enzyme inhibition studies of platinum (II) complexes with 1-methyl-1H-1, 2, 3, 4-tetrazole-5-thiol and phosphine …","AY Osama'a, OR Al Samarrai, TA Yousef, MM Abou-Krisha, MH Alhalafi, ...","Chemical Physics Impact 8, 100581",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
jyg7ahQAAAAJ,5,Enhanced electrical properties of spun blend polymer composite electrolyte PMMA–PVdF-co-HFP–PEO/LiBF4 containing nano SiO2 for lithium-ion batteries application,"EM Masoud, TZ Abolibda, A Toghan, MY Nassar, M Khairy, MEA Zaki, ...",Ionics 1-23,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
jyg7ahQAAAAJ,6,Nano-Sulphonated Poly (glycidyl methacrylate)-Hexamethyl Pararosaniline chloride novel composite adsorbent development for treatment of dichromate and permanganate contaminated …,"T Tamer, M Abou-Krisha, A Omer, A Alhamzani, M Youssef, T Yousef, ...",Adsorption 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
jyg7ahQAAAAJ,7,Voltametric Sensor Based on Magnetic Chitosan Acetylindole-Based Nanocomposite for the Determination of Sulfamethazine,"M Abd-Elsabour, MM Abou-Krisha, AG Alhamzani, AN Alotaibi, TA Yousef","ACS omega 9 (15), 17323-17333",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
jyg7ahQAAAAJ,8,Multifunctional diorganyl diselenide tethered cellulose as a corrosion inhibitor of stainless steel,"S Shaaban, A Negm, HMAEL Ahmed, TA Yousef, ASM Aljanabi","US Patent 11,920,060",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
jyg7ahQAAAAJ,9,"Flucytosine Antifungal Drug in Organic-Inorganic Bismuth Chloride Material: Crystal Structure, Optical Properties, Biological Activities, and Computational Insights","H Ferjani, R Bechaieb, MB Jemaa, NA Ibrahim, H Alhussain, TA Yousef, ...",Journal of Cluster Science 1-13,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
jyg7ahQAAAAJ,10,Mesoporous activated carbon produced from mixed wastes of oil palm frond and palm kernel shell using microwave radiation-assisted K2CO3 activation for methylene blue dye …,"K Jasri, AS Abdulhameed, AH Jawad, ZA ALOthman, TA Yousef, ...","Diamond and Related Materials 131, 109581",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8110392630041636741,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=jyg7ahQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=jyg7ahQAAAAJ:K3LRdlH-MEoC
