Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
k9H-YSIAAAAJ,1,Composite super-adsorbents of chitosan/activated carbon for the removal of nonsteroidal anti-inflammatory drug from wastewaters,"Y Dago-Serry, KN Maroulas, AK Tolkou, N AbdelAll, AN Alodhayb, ...","Journal of Molecular Structure 1298, 137044",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10826479168025464454,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:4DMP91E08xMC
k9H-YSIAAAAJ,2,Realizing the topological rainbow based on cavity-coupled topological edge state,"N AbdelAll, M Almokhtar, G Khouqeer, SE Soliman","Optics & Laser Technology 171, 110351",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=488939238738136830,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:Wp0gIr-vW9MC
k9H-YSIAAAAJ,3,Radiation protection for Gabes phosphate area residents: Assessing natural radioactivity in soil and potable water samples,"S Machraoui, GA Khouqeer, F Hosni, S Labidi","Journal of Radiation Research and Applied Sciences 17 (3), 100985",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
k9H-YSIAAAAJ,4,"An investigation for optical, photocatalytic, photoluminescence and dielectric properties of Cd0. 40Ni0. 60ZnO2 annealed nanocomposites","NA All, A Sedky, M Mohamed, N Afify, G Khouqeer, M Almokhtar","Journal of Alloys and Compounds 990, 174432",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
k9H-YSIAAAAJ,5,"Improvement of the optical properties, dielectric behaviors and Cole-Cole plot of gamma-irradiated polyvinyl alcohol filled by nanostructured aluminum metal oxide","Ghada A. Khouqeer, Basma A. El-Badry, M.F. Zaki","Journal of Radiation Research and Applied Sciences 17 (2), 100871",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
k9H-YSIAAAAJ,6,Reducing effective radiation dose with improved image quality of abdominal computed tomography scans for overweight patients,"HA Aljweber, E Mamoun, GA Khouqeer, A Elgarayhi, M Sallah","Journal of Radiation Research and Applied Sciences 17 (2), 100868",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
k9H-YSIAAAAJ,7,Design and Simulation of Dielectrically Modulated Dual Material Gate-Stack Double-Gate FinFET Biosensor,"A Pattnaik, SK Mohapatra, A Dastidar, OP Acharya, N AbdelAll, ...","ECS Journal of Solid State Science and Technology 13 (5), 057002",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
k9H-YSIAAAAJ,8,Design and analysis of a fiber Bragg grating‐based foot pressure assessment system,"P Sharan, GA Khouqeer, BA El‐Badry, AM Upadhyaya","Journal of Biophotonics, e e202400070",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
k9H-YSIAAAAJ,9,Multifunctional topological photonic crystal device for multichannel frequency routing and highly sensitive refractive index sensing,"N AbdelAll, M Almokhtar, G Khouqeer, MSM Esmail, I Abood, ...","Physica Scripta 99 (5), 055539",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
k9H-YSIAAAAJ,10,Raman characteristics of graphene/quartz and graphene/Ag nanoparticles/quartz substrate: Laser power dependence,"NA All, G Khouqeer, M Almokhtar","Optical Materials 149, 115118",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
k9H-YSIAAAAJ,11,Refined Convolutional Neural Networks Automated System for Brain Masses Detection using CT/MRI Diagnostic Scans,"LM Abou El-Maged, I AlQaisi, GA Khouqeer, A Elgarayhi, M Sallah","Appl. Math 18 (4), 749-759",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
k9H-YSIAAAAJ,12,Low-dose chest CT protocols for imaging COVID-19 pneumonia: technique parameters and radiation dose,"II Suliman, GA Khouqeer, NA Ahmed, MM Abuzaid, A Sulieman","Life 13 (4), 992",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18321812391394067816,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:ULOm3_A8WrAC
k9H-YSIAAAAJ,13,An overview of the state of the art and challenges in the use of gelling and thickening agents to create stable thermal energy storage materials,"R Prabakaran, P Dhamodharan, A Sathishkumar, P Gullo, MP Vikram, ...","Energies 16 (8), 3306",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14768622264650181710,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:KlAtU1dfN6UC
k9H-YSIAAAAJ,14,Refined automatic brain tumor classification using hybrid convolutional neural networks for mri scans,"FE AlTahhan, GA Khouqeer, S Saadi, A Elgarayhi, M Sallah","Diagnostics 13 (5), 864",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3822958513872981469,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:Zph67rFs4hoC
k9H-YSIAAAAJ,15,Super-hydrophobic chitosan/graphene-based aerogels for oil absorption,"KN Maroulas, DG Trikkaliotis, ZS Metaxa, N AbdelAll, A Alodhayb, ...","Journal of Molecular Liquids 390, 123071",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5747940261393970635,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:qxL8FJ1GzNcC
k9H-YSIAAAAJ,16,"Gamma rays induced modifications in the structural, optical and photoemission properties of PVA/TiO2 nanocomposite films","BA El-Badry, GA Khouqeer, MF Zaki","Physica Scripta 98 (2), 025821",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10455074007802643765,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:0EnyYjriUFMC
k9H-YSIAAAAJ,17,A review: Recent advancements in sensor technology for non-invasive neonatal health monitoring,"S Mishra, GA Khouqeer, B Aamna, A Alodhayb, SJA Ibrahim, M Hooda, ...","Biosensors and Bioelectronics: X 14, 100332",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10754164965815440841,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:kNdYIx-mwKoC
k9H-YSIAAAAJ,18,"Spectroscopic, electronic properties analysis for 2, 6-Bis (phenylamino)-4-(iminophenyl) benzoquinone molecule and molecular docking clarification for its anticancer activity …","F Abbas, MI Attia, SK Alghamdi, GA Khouqeer, RK Hussein","Journal of Molecular Structure 1282, 135231",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9235491020427545976,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:3fE2CSJIrl8C
k9H-YSIAAAAJ,19,Design of MEMS capacitive comb accelerometer with perforated proof mass for seismic applications,"GA Khouqeer, S Suganthi, N Alanazi, A Alodhayb, M Muthuramamoorthy, ...","Journal of King Saud University-Science 35 (3), 102560",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4205948291941854993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k9H-YSIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k9H-YSIAAAAJ:MXK_kJrjxJIC
