Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
lbPRqHwAAAAJ,1,Facile fabrication of heterostructured BiPS4-Bi2S3-BiVO4 photoanode for enhanced stability and photoelectrochemical water splitting performance,"MN Shaddad, P Arunachalam, M Hezam, NM BinSaeedan, S Gimenez, ...","Journal of Catalysis 418, 51-63",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4176508135613502749,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lbPRqHwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lbPRqHwAAAAJ:-f6ydRqryjwC
lbPRqHwAAAAJ,2,Electro-Optical Characterization of an Amorphous Germanium-Tin (Ge1-XSnx) Microbolometer,"E Bahaidra, N Al-Khalli, M Hezam, M Alduraibi, B Ilahi, N Debbar, ...","Journal of Infrared, Millimeter, and Terahertz Waves 1-12",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15533280139999680014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lbPRqHwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lbPRqHwAAAAJ:hC7cP41nSMkC
lbPRqHwAAAAJ,3,Optimization of Pulsed Laser Ablation and Radio-Frequency Sputtering Tandem System for Synthesis of 2D/3D Al2O3-ZnO Nanostructures: A Hybrid Approach to …,"JP Labis, HA Albrithen, M Hezam, M Ali Shar, A Algarni, AN Alhazaa, ...","Nanomaterials 13 (8), 1345",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lbPRqHwAAAAJ,4,Facile synthesis of amorphous nickel iron borate grown on carbon paper as stable electrode materials for promoted electrocatalytic urea oxidation,"MS Amer, P Arunachalam, AM Alsalman, AM Al-Mayouf, ZA Almutairi, ...","Catalysis Today 397, 197-205",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13050113231144681937,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lbPRqHwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lbPRqHwAAAAJ:mVmsd5A6BfQC
lbPRqHwAAAAJ,5,Activation effect of nickel phosphate co-catalysts on the photoelectrochemical water oxidation performance of TiO2 nanotubes,"P Arunachalam, HA AlOraij, MS Amer, M Hezam, MN Shaddad, ...","Journal of Saudi Chemical Society 26 (4), 101484",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8732408867846066344,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lbPRqHwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lbPRqHwAAAAJ:7PzlFSSx8tAC
lbPRqHwAAAAJ,6,Exploiting the synergistic catalytic effects of CoPi nanostructures on Zr‐doped highly ordered TiO2 nanotubes for efficient solar water oxidation,"MN Shaddad, P Arunachalam, MS Amer, AM Al‐Mayouf, M Hezam, ...","International Journal of Energy Research 46 (9), 12608-12622",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2912445132427691412,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lbPRqHwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lbPRqHwAAAAJ:dhFuZR0502QC
lbPRqHwAAAAJ,7,Improved solar water splitting performance of BiVO4 photoanode by the synergistic effect of Zr-Mo co-doping and FeOOH Co-catalyst layer,"MN Shaddad, M Hezam, P Arunachalam, NM AL-Saeedan, S Gimenez, ...","Materials Letters 325, 132799",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9550255702736310699,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lbPRqHwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lbPRqHwAAAAJ:L8Ckcad2t8MC
lbPRqHwAAAAJ,8,Boosting the Photoelectrochemical Water Oxidation Performance of TiO2 Nanotubes by Surface Modification Using Silver Phosphate,"P Arunachalam, MS Amer, HA AlOraij, AM Al-Mayouf, M Hezam, ...","Catalysts 12 (11), 1440",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8197086716894477557,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lbPRqHwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lbPRqHwAAAAJ:qUcmZB5y_30C
lbPRqHwAAAAJ,9,Diffusion Bonding of Al7075 to Ti-6Al-4V by Spark Plasma Sintering and Using a Copper Interlayer,"A Alhazaa, H Albrithen, M Hezam, M Ali Shar, I Alhwaimel, Y Alharbi, ...","Crystals 12 (9), 1293",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2329072791693607871,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lbPRqHwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lbPRqHwAAAAJ:IWHjjKOFINEC
lbPRqHwAAAAJ,10,"Anion Substitution Effects on the Structural, Electronic, and Optical Properties of Inorganic CsPb(I1–xBrx)3 and CsPb(Br1–xClx)3 Perovskites: Theoretical …","HM Ghaithan, SMH Qaid, ZA Alahmed, M Hezam, A Lyras, M Amer, ...","The Journal of Physical Chemistry C 125 (1), 886-897",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17119659651165872100,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lbPRqHwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lbPRqHwAAAAJ:M3ejUd6NZC8C
