Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
lccZrhwAAAAJ,1,Asymptotic analysis of stretching modes for a folded plate,N Kerdid,"AIMS Mathematics 8 (10), 23974-23988",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lccZrhwAAAAJ,2,Asymptotic analysis of high frequency modes for thin elastic plates,N Kerdid,"AIMS Mathematics 8 (8), 18618-18630",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lccZrhwAAAAJ,3,On the linearized system of elasticity in the half-space,N Kerdid,"AIMS Mathematics 7 (Issue 8:), 14991-15001",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lccZrhwAAAAJ,4,A three‐level time‐split MacCormack method for two‐dimensional nonlinear reaction‐diffusion equations,"E Ngondiep, N Kerdid, M Abdulaziz Mohammed Abaoud, ...","International Journal for Numerical Methods in Fluids 92 (12), 1681-1706",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3725555448194066404,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lccZrhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lccZrhwAAAAJ:KlAtU1dfN6UC
lccZrhwAAAAJ,5,A mixed formulation of the Stokes equations with slip conditions in exterior domains and in the half-space,N Kerdid,"Hiroshima Mathematical Journal 48 (2), 119-131",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14748180033587845031,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lccZrhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lccZrhwAAAAJ:3fE2CSJIrl8C
lccZrhwAAAAJ,6,Inverted finite elements for div-curl systems in the whole space,"TZ Boulmezaoud, K Kaliche, N Kerdid","Advances in Computational Mathematics 43, 1469-1489",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2176621061562125455,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lccZrhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lccZrhwAAAAJ:u5HHmVD_uO8C
lccZrhwAAAAJ,7,Explicit div-curl inequalities in bounded and unbounded domains of ,"TZ Boulmezaoud, K Kaliche, N Kerdid","ANNALI DELL'UNIVERSITA'DI FERRARA 63, 249-276",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=284901046731400106,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lccZrhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lccZrhwAAAAJ:LkGwnXOMwfcC
lccZrhwAAAAJ,8,Discretization by rational and quasi-rational functions of multi-dimensional elliptic problems in the whole space,"TZ Boulmezaoud, N Arar, N Kerdid, A Kourta","ESAIM: Mathematical Modelling and Numerical Analysis 50 (1), 263-288",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4955184306342684733,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lccZrhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lccZrhwAAAAJ:IjCSPb-OGe4C
lccZrhwAAAAJ,9,The spectrum of a weighted Laplacian in the half‐space,"TZ Boulmezaoud, N Kerdid","Mathematical Methods in the Applied Sciences 39 (2), 280-288",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lccZrhwAAAAJ,10,The Stokes flow around a rotating body in the whole space,"N Abada, TZ Boulmezaoud, N Kerdid","Journal of the Mathematical Society of Japan 65 (2), 607-632",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16679377493263350867,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lccZrhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lccZrhwAAAAJ:8k81kl-MbHgC
lccZrhwAAAAJ,11,"Acoustic and Electromagnetic Equations, Integral Representations for Harmonic Problems Acoustic and Electromagnetic Equations, Integral Representations for Harmonic Problems","N ABADA, TZ BOULMEZAOUD, N KERDID","Journal of the Mathematical Society of Japan 65 (2), 607-632",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lccZrhwAAAAJ,12,"Functional analysis, Classics Math. Functional analysis, Classics Math.","N ABADA, TZ BOULMEZAOUD, N KERDID","Journal of the Mathematical Society of Japan 65 (2), 607-632",2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lccZrhwAAAAJ,13,Numerical approximation for a non-linear membrane problem,"N Kerdid, H Le Dret, A Saı","International Journal of Non-Linear Mechanics 43 (9), 908-914",2008,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2210596596096202004,9100049238559916335",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lccZrhwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lccZrhwAAAAJ:u-x6o8ySG0sC
