Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
leiK9mQAAAAJ,1,"Cold plasma treatment boosts barley germination and seedling vigor: Insights into soluble sugar, starch, and protein modifications","MA Benabderrahim, I Bettaieb, H Hannachi, M Rejili, T Dufour","Journal of Cereal Science 116, 103852",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1638142505182560420,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=leiK9mQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=leiK9mQAAAAJ:9ZlFYXVOiuMC
leiK9mQAAAAJ,2,Gut microbiota composition in patients with Crohn’s disease in Saudi Arabia,"H Alahdal, G Almuneef, MM Alkhulaifi, O Aldibasi, A Aljouie, O Alharbi, ...","Plos one 19 (4), e0299749",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
leiK9mQAAAAJ,3,Gut microbiota composition in Patients with Chron's Disease in Saudi Arabia,"H Alahdal, G Almuneef, MM Alkhulaifi, O Aldibasi, A Aljouie, O Alharbi, ...","JOURNAL OF CROHNS & COLITIS 18, I456-I456",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
leiK9mQAAAAJ,4,P156 Gut microbiota composition in Patients with Chron's Disease in Saudi Arabia,"H Alahdal, G Almuneef, MM Alkhulaifi, O Aldibasi, A Aljouie, O Alharbi, ...","Journal of Crohn's and Colitis 18 (Supplement_1), i461-i461",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
leiK9mQAAAAJ,5,Autosomal recessive congenital cataract is associated with a novel 4-bp splicing deletion mutation in a novel C10orf71 human gene,"M Chograni, HM Alahdal, M Rejili","Human Genomics 17 (41), 1-9",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6422669297494770828,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=leiK9mQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=leiK9mQAAAAJ:4DMP91E08xMC
leiK9mQAAAAJ,6,Members of Ensifer and Rhizobium genera are new bacterial endosymbionts nodulating Pisum sativum (L.),"A Mahdhi, M Mars, M Rejili","FEMS Microbiology Ecology 99 (2), fiad001",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17458798089698312589,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=leiK9mQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=leiK9mQAAAAJ:qxL8FJ1GzNcC
leiK9mQAAAAJ,7,Whole mitochondrial and chloroplast genome sequencing of Tunisian date palm cultivars: diversity and evolutionary relationships,"H Hamza, S Villa, S Torre, A Marchesini, MA Benabderrahim, M Rejili, ...","BMC genomics 24 (1), 772",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
leiK9mQAAAAJ,8,"Bradyrhizobium hipponense sp. nov., isolated from Lupinus angustifolius growing in the northern region of Tunisia","M Rejili, K Off, A Brachmann, M Marín",International Journal of Systematic and Evolutionary Microbiology 70 (10 …,2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14657337423728350787,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=leiK9mQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=leiK9mQAAAAJ:M3ejUd6NZC8C
leiK9mQAAAAJ,9,Novel putative Mesorhizobium and Ensifer genomospecies together with a novel symbiovar psoraleae nodulate legumes of agronomic interest grown in Tunisia,"M Rejili, T Ruiz-Argueso, M Mars","Systematic and applied microbiology 43 (2), 126067",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9175960549387315192,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=leiK9mQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=leiK9mQAAAAJ:YOwf2qJgpHMC
leiK9mQAAAAJ,10,Phylogeny and distribution of arbuscular mycorrhizal fungi associated with Vachellia tortilis ssp. raddiana in relation to soil properties under arid ecosystems of …,"R Abdedaiem, M Rejili, M Mahdhi, P de Lajudie, M Mars","Mycological progress 19 (5), 495-504",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7743942510924134734,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=leiK9mQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=leiK9mQAAAAJ:_kc_bZDykSQC
