Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
misDVO0AAAAJ,1,A reliable neural network framework for the Zika system based reservoirs and human movement,"Z Sabir, SN Khan, MAZ Raja, MM Babatin, AF Hashem, MA Abdelkawy","Knowledge-Based Systems 292, 111621",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10858669922756970703,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=misDVO0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=misDVO0AAAAJ:ULOm3_A8WrAC
misDVO0AAAAJ,2,Design of stochastic neural networks for the fifth order system of singular engineering model,"Z Sabir, MM Babatin, AF Hashem, MA Abdelkawy, S Salahshour, M Umar","Engineering Applications of Artificial Intelligence 133, 108141",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14117128983425183771,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=misDVO0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=misDVO0AAAAJ:Zph67rFs4hoC
misDVO0AAAAJ,3,"A novel generalized Weibull Poisson G class of continuous probabilistic distributions with some copulas, properties and applications to real-life datasets","AF Hashem, MA Abdelkawy, AH Muse, HM Yousof","Scientific Reports 14 (1), 1741",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7738556496527442775,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=misDVO0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=misDVO0AAAAJ:kNdYIx-mwKoC
misDVO0AAAAJ,4,"A new probabilistic approach: Model, theory, properties with an application in the medical sector","M Kamal, M Alam, MA Abd Elgawad, SMA Alsheikh, MA Abdelkawy, ...","Alexandria Engineering Journal 99, 257-270",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
misDVO0AAAAJ,5,"A novel compound G family with properties, copulas, modelling the asymmetric and positive-skewed engineering and medical data","OA Alqasem, SMA Alsheikh, H Alsuhabi, R Aldallal, MM Alsolmi, ...","Alexandria Engineering Journal 98, 80-96",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
misDVO0AAAAJ,6,Utilizing Bayesian inference in accelerated testing models under constant stress via ordered ranked set sampling and hybrid censoring with practical validation,"AF Hashem, N Alotaibi, SA Alyami, MA Abdelkawy, MAA Elgawad, ...","Scientific Reports 14 (1), 14406",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
misDVO0AAAAJ,7,A stochastic scale conjugate neural network procedure for the SIRC epidemic delay differential system,"Z Sabir, AF Hashem, Z Shams, MA Abdelkawy",Computer Methods in Biomechanics and Biomedical Engineering 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
misDVO0AAAAJ,8,"Delaware, USA scispub@ gmail. com Mon.-Fri. 9: 00-18: 00","E Afrifa-Yamoah, GA Okyere, M Asare-Bediako, II Bashiru",Journal of Mathematics 11 (1),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
misDVO0AAAAJ,9,Classical and Bayesian inference for the Kavya–Manoharan generalized exponential distribution under generalized progressively hybrid censored data,"MM Abdelwahab, AB Ghorbal, AS Hassan, M Elgarhy, EM Almetwally, ...","Symmetry 15 (6), 1193",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5022310669668576281,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=misDVO0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=misDVO0AAAAJ:roLk4NBRz8UC
misDVO0AAAAJ,10,Morlet wavelet neural network investigations to present the numerical investigations of the prediction differential model,"Z Sabir, A Arbi, AF Hashem, MA Abdelkawy","Mathematics 11 (21), 4480",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2860141486207455307,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=misDVO0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=misDVO0AAAAJ:8k81kl-MbHgC
