Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
mwyKeMsAAAAJ,1,EXISTENCE OF CLASSICAL SOLUTIONS FOR BROER-KAUP EQUATIONS,"D BOURENI, SG GEORGIEV, A KHELOUFI, K MEBARKI","Kragujevac Journal of Mathematics 49 (1), 125-140",2025,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
mwyKeMsAAAAJ,2,On singular φ-Laplacian BVPs of nonlinear fractional differential equation.,"B Temar, O Saifi, S Djebali","Studia Universitatis Babes-Bolyai, Mathematica 69 (1)",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
mwyKeMsAAAAJ,3,System of fractional boundary value problems at resonance,"K Iatime, L Guedda, S Djebali","Fractional Calculus and Applied Analysis 26 (3), 1359-1383",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3052766285104709928,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mwyKeMsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=mwyKeMsAAAAJ:WA5NYHcadZ8C
mwyKeMsAAAAJ,4,On the fixed point index for sums of operators,"S Benslimane, S Djebali, K Mebarki","Fixed Point Theory 23 (1), 143-162",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5439208177540114662,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mwyKeMsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=mwyKeMsAAAAJ:J-pR_7NvFogC
mwyKeMsAAAAJ,5,A Measure of Weak Noncompactness in  and Applications,"B Boulfoul, S Djebali","Mediterranean Journal of Mathematics 19 (2), 64",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9290405196943987552,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mwyKeMsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=mwyKeMsAAAAJ:1qzjygNMrQYC
mwyKeMsAAAAJ,6,Multiple solutions for a nonlocal fractional boundary value problem with fractional integral conditions on infinite interval,"AG Aoun, S Djebali","Asian-European Journal of Mathematics 15 (06), 2250118",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4002584016805160365,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mwyKeMsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=mwyKeMsAAAAJ:eJXPG6dFmWUC
mwyKeMsAAAAJ,7,A system of nonlinear fractional BVPs with ϕ-Laplacian operators and nonlocal conditions,"B Temar, O Saif, S Djebali","Proyecciones (Antofagasta) 40 (2), 447-479",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9494939745572230274,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mwyKeMsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=mwyKeMsAAAAJ:tOudhMTPpwUC
mwyKeMsAAAAJ,8,Coincidence and Common Fixed Point Theorems in Gb-Cone Metric Spaces,"S Benchabane, S Djebali","European Journal of Pure and Applied Mathematics 14 (4), 1350-1366",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
mwyKeMsAAAAJ,9,"Common Fixed Point for A Sequence of Multivalued (G, Θ)-Prešić Type Maps in Symmetric Spaces Endowed with a Graph","S Benchabane, S Djebali","Jordan Journal of Mathematics and Statistics (JJMS) 14 (3), 437-452",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
mwyKeMsAAAAJ,10,Fixed point theorems for the sum of nonlinear operators and applications,"MAT A. Aouane, S. Djebali","Pan-American Mathematical Journal 31 (1), 53-72",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
mwyKeMsAAAAJ,11,On a singular multi-point third-order boundary value problem on the half-line,"Z Benbaziz, S Djebali","Mathematica Bohemica 145 (3), 305 - 324",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6834692871540546322,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mwyKeMsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=mwyKeMsAAAAJ:tS2w5q8j5-wC
mwyKeMsAAAAJ,12,Mild solutions of a class of semilinear fractional integro-differential equations subjected to noncompact nonlocal initial conditions,"A Aouane, S Djebali, MA Taoudi","Cubo (Temuco) 22 (3), 361-377",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15209430827759901330,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mwyKeMsAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=mwyKeMsAAAAJ:WbkHhVStYXYC
mwyKeMsAAAAJ,13,Common Fixed Point Results for Set-valued Integral Type Contractions on Metric Spaces with Directed Graph,"S Benchabane, S Djebali, T Nazir","European Journal of Pure and Applied Mathematics 13 (5), 1072-1087",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
mwyKeMsAAAAJ,14,Asymptotic behavior of solutions for systems of quadratic integral equations of Fredholm type,"L Benhamouche, S Djebali, J Garcia-Falset","Banach Journal of Mathematical Analysis 14 (2), 313-335",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
