Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
nTMAjGkAAAAJ,1,Imaging of musculoskeletal infection,"KR Math, JL Berkowitz, SA Paget, Y Endo","Rheumatic Disease Clinics 42 (4), 769-784",2016,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12059636103011256059,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:_kc_bZDykSQC
nTMAjGkAAAAJ,2,Evaluating the progression of osteolysis after total knee arthroplasty,"JG Dalling, K Math, GR Scuderi","JAAOS-Journal of the American Academy of Orthopaedic Surgeons 23 (3), 173-180",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8361650821597862714,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:roLk4NBRz8UC
nTMAjGkAAAAJ,3,Pectus excavatum with delayed diagnosis of implant tear on MRI apparently causing recurrent postoperative seromas: A case report,"AR Iyer, DK Powell, RD Irish, KR Math","Skeletal radiology 44 (8), 1153-1156",2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9726097358169704185,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:5nxA0vEk-isC
nTMAjGkAAAAJ,4,Imaging of the knee,"KR Math, V Merunka",The Knee: A Comprehensive Review 69,2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11093800109532462795,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:kNdYIx-mwKoC
nTMAjGkAAAAJ,5,My Hip Hurts Doc! How Can We Help Referring Clinicians?,"S Smith, J Mazzie, L Scalcione, K Math, M Grossman, D Katz",AMERICAN JOURNAL OF ROENTGENOLOGY 192 (5),2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11941994935831476687,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:YOwf2qJgpHMC
nTMAjGkAAAAJ,6,Accessory Ossicles and Sesamoid Bones from Head to Toe: Innocent Bystanders or Mischievous Neighbors?(CME Credit Available),"J Mazzie, S Smith, C Ramas, K Math, D Katz, J Luchs",AMERICAN JOURNAL OF ROENTGENOLOGY 192 (5),2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,7,Name the Mechanism: Pattern Recognition of Musculoskeletal Injuries (CME Credit Available),"S Smith, J Mazzie, J Luchs, B Lazzara, L Scalcione, K Math, D Katz",AMERICAN JOURNAL OF ROENTGENOLOGY 192 (5),2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,8,MR Features of Benign and Malignant Soft Tissue Masses of the Hand and Wrist,"D Winger, JS Luchs, G Teplitz, K Finzel, K Math, S Kenan",AMERICAN JOURNAL OF ROENTGENOLOGY 188 (5),2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,9,Imaging of total knee arthroplasty,"KR Math, SF Zaidi, C Petchprapa, SF Harwin","Seminars in musculoskeletal radiology 10 (01), 047-063",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11532749513508243520,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:Zph67rFs4hoC
nTMAjGkAAAAJ,10,Use of multi-detector computed tomography for the detection of periprosthetic osteolysis in total knee arthroplasty,"TG Reish, HD Clarke, GR Scuderi, KR Math, WN Scott","The journal of knee surgery 19 (04), 259-264",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10394599985742204459,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:8k81kl-MbHgC
nTMAjGkAAAAJ,11,Complications of abdominal and pelvic procedures: computed tomographic diagnosis,"BN Wax, DS Katz, RL Badler, M Khalili, KR Math, JP Mazzie, SR Weston, ...","Current problems in diagnostic radiology 35 (5), 171-187",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16793831856543921688,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:aqlVkmm33-oC
nTMAjGkAAAAJ,12,Polyethylene post failure in posterior stabilized total knee arthroplasty,"HD Clarke, KR Math, GR Scuderi","The Journal of arthroplasty 19 (5), 652-657",2004,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3079206121244875909,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:IjCSPb-OGe4C
nTMAjGkAAAAJ,13,Anatomic risk of peroneal nerve injury with the “pie crust” technique for valgus release in total knee arthroplasty,"HD Clarke, JB Schwartz, KR Math, GR Scuderi","The Journal of arthroplasty 19 (1), 40-44",2004,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11594272360887407856,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:ULOm3_A8WrAC
nTMAjGkAAAAJ,14,Shifting bone marrow edema of the knee,"JB Moosikasuwan, TT Miller, K Math, E Schultz","Skeletal radiology 33 (7), 380-385",2004,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7228468014813165455,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:ufrVoPGSRksC
nTMAjGkAAAAJ,15,Correlation between condylar lift-off and femoral component alignment.,"JN Insall, GR Scuderi, RD Komistek, K Math, DA Dennis, DT Anderson","Clinical Orthopaedics and Related Research (1976-2007) 403, 143-152",2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1055183372677711372,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:d1gkVwhDpl0C
nTMAjGkAAAAJ,16,Imaging of the painful TKR,"KR Math, R Scheider",Surgical Techniques in Total Knee Arthroplasty 351-367,2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1429949093661490298,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:9yKSN-GCB0IC
nTMAjGkAAAAJ,17,Preoperative radiographic assessment,"KR Math, GR Scuderi",Surgical Techniques in Total Knee Arthroplasty 9-18,2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6158617083302854926,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:eQOLeE2rZwMC
nTMAjGkAAAAJ,18,Nuclear imaging of osteolysis in total knee and hip arthroplasty: Spectrum of imaging findings,"KR Math, D Klein, F Ongseng, GR Scuderi","RADIOLOGY 225, 276-276",2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,19,Prepatellar soft tissue edema in obese knees: A common incidental finding on MRI,"D Klein, KR Math, RD Irish, HD Clarke, GR Scuderi","RADIOLOGY 225, 657-657",2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,20,Osteolysis in total knee arthroplasty: Spectrum of CT and radiographic findings in 20 cases,"KR Math, JB Schwartz, DS Katz, HD Clarke, GR Scuderi","RADIOLOGY 221, 609-609",2001,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,21,"Patellar pseudofracture on MRI: Correlation of MR, CT, and histology","KR Math, HD Clarke, ED Jimenez, JB Schwartz, GR Scuderi","RADIOLOGY 221, 287-287",2001,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,22,Anatomy of the epicondyles of the distal femur: MRI analysis of normal knees,"FM Griffin, K Math, GR Scuderi, JN Insall, PL Poilvache","The Journal of arthroplasty 15 (3), 354-359",2000,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3015520541880991480,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:UeHWp8X0CEIC
nTMAjGkAAAAJ,23,Utility of CT for the evaluation of the painful total knee replacement (TKR): Analysis of 110 studies,"KR Math, JB Schwartz, DS Katz, GR Scuderi, S Harwin, FD Cushner","RADIOLOGY 217, 576-576",2000,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,24,Using CT to reveal fat-containing abnormalities of the pancreas.,"DS Katz, J Hines, KR Math, PM Nardi, RE Mindelzun, MJ Lane","AJR. American journal of roentgenology 172 (2), 393-396",1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3399806467777226588,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:zYLM7Y9cAGgC
nTMAjGkAAAAJ,25,Transient osteoporosis of the knee: Spectrum of imaging abnormalities,"KR Math, R Schneider, TT Miller, G Hermann, M Fierstone, ...","RADIOLOGY 213, 112-113",1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,26,Jumper's knee in professional basketball players: Imaging of acute and chronic abnormalities of the extensor mechanism,"KR Math, S Sharon, DS Katz, FD Cushner, WN Scott","RADIOLOGY 213, 329-329",1999,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,27,Lipomas of the pancreas.,"DS Katz, PM Nardi, J Hines, R Barckhausen, KR Math, AA Fruauff, ...","AJR. American journal of roentgenology 170 (6), 1485-1487",1998,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7108037600362807020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:WF5omc3nYNoC
nTMAjGkAAAAJ,28,Imaging of the epicondylar axis of the distal femur: utility in the evaluation of the painful total knee arthroplasty,"KR Math, FM Griffin, GR Scuderi, JN Insall, MS Weinstein","RADIOLOGY 205, 1502-1502",1997,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10844354070637074574,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:3fE2CSJIrl8C
nTMAjGkAAAAJ,29,Spindle cell lipoma of the foot: a case report and literature review,"KR Math, H Pavlov, E DiCarlo, WHO Bohne","Foot & Ankle International 16 (4), 220-226",1995,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9622807969716974958,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:0EnyYjriUFMC
nTMAjGkAAAAJ,30,Imaging of the patellofemoral joint,"KR Math, B Ghelman, HG Potter",The patella 83-125,1995,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6142774151556115320,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:YsMSGLbcyi4C
nTMAjGkAAAAJ,31,"THE PATELLA-ANATOMY, POSITION, VARIANTS, AND PATHOLOGY","KR MATH, DS KATZ, B GHELMAN, HG POTTER, GR SCUDERI","RADIOLOGY 197, 464-464",1995,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
nTMAjGkAAAAJ,32,"Bone density analysis, an update.","R Schneider, K Math","Current Opinion in Orthopaedics 5 (5), 66-72",1994,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7428894382223697894,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nTMAjGkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=nTMAjGkAAAAJ:LkGwnXOMwfcC
