Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
pjp54QIAAAAJ,1,On the Equivalence Between Ergodicity and Weak Mixing for Operators Semigroups,"H Mohamed, M Farida","International Journal of Applied Mathematics 36 (2), 145-153",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
pjp54QIAAAAJ,2,On Random Maps Correlated with Random Densities,"H Mohamed, M Farida","International Journal of Applied Mathematics 35 (6), 887-901",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
pjp54QIAAAAJ,3,On Random Dynamical Systems Generated by White Noise Time Change of Deterministic Dynamical Systems,"H Mohamed, M Farida","Journal of Probability and Statistics 2022, 7",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
pjp54QIAAAAJ,4,On some random densities for random maps,"M Hmissi, F Mokchaha-Hmissi","Journal of Difference Equations and Applications 24 (1), 127-137",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3016329027818173480,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=pjp54QIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=pjp54QIAAAAJ:u5HHmVD_uO8C
pjp54QIAAAAJ,5,On potential kernels associated with random dynamical systems,"M Hmissi, F Mokchaha, A Hmissi",Opuscula Mathematica 35,2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16637626739146200048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=pjp54QIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=pjp54QIAAAAJ:u-x6o8ySG0sC
pjp54QIAAAAJ,6,On Bochner Subordination of Densities,"WM Farida Hmissi, Mohamed Hmissi","Grazer Mathematische Berichte 351, 52-65",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
pjp54QIAAAAJ,7,On Dynamical Systems generated by Homogeneous Processes,FH Mohamed Hmissi,"Grazer Mathematische Berichte 350, 144-155",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14859018289439396418,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=pjp54QIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=pjp54QIAAAAJ:zYLM7Y9cAGgC
pjp54QIAAAAJ,8,On Energy Formulas for Symmetric Semigroups,F Hmissi,"Annales Mathematica Silesianae 19, 7-18",2005,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3990202705824595022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=pjp54QIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=pjp54QIAAAAJ:UeHWp8X0CEIC
pjp54QIAAAAJ,9,On Bochner Subordination for Contraction Semigroups with Sector Condition,WM Farida Hmissi,"International Journal for Applied Mathematics 18 (4), 429-445",2005,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6910240475782278606,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=pjp54QIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=pjp54QIAAAAJ:IjCSPb-OGe4C
pjp54QIAAAAJ,10,Bochner Subordination and Ergodicity,FH Mohamed Hmissi,"Grazer Mathematische Berichte 346, 211-221",2004,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
pjp54QIAAAAJ,11,Additive Kernels and Integral Representation of Potentials,FH Mohamed Hmissi,"Potential Analysis 15, 123-132",2001,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7456209454634850986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=pjp54QIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=pjp54QIAAAAJ:2osOgNQ5qMEC
pjp54QIAAAAJ,12,Fonctions harmoniques pour les potentiels de Riesz sur la boule unite,F Hmissi,"Expotiones Mathematicae 12, 281-288",1995,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12987767309765033963,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=pjp54QIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=pjp54QIAAAAJ:9yKSN-GCB0IC
pjp54QIAAAAJ,13,Theoremes aux limites cofines sur les H-cones de fonctions,F Hmissi,"Revue Roumaine des Mathematiques Pures et Appliques 39, 659-666",1994,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
