Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
tJA7RpYAAAAJ,1,The impact of environmentally friendly supramolecular coordination polymers as carbon steel corrosion inhibitors in HCl solution: synthesis and characterization,"M Eissa, SH Etaiw, EE El-Waseef, A El-Hossiany, AS Fouda","Scientific Reports 14 (1), 2413",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12572192804229848256,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tJA7RpYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tJA7RpYAAAAJ:kNdYIx-mwKoC
tJA7RpYAAAAJ,2,Haloxylon salicornicum extract as an eco-friendly corrosion inhibitor for carbon steel in HCl solution,"AEHASF M.F. Atia, A.M. Hamzah, M.E. Eissa","International Journal of Corrosion and Scale Inhibition 13 (2), 750-774",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
tJA7RpYAAAAJ,3,Adsorption and inhibiting properties of Cleome Droserifolia extract on the corrosion of AISI 1018 carbon steel in hydrochloric acid solution,ME Eissa,"International Journal of Corrosion and Scale Inhibition 13 (1), 144-164",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
tJA7RpYAAAAJ,4,Inhibitive impact of Terfeziaceae plant extract on nitric acid decomposition of copper,"E Abdel Haleem, ME Eissa, AEAS Fouda","Journal of the Chinese Chemical Society 71 (1), 70-83",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
tJA7RpYAAAAJ,5,Physicochemical investigation of mercury sorption on mesoporous thioacetamide/chitosan from wastewater,"Mohamed E. Eissa, Ahmed K. Sakr, Mohamed Y. Hanfi, M.I. Sayyed, Jamelah S ...",Chemosphere 341,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14943564349265605826,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tJA7RpYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tJA7RpYAAAAJ:UebtZRa9Y70C
tJA7RpYAAAAJ,6,Cellulose-embedded polyacrylonitrile/amidoxime for the removal of cadmium (II) from wastewater: Adsorption performance and proposed mechanism,"AHT Haeam A. Abdelmonem, Taha F. Hassanein , Hani E. Sharafeldin, Hassanien ...","Colloids and Surfaces A: Physicochemical and Engineering Aspects 684, 133081",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7002990016309206795,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tJA7RpYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tJA7RpYAAAAJ:8k81kl-MbHgC
tJA7RpYAAAAJ,7,Electrochemical and quantum chemical studies on the corrosion inhibition of 1037 carbon steel by different types of surfactants,"AEAS Fouda, AM Al-Bonayan, M Eissa, DM Eid","RSC advances 12 (6), 3253-3273",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15546755907956400123,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tJA7RpYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tJA7RpYAAAAJ:IjCSPb-OGe4C
tJA7RpYAAAAJ,8,Aluminum corrosion prevention in 1.0 M HCl solution by cystosiera myrica extract: An experimental and biological study,"AS Fouda, AM Wahba, M Eissa","Journal of the Indian Chemical Society 99 (8), 100619",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4178613513584267784,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tJA7RpYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tJA7RpYAAAAJ:9yKSN-GCB0IC
tJA7RpYAAAAJ,9,Aizoon extract as an eco-friendly corrosion inhibitor for stainless steel 430 in HCl solution,"AEAS Fouda, AM Al-Bonayan, AF Molouk, M Eissa","RSC advances 12 (48), 30906-30920",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
tJA7RpYAAAAJ,10,Adenium obesum Extract as a Safe Corrosion Inhibitor for C-Steel in NaCl Solutions: Investigation of Biological Effects,"AEAS Fouda, M Eissa","Journal of Bio-and Tribo-Corrosion 6 (4), 104",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8255566511944132270,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tJA7RpYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tJA7RpYAAAAJ:qjMakFHDy7sC
