Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
uPDF9nkAAAAJ,1,Doping of nanostructured Cu2O films to improve physical and photoelectrochemical properties as a step forward for optoelectronics applications,"A El-Shaer, N Darwesh, MA Habib, M Abdelfatah","Optical Materials 148, 114849",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5147306367232370652,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uPDF9nkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=uPDF9nkAAAAJ:P5F9QuxV20EC
uPDF9nkAAAAJ,2,Efficient mining of IoT based data streams for advanced computer vision systems,"AA Toor, M Usman, F Younas, M Habib, ACM Fong","Multimedia Tools and Applications 83 (5), 15027-15042",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16190929762091991794,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uPDF9nkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=uPDF9nkAAAAJ:CHSYGLWDkRkC
uPDF9nkAAAAJ,3,Effect of annealing temperature on physical properties and photoelectrochemical behavior of electrodeposited nanostructured NiO thin films for optoelectronic applications,"W Ismail, S Samir, MA Habib, A El-Shaer","Optical Materials 153, 115595",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
uPDF9nkAAAAJ,4,"Impact of Zinc Concentration and Annealing Temperature on the Structural, Optical, and Photoelectrochemical Properties of Nickel Oxide Thin Films Synthesized by …","W Ismail, S Samir, MA Habib, A El-Shaer",Journal of Alloys and Compounds 175343,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
uPDF9nkAAAAJ,5,"Influence of deposition time on structural, morphological, and optical properties of CdS thin films grown by low-cost chemical bath deposition","A El-Shaer, S Ezzat, MA Habib, OK Alduaij, TM Meaz, SA El-Attar","Crystals 13 (5), 788",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1857795678339674328,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uPDF9nkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=uPDF9nkAAAAJ:RHpTSmoSYBkC
uPDF9nkAAAAJ,6,Low fouling nanostructured cellulose membranes for ultrafiltration in wastewater treatment,"R Joshi, N Sebat, K Chi, M Khan, KI Johnson, AG Alhamzani, MA Habib, ...","Membranes 13 (2), 147",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9597971761517661599,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uPDF9nkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=uPDF9nkAAAAJ:mB3voiENLucC
uPDF9nkAAAAJ,7,Advancement of physical and photoelectrochemical properties of nanostructured CdS thin films toward optoelectronic applications,"W Ismail, G Ibrahim, MA Habib, OK Alduaij, M Abdelfatah, A El-Shaer","Nanomaterials 13 (11), 1764",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18101807270984719819,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uPDF9nkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=uPDF9nkAAAAJ:r0BpntZqJG4C
uPDF9nkAAAAJ,8,"Enhancement of Structural, Optical and Photoelectrochemical Properties of n−Cu2O Thin Films with K Ions Doping toward Biosensor and Solar Cell Applications","M Abdelfatah, N Darwesh, MA Habib, OK Alduaij, A El-Shaer, W Ismail","Nanomaterials 13 (7), 1272",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15227704462755099704,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uPDF9nkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=uPDF9nkAAAAJ:4JMBOYKVnBMC
uPDF9nkAAAAJ,9,Case fatality rate and burden of snakebite envenoming in children–A systematic review and meta-analysis,"G Iliyasu, FM Dayyab, GC Michael, M Hamza, MA Habib, JM Gutiérrez, ...",Toxicon 107299,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13741122361176851731,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uPDF9nkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=uPDF9nkAAAAJ:maZDTaKrznsC
uPDF9nkAAAAJ,10,New carbazole-based conjugated frameworks for carbon dioxide capture and water purification: Insights on the adsorptive sites' chemistry,"MM Abdelnaby, HM Ahmed, AM Alloush, M Zeama, MA Habib, H Asmaly, ...","Microporous and Mesoporous Materials 349, 112427",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12474646817948152790,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uPDF9nkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=uPDF9nkAAAAJ:EUQCXRtRnyEC
uPDF9nkAAAAJ,11,Antimicrobial Performance of Sole Leather Loaded with Zinc Oxide Nanoparticle,MAHMM Housseiny,Journal of Natural Fibers 2 (2),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10957561273235360248,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uPDF9nkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=uPDF9nkAAAAJ:k_IJM867U9cC
uPDF9nkAAAAJ,12,UseofSolidLeatherWastestoProduce Value-AddedMaterial: Mn3O4 Nanoclustersbyco-precipitationmethodusingchromeshavingsasaprimarysurface,MAHSH KENAWY,"Journal of the Society of Leather Technologies and Chemists 107 (1), 221",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
