Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
wTP2TbQAAAAJ,1,"Green synthesis of magnesium oxide nanoparticles using endophytic fungal strain to improve the growth, metabolic activities, yield traits, and phenolic compounds content of …","MAA Amin, AM Abu-Elsaoud, AI Nowwar, AT Abdelwahab, MA Awad, ...","Green Processing and Synthesis 13 (1), 20230215",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13198517742281306193,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wTP2TbQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wTP2TbQAAAAJ:geHnlv5EZngC
wTP2TbQAAAAJ,2,"Bioaccumulation of heavy metals in water, sediments, and tissues and their histopathological effects on Unio tigridis (Bourguignat 1852)","HH Abdoul, N Khalloufi, M Bejaoui, N Al-Hoshani, F Boufahja, ...","Acta Geophysica 72 (4), 2653-2662",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,3,"Does Erodium trifolium (Cav.) Guitt exhibit medicinal properties? Response elements from phytochemical profiling, enzyme-inhibiting, and antioxidant and …","A Bouhedda, H Laouer, N Souilah, C Çakır, N Bouriah, AM Abu-Elsaoud, ...","Open Chemistry 22 (1), 20240049",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,4,"An Investigation of Two Cu (II)‐Based Hybrid Materials: Physico‐Chemical Characterization, Theoretical Calculation and Evaluation of The Inhibitory Activities against Key …","I Tababi, N Mhadhbi, A Ben Ahmed, J Erwann, K Hamden, A Guesmi, ...","ChemistrySelect 9 (20), e202400240",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,5,"Optimization of polyphenol extraction, phenolic profile by LC-ESI-MS/MS, antioxidant, anti-enzymatic, and cytotoxic activities of Physalis acutifolia","L Derbak, H Bendif, R Ayad, C Bensouici, İ Yildiz, I Demirtas, K Rebbas, ...","Open Chemistry 22 (1), 20240040",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,6,Investigating Sulforaphane’s anti-virulence and anti-quorum sensing properties against Pseudomonas aeruginosa,"MM Bendary, MAM Ali, AS Abdel Halim, F Boufahja, AA Chaudhary, ...","Frontiers in Pharmacology 15, 1406653",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,7,Are microplastics efficient remediation tools for removing the statin Lipitor? A laboratory experiment with meiobenthic nematodes,"BM Aldraiwish, MM Alaqeel, N Al-Hoshani, S Özdemir, O Pacioglu, ...","Frontiers in Marine Science 11, 1390700",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,8,Effect of Slow Maxillary Expansion and Alternative Rapid Maxillary Expansion Protocols on Airway Volume in Cleft Palate Cases: A Cone Beam Computed Tomography Based Study,"AMI Diab, BBH Mohammed, MM Ghoneim, MAM Ali, S Özdemir, ...",Cureus 16 (5),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,9,"Doping zinc oxide and titanium dioxide nanoparticles with gold induces additional oxidative stress, membrane damage, and neurotoxicity in Mytilus galloprovincialis: Results …","I Bouzidi, A Khazri, K Mougin, W Bendhafer, AM Abu-Elsaoud, OA Plavan, ...","Journal of Trace Elements in Medicine and Biology 83, 127401",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,10,The Impact of Silver Diamine Fluoride Only or Simultaneously With Potassium Iodide Treatment on the Bond Durability of Resin Composite Material on Primary Teeth,"NY Mohammed, DM Abdel-Ghany, NB Hamadi, S Özdemir, Z Selamoglu, ...",Cureus 16 (3),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,11,The anti-staphylococcal fusidic acid as an efflux pump inhibitor combined with fluconazole against vaginal candidiasis in mouse model,"SE Gomaa, HA Abbas, FA Mohamed, MAM Ali, TM Ibrahim, ...","BMC microbiology 24 (1), 54",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
wTP2TbQAAAAJ,12,"Antibacterial, Antioxidant and Physicochemical Properties of Pipper nigram Aided Copper Oxide Nanoparticles","J Aien, AA Khan, S Haq, AR Khan, K Elmnasri, M Ben Ali, MS Al-Harbi, ...","Crystals 13 (2), 330",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17689126170443235048,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wTP2TbQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=wTP2TbQAAAAJ:dshw04ExmUIC
